"","text","reply_settings","author_id","in_reply_to_user_id","conversation_id","created_at.x","lang","id","possibly_sensitive","description","profile_image_url","username","created_at.y","verified","protected","name","location","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","pinned_tweet_id","reply.to.thread.no.term"
"1","@SRQCountyGov Uh?? Water quality???  red tide?  flesh-eating bacteria?  sewage runoff from Bradenton?  any word?  Difficult to rely on state reporting, if and when it updates.. ","everyone","1361010439543521280","39995588","1849851254635483292",2024-10-25 18:00:55,"en","1849873789481357482",FALSE,"The end does NOT justify the means.","https://pbs.twimg.com/profile_images/1765466953794166784/ucdwC4FW_normal.jpg","fractalone1","2021-02-14T17:54:56.000Z",FALSE,FALSE,"fractalone",NA,NA,0,1,0,0,0,58,320,492,26896,0,75992,"@SRQCountyGov Uh?? Water quality???  red tide?  flesh-eating bacteria?  sewage runoff from Bradenton?  any word?  Difficult to rely on state reporting, if and when it updates.",NA,NA
"2","RT @craigtimes: After Milton hit #Florida, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton  via @Reportographer. https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","980841944",NA,"1847002956928791009",2024-10-17 19:53:15,"en","1847002956928791009",FALSE,"","https://pbs.twimg.com/profile_images/1207513386566725632/4hMeHry2_normal.jpg","DianeEugenio","2012-11-30T17:00:46.000Z",FALSE,FALSE,"Diane Eugenio","Florida, USA",NA,1,0,0,0,0,0,2171,2624,844268,6,800524,"RT @craigtimes: After Milton hit #Florida, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/7VK0k5ZH0s via @Reportographer",NA,NA
"3","After Milton hit #Florida, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton  via @Reportographer. https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","62575859",NA,"1847002481034760650",2024-10-17 19:51:21,"en","1847002481034760650",FALSE,"WELCOME TO FLORIDA now available for pre-order! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.","https://pbs.twimg.com/profile_images/1840494684461805569/-t9gnR-p_normal.jpg","craigtimes","2009-08-03T17:55:56.000Z",FALSE,FALSE,"Craig Pittman","St. Petersburg FL","https://t.co/Y1kqEYKFCg",1,1,2,0,0,383,24771,2537,202322,876,266268,"After Milton hit #Florida, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/7VK0k5ZH0s via @Reportographer","1437092398249689093",NA
"4","After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton . https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","246605225",NA,"1846906030745104737",2024-10-17 13:28:06,"en","1846906030745104737",FALSE,"Retired High School & College Math Teacher. Married 43 yrs. w/2 children & 3 beautiful grandchildren. Love the Twins & Da Bears & NDSU Bison!!! NO DMs!","https://pbs.twimg.com/profile_images/1663721825900044290/n2B_QWok_normal.jpg","sheyenne9","2011-02-03T03:02:50.000Z",FALSE,FALSE,"Mary Jo McKay 🌻","Minnesota",NA,0,0,0,0,0,43,3111,5060,250463,54,101159,"After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/h9wihQEbaS",NA,NA
"5","RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton . https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","528777871",NA,"1846625805746438519",2024-10-16 18:54:35,"en","1846625805746438519",FALSE,"'American notes' - Cultural politics & Ideas. ‘Not just politics as usual.’ JFK Jr. (George Magazine)","https://pbs.twimg.com/profile_images/1731312621654007808/sWbq-cSA_normal.jpg","American_Notes_","2012-03-18T19:29:00.000Z",FALSE,FALSE,"American Notes ©","🇺🇸 Virgin Islands, Caribbean","https://t.co/uJEfmr0MNy",4,0,0,0,0,0,292,705,35161,4,17584,"RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/1HHUQq1kLi",NA,NA
"6","RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton . https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","2795660401",NA,"1846625773882314926",2024-10-16 18:54:27,"en","1846625773882314926",FALSE,"Not just politics as usual. 🇺🇸🇫🇷🇬🇧","https://pbs.twimg.com/profile_images/1822926180070170624/KENpylKQ_normal.jpg","American_Ideas_","2014-09-07T09:20:35.000Z",FALSE,FALSE,"Politics & Pop Culture","New York, USA","https://t.co/aGIs6kGgvk",4,0,0,0,0,0,2872,559,158371,102,8816,"RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/1HHUQq1kLi",NA,NA
"7","RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton . https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","1452773906029465607",NA,"1846604514201153607",2024-10-16 17:29:59,"en","1846604514201153607",FALSE,"Environment Reporter @ithacavoice | Previously: @TheAlligator @WUFTNews","https://pbs.twimg.com/profile_images/1646540362964680710/Xc6bO_3a_normal.jpg","fernfigue","2021-10-25T23:07:51.000Z",FALSE,FALSE,"Fernando A Figueroa","Miami, FL",NA,4,0,0,0,0,0,460,500,231,8,3084,"RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/1HHUQq1kLi",NA,NA
"8","RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton . https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","445107982",NA,"1846589670538490200",2024-10-16 16:31:00,"en","1846589670538490200",FALSE,"watchdog editor @heraldtribune | always repping @MiamiDolphins @MiamiHeat @fsufootball","https://pbs.twimg.com/profile_images/1796597638634123264/BiXePi2J_normal.jpg","JoshSalman","2011-12-24T01:17:16.000Z",FALSE,FALSE,"Josh Salman",NA,"https://t.co/QbiSCA2u1F",4,0,0,0,0,0,2827,970,18536,103,13457,"RT @HeraldTribune: After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/1HHUQq1kLi",NA,NA
"9","After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton . https   www heraldtribune com story news local manatee 2024 10 16 red tide suspected near communities impacted by hurricane milton 75700092007","everyone","6942422",NA,"1846589501075829093",2024-10-16 16:30:19,"en","1846589501075829093",FALSE,"The Sarasota Herald-Tribune is Southwest Florida's source for news, commentary and more.","https://pbs.twimg.com/profile_images/1369704378400186370/IVjDQiBD_normal.png","HeraldTribune","2007-06-19T21:13:46.000Z",FALSE,FALSE,"Sarasota Herald-Tribune","Sarasota, Florida","https://t.co/W5oFw0FxIi",4,0,3,0,1,1285,67021,816,129229,935,2015,"After Milton, satellite shows possible huge red tide bloom offshore Sarasota and Bradenton https://t.co/1HHUQq1kLi",NA,NA
"10","Sarasota Herald-Tribune wrote titled ""Algal bloom in Lake Manatee causes funky taste in Manatee County drinking water"" 

Systems with Catalytic carbon (which we offer), due to its enhanced surface area and special surface chemistry, removes geosmin which is the cause of the odor.. ","everyone","1813360957768261632",NA,"1813417643707130227",2024-07-17 03:37:12,"en","1813417643707130227",FALSE,"Water softening and filtration company servicing Manatee, Sarasota, Hillsborough and Pinellas Counties.","https://pbs.twimg.com/profile_images/1813364123180072960/LIzilCF4_normal.jpg","Hydrology_Inc","2024-07-16T23:52:11.000Z",FALSE,FALSE,"Hydrology Inc",NA,NA,0,0,0,0,0,6,0,4,1,0,0,"Sarasota Herald-Tribune wrote titled ""Algal bloom in Lake Manatee causes funky taste in Manatee County drinking water"" 

Systems with Catalytic carbon (which we offer), due to its enhanced surface area and special surface chemistry, removes geosmin which is the cause of the odor.",NA,NA
