"","text","id","conversation_id","created_at.x","lang","possibly_sensitive","author_id","reply_settings","in_reply_to_user_id","location","name","username","protected","verified","description","profile_image_url","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","pinned_tweet_id","text_with_display_links"
"1","@popsknox red tide😛 . ","994251641993027585","994227408332042241",2018-05-09 16:23:58,"da",FALSE,"1973497166","everyone","707758978","fla.","DearHuntingWithJesus","larcraft_",FALSE,FALSE,"","https://pbs.twimg.com/profile_images/1540154052079656962/DhHMhEQY_normal.jpg","2013-10-20T02:02:31.000Z",0,1,1,0,0,"79dc2655046fbc40",193,369,15304,5,NA,"1123341513621217282","@popsknox red tide😛 https://t.co/pPL57bShBN"
"2","And where’s #RickScott? Not in Florida. #AWOLRick. Brink: Toxic algae blooms from Lake Okeechobee are a stain on Florida . https   www tampabay com news business tourism Brink Toxic algae blooms from Lake Okeechobee are a stain on Florida _169667590","1014143379813347339","1014143379813347339",2018-07-03 13:46:38,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",1,0,4,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","And where’s #RickScott? Not in Florida. #AWOLRick. Brink: Toxic algae blooms from Lake Okeechobee are a stain on Florida https://t.co/Nx6bieN2FC"
"3","Did he drown in Green algae of #FloridaWaters? . https   twitter com lechatnoire4 status 1014858373651681282","1014896885625221120","1014896885625221120",2018-07-05 15:40:48,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"014069cb5218e532",2130,4627,156474,96,NA,"1144261559142748160","Did he drown in Green algae of #FloridaWaters? https://t.co/WmAcz8bWEE"
"4","JUST SO YOU KNOW ■■■■

GOV SCOTT DOES IT AGAIN!

              ■■■■■■■  . http   www orlandosentinel com opinion os ed rick scott gop responsiible for algae disaster paula dockery 070716 20160706 story amp html. https   twitter com paulmcclintock status 1021139454747205632 photo 1","1021139454747205632","1021139454747205632",2018-07-22 21:06:32,"en",FALSE,"61768027","everyone",NA,"West Coast of Central Florida","Paul McClintock","paulmcclintock",FALSE,FALSE,"Long retired K9 LEO■
HACKER STILL UNFOLLOWING
HUNDREDS that FOLLOW ME!
🛑🛑🛑🛑🛑🛑🛑🛑🛑🛑
TWITTER: PLEASE REFOLLOW ALL THAT FOLLOW ME!

@TWITTER SUPPORT 🛑","https://pbs.twimg.com/profile_images/1572640573470687234/rf4cOXod_normal.jpg","2009-07-31T13:16:49.000Z",2,0,3,0,0,"41de88d76c42e840",18721,10680,414566,573,NA,"1616828084233158656","JUST SO YOU KNOW ■■■■

GOV SCOTT DOES IT AGAIN!

              ■■■■■■■ https://t.co/lT5MCcxy6D https://t.co/fUynexz5dx"
"5","@HippeeDipeeChic @AltimariVincent @MattforFlorida1 It is crazy! My campaign manager and I grew up enjoying the Gulf Coast, so we’re accustomed to algae blooms like RedTide. Neither of us had ever seen anything like that!. ","1022176697360297984","1020990074526322688",2018-07-25 17:48:10,"en",FALSE,"866863817883615232","everyone","933709818937753601","Tampa, FL","Ryan Torrens","RyanforFL",FALSE,FALSE,"Consumer Protection Attorney ⚖️ 🍊, Small business owner, GW Law Alum, Outdoorsman 🐟, 5th Gen. Floridian 🇺🇸.","https://pbs.twimg.com/profile_images/1039279263541862403/Ho8NQhvJ_normal.jpg","2017-05-23T03:50:14.000Z",0,1,1,0,0,"01b3cd14363fbf47",773,656,1127,10,"https://t.co/z85fXGMCFT",NA,"@HippeeDipeeChic @AltimariVincent @MattforFlorida1 It is crazy! My campaign manager and I grew up enjoying the Gulf Coast, so we’re accustomed to algae blooms like RedTide. Neither of us had ever seen anything like that!"
"6","Its Time to GET OFF THE BEACHES PEOPLE.... RED TIDE DOESN'T PLAY!!!! . https   twitter com 10TampaBay status 1022996385866702849","1022997132939337728","1022997132939337728",2018-07-28 00:08:17,"en",FALSE,"952661320079495168","everyone",NA,"Tarpon Springs, FL","Jessica Pfleger Williams","LadyJVapeQueen7",FALSE,FALSE,"Live everyday to its fullest! Look, You are already on the internet 24/7 anyways, so why not get PAID FOR IT?

#ivapeivote #SocialDM #EARNFROMHOME","https://pbs.twimg.com/profile_images/1099834835672227840/NY2V1bq6_normal.jpg","2018-01-14T21:58:53.000Z",0,1,0,0,0,"8c1a061c37aea043",874,2860,3590,1,"https://t.co/YlcL9rUEpk","1540098855672365057","Its Time to GET OFF THE BEACHES PEOPLE.... RED TIDE DOESN'T PLAY!!!! https://t.co/KKJVQmQ2sY"
"7","@LadyJVapeQueen7 Keep that shit away from gulf shores. Headed there in a week. ","1023000777164574720","1022997132939337728",2018-07-28 00:22:46,"en",FALSE,"42033499","everyone","952661320079495168","St Louis, MO","🏒Kev bleeds Blue🏒","kevdt67",FALSE,FALSE,"I have a great son named Fox. go Cards Blues and fuck the Rams and Kroenke!  Army veteran","https://pbs.twimg.com/profile_images/1375092101566902280/3x7j4leg_normal.jpg","2009-05-23T14:24:10.000Z",0,0,0,0,0,NA,1058,1155,37280,36,NA,"1533450646594244610","@LadyJVapeQueen7 Keep that shit away from gulf shores. Headed there in a week"
"8","Your gotta see some crazy stuff tonight ....ITS A FULL MOON, RED TIDE  AND HOT AS HELL IN FL !!! BAAAABBBAY . https   twitter com LadyJVapeQueen7 status 1023012544091439104 photo 1","1023012544091439104","1023012544091439104",2018-07-28 01:09:31,"en",FALSE,"952661320079495168","everyone",NA,"Tarpon Springs, FL","Jessica Pfleger Williams","LadyJVapeQueen7",FALSE,FALSE,"Live everyday to its fullest! Look, You are already on the internet 24/7 anyways, so why not get PAID FOR IT?

#ivapeivote #SocialDM #EARNFROMHOME","https://pbs.twimg.com/profile_images/1099834835672227840/NY2V1bq6_normal.jpg","2018-01-14T21:58:53.000Z",0,0,2,1,0,"8c1a061c37aea043",874,2860,3590,1,"https://t.co/YlcL9rUEpk","1540098855672365057","Your gotta see some crazy stuff tonight ....ITS A FULL MOON, RED TIDE  AND HOT AS HELL IN FL !!! BAAAABBBAY https://t.co/h2hAAF9ETH"
"9","#RickScott did this. #AlgaeBloom is on Scott and his #Florida #GOPcronies in Tallahassee. #VoteBillNelson . https   twitter com stevebousquet status 1025410242182561793","1025510803456315398","1025510803456315398",2018-08-03 22:36:43,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","#RickScott did this. #AlgaeBloom is on Scott and his #Florida #GOPcronies in Tallahassee. #VoteBillNelson https://t.co/OwR1igmuB0"
"10","These are pictures from red tide which scientists have no idea what causes it. But I agree, let’s stop things like run off and other pollution that has been linked to red tide (without enough statistical proof to be said so) . https   twitter com georgiacook00 status 1024671652028850176","1025852201078587393","1025852201078587393",2018-08-04 21:13:18,"en",FALSE,"141687910","everyone",NA,"Orlando, FL","Becca LeMay","RebeccaAnn_227",FALSE,FALSE,"she/her","https://pbs.twimg.com/profile_images/1607443885495664642/dVtpghQH_normal.jpg","2010-05-08T19:04:35.000Z",0,0,1,0,0,"0003df7b402165e0",217,349,15422,0,NA,"1607444864605761538","These are pictures from red tide which scientists have no idea what causes it. But I agree, let’s stop things like run off and other pollution that has been linked to red tide (without enough statistical proof to be said so) https://t.co/dmpHnHVzCs"
"11","The very same people feeling good about abandoning #plasticstraws to #savetheoceans won't hold their #Floridapoliticians (and #Fanjuls and #Motts) accountable for #redtide from #lakeOkeechobee runoff. #sellout #bigsugar. ","1027165913332822016","1027165913332822016",2018-08-08 12:13:32,"en",FALSE,"18654365","everyone",NA,"Land O Lakes, FL , USA","Mark S. Hankins","flacorps",FALSE,FALSE,"(it) Incorporation Lawyer and Entrepreneur in sunny Florida","https://pbs.twimg.com/profile_images/1860776023/Mark_Hankins_Portrait_normal.jpg","2009-01-06T00:52:46.000Z",0,0,0,0,0,"00b6a1c7611dcf24",277,568,11653,34,"https://t.co/Rm3YjX8jK1","1314013909590867969","The very same people feeling good about abandoning #plasticstraws to #savetheoceans won't hold their #Floridapoliticians (and #Fanjuls and #Motts) accountable for #redtide from #lakeOkeechobee runoff. #sellout #bigsugar"
"12","This is on #RickScott and #Florida ##GOP Follow the #SlimeTrail Florida gutted water quality monitoring – as killer algae increased . https   www tampabay com florida politics buzz 2018 08 07 florida gutted water quality monitoring as killer algae increased","1027206114415394816","1027206114415394816",2018-08-08 14:53:16,"en",FALSE,"1045136112","everyone",NA,"San Antonio, Fl","Diane Verhoest","lfsgd_diane",FALSE,FALSE,"Retired Teacher. FL via NH via MA. Equality Advocate since '68. Not stopping now. Pass the damn ERA! My Sports & entertainment Acct: @SportsandRving","https://pbs.twimg.com/profile_images/1570914858442309640/CHcBIOgg_normal.jpg","2012-12-29T15:16:02.000Z",0,0,0,0,0,"0078551d41f411af",2130,4627,156474,96,NA,"1144261559142748160","This is on #RickScott and #Florida ##GOP Follow the #SlimeTrail Florida gutted water quality monitoring – as killer algae increased https://t.co/WMgreF9ZjZ"
