"","text","possibly_sensitive","conversation_id","lang","author_id","created_at.x","reply_settings","id","in_reply_to_user_id","username","location","profile_image_url","name","protected","created_at.y","verified","url","description","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","text_with_display_links"
"1","Get that algae 😎 #SuckerFish #PlecosAreCool… . ",FALSE,"963894417802350592","en","68295061",2018-02-14 21:55:12,"everyone","963894417802350592",NA,"ChrisDubbsFit","Tampa, FL","https://pbs.twimg.com/profile_images/687733171782316033/eJhpiMz3_normal.jpg","Christopher Dubbs",FALSE,"2009-08-24T01:51:26.000Z",FALSE,NA,"Resident DJ/MC at Score's Tampa. Personal Trainer. Power-bodybuilder and Fighting Artist. Modern Day Transcendentalist.","dc62519fda13b4ec",0,0,0,0,0,73,10,4508,46,NA,"Get that algae 😎 #SuckerFish #PlecosAreCool… https://t.co/VJkcvPpsZa"
"2","Dog days of summer have begun and since I have to sit around and check the algae one an hour, I decided to hang me a hammock and chill. Now if I could just get A/C . https   twitter com PDSKirk status 1006618572934787072 photo 1",FALSE,"1006618572934787072","en","3407500768",2018-06-12 19:25:44,"everyone","1006618572934787072",NA,"PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,1,2,0,0,280,663,5386,9,NA,"Dog days of summer have begun and since I have to sit around and check the algae one an hour, I decided to hang me a hammock and chill. Now if I could just get A/C https://t.co/PdcdlsM9bh"
"3","@PDSKirk leave the fridge open 😅. ",FALSE,"1006618572934787072","en","754361093783375872",2018-06-12 23:10:44,"everyone","1006675198014296064","3407500768","TwisDitter",NA,"https://pbs.twimg.com/profile_images/1371836889536339969/rvXUm6Kt_normal.jpg","Tay Wild",FALSE,"2016-07-16T17:04:35.000Z",FALSE,NA,"General love of all things Disney, but mainly on here to complain about complaints and the common Distwitter Smart-Assary.",NA,0,1,1,0,0,203,664,4021,0,"971188508613398528","@PDSKirk leave the fridge open 😅"
"4","@WildBoutDisney I wish that would work. ",FALSE,"1006618572934787072","en","3407500768",2018-06-12 23:12:01,"everyone","1006675517305704454","754361093783375872","PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,0,0,0,0,280,663,5386,9,NA,"@WildBoutDisney I wish that would work"
"5","@Kokomothegreat Lol -red wave is an algae scum bloom that's toxic.. ",FALSE,"1007825809804062722","en","330345047",2018-06-16 11:57:59,"everyone","1007955442608287745","881336677138128897","PamManos","Tampa","https://pbs.twimg.com/profile_images/1429080971/Pam_normal.jpg","Pam",FALSE,"2011-07-06T13:42:55.000Z",FALSE,NA,"","dc62519fda13b4ec",0,0,1,0,0,676,4552,69259,0,NA,"@Kokomothegreat Lol -red wave is an algae scum bloom that's toxic."
"6","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ . https   twitter com PLashley6 status 1008482831696310273 photo 1",FALSE,"1008482831696310273","en","918601320977895424",2018-06-17 22:53:38,"everyone","1008482831696310273",NA,"PLashley6","Tampa, FL","https://pbs.twimg.com/profile_images/977674350462685188/1KZmCmhD_normal.jpg","PhillipLashley6",FALSE,"2017-10-12T22:16:36.000Z",FALSE,NA,"Florida Freethinker, Doesn't Obey Well. 
Volunteer of America, Sometimes Obscene. All Lives Matter 🌎 ✌ 
#FBR #PRU","01af119d415cd7d2",0,0,0,0,0,3837,4250,15243,1,"1053292727302045696","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ https://t.co/kEu2YCDEt7"
"7","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom.  #tampabay. https   www wfla com 1254238095",FALSE,"1009917707142270978","en","18753503",2018-06-21 21:55:19,"everyone","1009917707142270978",NA,"coreydavis6abc","Philadelphia, PA","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg","Corey Davis",FALSE,"2009-01-08T04:25:03.000Z",FALSE,"https://t.co/6OczQSSujA","📺 Reporter @6abc","dc62519fda13b4ec",1,0,0,0,0,4290,4474,11151,104,"1510626972220727305","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom. https://t.co/M976VdLBfb #tampabay"
"8","For anyone who wants to criticize why Floridians are angry about our water policies see this:
. https   www tcpalm com picture gallery news local martin county 2018 06 29 algae colors shores at lake okeechobee waters at st lucie lock  dam 36508831",FALSE,"1013033211918802946","en","1154837329",2018-06-30 12:15:13,"everyone","1013033211918802946",NA,"TCPalmEKiller","Treasure Coast","https://pbs.twimg.com/profile_images/1615004242246344704/_5Vtr4SE_normal.jpg","Ed Killer",FALSE,"2013-02-06T19:08:21.000Z",TRUE,"https://t.co/ABGDRmgULg","@TCPalm \ Nice hat, Harry","dc62519fda13b4ec",3,1,3,0,0,3023,1329,38998,104,"1574843808675774465","For anyone who wants to criticize why Floridians are angry about our water policies see this:
https://t.co/PzK31dvmKP"
"9","I so shame. Florida Algae blooms. Many of us env engs work on nutrient management here. Politics we fear. The audacity to tell other places we are leaders on this. @UF @orwrp @Commander_Cero @USouthFlorida @AEESProfs @USF_Reclaim @jenstaletovich . https   www miamiherald com news local environment article213849429 html",FALSE,"1013401209313603584","en","26883873",2018-07-01 12:37:31,"everyone","1013401209313603584",NA,"matrotz","Tampa, FL","https://pbs.twimg.com/profile_images/1567502537921536001/uFjfLKEj_normal.jpg","Maya Trotz",FALSE,"2009-03-26T23:18:17.000Z",FALSE,"https://t.co/lH030ffTqI","everyday person. educator. environmental engineer. Professor, USF; Past President, AEESP; Board Member, Fragments of Hope Corp. Views are mine alone.","074d5ce471c43508",2,0,4,0,0,1973,2098,7442,44,"1312260476781424640","I so shame. Florida Algae blooms. Many of us env engs work on nutrient management here. Politics we fear. The audacity to tell other places we are leaders on this. @UF @orwrp @Commander_Cero @USouthFlorida @AEESProfs @USF_Reclaim @jenstaletovich https://t.co/Jz3983fxua"
"10","Should we feel better or worst that it's not just #Florida? #ToxicAlgae . ",FALSE,"1017241856508334081","en","51509822",2018-07-12 02:58:52,"everyone","1017241856508334081",NA,"DinahVP","Florida, US","https://pbs.twimg.com/profile_images/790425368851197952/3FBqZZbR_normal.jpg","Dinah Voyles Pulver",FALSE,"2009-06-27T18:16:00.000Z",TRUE,NA,"Climate / environment reporter. Mom & daughter of veterans. Crazy Grandma.","dc62519fda13b4ec",0,0,1,0,0,4297,2082,39999,198,NA,"Should we feel better or worst that it's not just #Florida? #ToxicAlgae https://t.co/jpeXUIQgQD"
