"","text","possibly_sensitive","author_id","created_at.x","lang","id","in_reply_to_user_id","reply_settings","conversation_id","name","profile_image_url","verified","location","protected","description","username","created_at.y","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","pinned_tweet_id","text_with_display_links"
"1","This discussion, at Thursday’s @StPeteFL council meeting, was about a string of recent wastewater spills that totaled 2 million gallons, including one that contaminated a park lake. Here’s that story . https   www tampabay com st petersburg st petersburg has spilled 2 million gallons of wastewater in the last three months 20181207",FALSE,"234007105",2018-12-15 16:16:49,"en","1073975174997991430","234007105","everyone","1073974562805690368","Josh Solomon","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"Tampa, Florida",FALSE,"Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","ByJoshSolomon","2011-01-04T16:50:04.000Z","5d231ed8656fcf5a",0,1,0,0,0,2373,1804,5204,86,"https://t.co/legWM94AHg",NA,"This discussion, at Thursday’s @StPeteFL council meeting, was about a string of recent wastewater spills that totaled 2 million gallons, including one that contaminated a park lake. Here’s that story https://t.co/NXUT9FtchW"
"2","@KevCKing . https   www tampabay com tampa nearly 1 million gallons of wastewater spilled around tampa bay 20181224",FALSE,"234007105",2018-12-24 22:39:38,"qme","1077333001367941120","241599125","everyone","1077265002673909764","Josh Solomon","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"Tampa, Florida",FALSE,"Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","ByJoshSolomon","2011-01-04T16:50:04.000Z","5d231ed8656fcf5a",0,1,2,0,0,2373,1804,5204,86,"https://t.co/legWM94AHg",NA,"@KevCKing https://t.co/Vx5ftXL5Gp"
"3","Been a tough couple days for the Tampa Bay area's wastewater systems. Between Clearwater, St. Pete and Tampa, nearly 1 million gallons of wastewater spilled since Thursday. . https   www tampabay com tampa nearly 1 million gallons of wastewater spilled around tampa bay 20181224",FALSE,"234007105",2018-12-24 22:41:29,"en","1077333470857363456",NA,"everyone","1077333470857363456","Josh Solomon","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"Tampa, Florida",FALSE,"Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","ByJoshSolomon","2011-01-04T16:50:04.000Z","5d231ed8656fcf5a",0,1,1,1,0,2373,1804,5204,86,"https://t.co/legWM94AHg",NA,"Been a tough couple days for the Tampa Bay area's wastewater systems. Between Clearwater, St. Pete and Tampa, nearly 1 million gallons of wastewater spilled since Thursday. https://t.co/Vx5ftXL5Gp"
"4","@stillgray @AOC OMG! That is really clever. Haha! 

But it would be even better with a bunch of factories spewing soot and toxic fumes. 

Maybe a big pipe pumping toxic chemicals into a river with dead fish floating on the surface and those cartoon x's on their eyes!

Now THAT'S #Capitalism! . https   twitter com nuyorkn status 1168188878714486784 photo 1",FALSE,"423989001",2019-09-01 15:48:27,"en","1168188878714486784","16106584","everyone","1167486090913210369","Maria M. Agosto","https://pbs.twimg.com/profile_images/898232460936265728/XbjkS_0L_normal.jpg",FALSE,"Tampa Bay Florida",FALSE,"NuYoRican activist/CAPITALISM STOPS AT NOTHING so why are you shocked? We choose a 7th generation political framework or remain justly fucked. #BLM","nuyorkn","2011-11-29T05:28:28.000Z","00f547f36abae34d",0,0,0,0,0,768,1088,21924,10,"https://t.co/nsUfKZ7mht","1527708222731309058","@stillgray @AOC OMG! That is really clever. Haha! 

But it would be even better with a bunch of factories spewing soot and toxic fumes. 

Maybe a big pipe pumping toxic chemicals into a river with dead fish floating on the surface and those cartoon x's on their eyes!

Now THAT'S #Capitalism! https://t.co/Ow4BNOBSvD"
"5","So glad that @Kriseman found a use for that excess wastewater that St. Pete used to dump in the Bay. . https   twitter com albamonica status 1321883419673038860",FALSE,"1279179535519539201",2020-10-29 21:32:05,"en","1321927813017030658",NA,"everyone","1321927813017030658","Dominic Fabiscus","https://pbs.twimg.com/profile_images/1279183429804924928/GKF_dQrh_normal.jpg",FALSE,"Seminole, FL",FALSE,"I’m back #BoneFam. Suck a bag of fucks ! love ya !","RealDomFabiscus","2020-07-03T22:25:54.000Z","01e32cf975801396",0,0,2,0,0,318,374,4561,1,NA,NA,"So glad that @Kriseman found a use for that excess wastewater that St. Pete used to dump in the Bay. https://t.co/p4yVfNwFbS"
"6","⚠️(RED TIDE UPDATE - MAY 19)⚠️  There are two areas of elevated karenia brevis (aka red tide) off the coast of SWFL.  They both potentially have anthropogenic origins: Piney Point Phosphate Mine wastewater &amp; Lake Okeechobee discharge. . ",FALSE,"1452715530",2021-05-20 01:50:06,"en","1395195094928613376",NA,"everyone","1395195094928613376","Bryan Bennett","https://pbs.twimg.com/profile_images/1376726005419761670/kYF7H8db_normal.jpg",FALSE,"Tampa, FL",FALSE,"Meteorologist, AMS Certified, Emmy awards for coverage of Hurricane Sandy & Irene, Undergrad degree from GT, Graduate degree from MS State.","weatherbryan","2013-05-23T23:11:40.000Z","5d231ed8656fcf5a",17,2,15,3,0,3449,694,16981,150,NA,NA,"⚠️(RED TIDE UPDATE - MAY 19)⚠️  There are two areas of elevated karenia brevis (aka red tide) off the coast of SWFL.  They both potentially have anthropogenic origins: Piney Point Phosphate Mine wastewater &amp; Lake Okeechobee discharge. https://t.co/0onf8LKidN"
"7","AREA 2 (LEE, COLLIER):

➡️ Varying levels of red tide have been plaguing this area for several months.  Recent intensification to high levels of karenia brevis has occurred from Port Charlotte to Naples.",FALSE,"1452715530",2021-05-20 01:50:07,"en","1395195099575894016","1452715530","everyone","1395195094928613376","Bryan Bennett","https://pbs.twimg.com/profile_images/1376726005419761670/kYF7H8db_normal.jpg",FALSE,"Tampa, FL",FALSE,"Meteorologist, AMS Certified, Emmy awards for coverage of Hurricane Sandy & Irene, Undergrad degree from GT, Graduate degree from MS State.","weatherbryan","2013-05-23T23:11:40.000Z","5d231ed8656fcf5a",3,1,3,0,0,3449,694,16982,150,NA,NA,NA
"8","➡️ Due to the low concentrations, dead fish and respiratory issues are minimal in this area.  Lets hope that this area of k. brev dissipates in the coming week(s).",FALSE,"1452715530",2021-05-20 01:50:07,"en","1395195097705336837","1452715530","everyone","1395195094928613376","Bryan Bennett","https://pbs.twimg.com/profile_images/1376726005419761670/kYF7H8db_normal.jpg",FALSE,"Tampa, FL",FALSE,"Meteorologist, AMS Certified, Emmy awards for coverage of Hurricane Sandy & Irene, Undergrad degree from GT, Graduate degree from MS State.","weatherbryan","2013-05-23T23:11:40.000Z","5d231ed8656fcf5a",1,1,3,0,0,3449,694,16982,150,NA,NA,NA
"9","AREA ONE (S. PINELLAS, MANATEE, SRQ):

➡️ Fortunately, the karenia brevis concentration is low in this area.

➡️ The karenia brevis has appeared a month after the wastewater was released from the nearby phosphate mine.",FALSE,"1452715530",2021-05-20 01:50:07,"en","1395195096845389826","1452715530","everyone","1395195094928613376","Bryan Bennett","https://pbs.twimg.com/profile_images/1376726005419761670/kYF7H8db_normal.jpg",FALSE,"Tampa, FL",FALSE,"Meteorologist, AMS Certified, Emmy awards for coverage of Hurricane Sandy & Irene, Undergrad degree from GT, Graduate degree from MS State.","weatherbryan","2013-05-23T23:11:40.000Z","5d231ed8656fcf5a",1,1,2,0,0,3449,694,16982,150,NA,NA,NA
"10","➡️ Massive amounts of nutrient &amp; algae loaded water is being discharged into the Caloosahatchee, eventually into the Gulf.

➡️ Today's discharge averaged nearly 3,000 cfs. At this rate, a swimming pool could be filled with polluted water every second.  Largest discharge in months",FALSE,"1452715530",2021-05-20 01:50:08,"en","1395195101329215489","1452715530","everyone","1395195094928613376","Bryan Bennett","https://pbs.twimg.com/profile_images/1376726005419761670/kYF7H8db_normal.jpg",FALSE,"Tampa, FL",FALSE,"Meteorologist, AMS Certified, Emmy awards for coverage of Hurricane Sandy & Irene, Undergrad degree from GT, Graduate degree from MS State.","weatherbryan","2013-05-23T23:11:40.000Z","5d231ed8656fcf5a",2,0,3,2,0,3449,694,16982,150,NA,NA,NA
