"","text","in_reply_to_user_id","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","pinned_tweet_id","url","profile_image_url","verified","username","created_at.y","name","description","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","withheld.x_copyright","text_with_display_links","reply.to.thread.no.term"
"1","Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. . http   www bradenton com news local article199902604 html",NA,FALSE,2018-02-13 23:17:45,"everyone","963552805696008196","906152580","en","963552805696008196",FALSE,NA,"https://t.co/lqYfkGMqDH","https://pbs.twimg.com/profile_images/1402263891594317826/NzFiwvcZ_normal.jpg",TRUE,"mannahhorse","2012-10-26T14:54:09.000Z","Hannah Morse 🌅","Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi 👋: hmorse@pbpost.com","West Palm Beach, FL",1,0,0,0,0,2188,1821,10449,76,NA,NA,"Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. https://t.co/LOyO5gUU9z",FALSE
"2","RT @mannahhorse: Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. . http   www bradenton com news local article199902604 html",NA,FALSE,2018-02-14 02:48:41,"everyone","963605887385571328","349049976","en","963605887385571328",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1533823573181157376/JHIldUXO_normal.jpg",TRUE,"MRMasferrer","2011-08-05T13:16:34.000Z","Marc R. Masferrer","","Bradenton, Fla.",1,0,0,0,0,3163,1919,76814,119,NA,NA,"RT @mannahhorse: Two months after 3M gallons of wastewater was spilled, the same Cortez Road West project leads to yet another spill and could affect Palma Sola Bay. https://t.co/LOyO5gUU9z",FALSE
"3","Wastewater spills into Manatee River 
Full details here:  . https   www mysuncoast com news wastewater spills into manatee river article_9153b68a 65d0 11e8 812b 97f1249239d3 html. https   twitter com mysuncoast status 1002631837854978048 photo 1",NA,FALSE,2018-06-01 19:23:52,"everyone","1002631837854978048","9581122","en","1002631837854978048",FALSE,NA,"http://t.co/nQUeAxZ5Ke","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg",TRUE,"mysuncoast","2007-10-21T15:57:27.000Z","ABC7 Sarasota","ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","Sarasota, Florida",1,1,0,0,0,67072,855,89862,690,NA,NA,"Wastewater spills into Manatee River 
Full details here: https://t.co/DdFCOxAqW9 https://t.co/2D8PJJCorB",FALSE
"4","@mysuncoast Sarasota county calls that a Tuesday.. ","9581122",FALSE,2018-06-01 19:28:13,"everyone","1002631837854978048","128643464","en","1002632931167428609",FALSE,NA,"https://t.co/U3klN71mM6","https://pbs.twimg.com/profile_images/1369049552/BeachSiesta003026415_570_normal.jpg",FALSE,"FLKeysBeachBum","2010-04-01T19:09:30.000Z","Beach Bum","Relaxed in the sun, low as possible","Siesta Key, FL",0,0,0,0,0,515,339,227267,17,NA,NA,"@mysuncoast Sarasota county calls that a Tuesday.",TRUE
"5","#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast. ",NA,FALSE,2019-01-09 09:36:38,"everyone","1082934159591510016","3105087901","en","1082934159591510016",FALSE,NA,"https://t.co/VVBfSzAeLW","https://pbs.twimg.com/profile_images/1062406118822080512/IFOf0OaE_normal.jpg",TRUE,"JessDoudrick","2015-03-23T15:59:22.000Z","Jessica Smylie","Comm Director @american_heart covering NE Ohio. Retired anchor/reporter for @mysuncoast in #Sarasota & @jet24fox66 in #Erie. York, PA native. @eagles fan.","Cleveland, OH",3,0,1,0,0,1216,703,6761,27,NA,NA,"#GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast",FALSE
"6","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast. ",NA,FALSE,2019-01-09 09:39:37,"everyone","1082934909356912646","14769495","en","1082934909356912646",FALSE,"1194349616017350656",NA,"https://pbs.twimg.com/profile_images/1538080167272230913/InfhMtw0_normal.png",FALSE,"KEBrightbill","2008-05-14T05:13:30.000Z","Kathryn Brightbill 🖋️ (Parody?)","Sometimes writer | Precinct Committeeperson @DemocratManatee | #GatorNation 🐊 | Pronouns: Any, just be respectful🌈 | Opinions mine |

#GoBolts #GoBucs #RaysUp","Florida, USA",3,0,0,0,0,10868,3634,334128,165,NA,NA,"RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast",FALSE
"7","RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast. ",NA,FALSE,2019-01-09 09:49:02,"everyone","1082937280715730945","9581122","en","1082937280715730945",FALSE,NA,"http://t.co/nQUeAxZ5Ke","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg",TRUE,"mysuncoast","2007-10-21T15:57:27.000Z","ABC7 Sarasota","ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","Sarasota, Florida",3,0,0,0,0,67072,855,89862,690,NA,NA,"RT @JessDoudrick: #GoodMorningSuncoast! Here are your Wednesday headlines:

- 80,000 gal of wastewater spill into stormwater drains, Wares Creek in #Bradenton
- Diving deeper into investigation of Manatee Co. Superintendent Cynthia Saunders
- Recap of Pres Trump's border wall address

@mysuncoast",FALSE
"8","And yet another 80,000 gallons of raw sewage is dumped into Florida's waterways.
Just another day in Florida...
Take a dump here... Take a dump there... Here a dump... There a dump... Everywhere a dump - dump...E, I, E, I, Oh FLORIDA. . http   www mysuncoast com 2019 01 08 around gallons wastewater enters wares creek bradenton following force main break",NA,FALSE,2019-01-10 00:07:31,"everyone","1083153327683239943","90986529","en","1083153327683239943",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1239487935621353472/oJwoxgSS_normal.jpg",FALSE,"towallac","2009-11-18T23:33:45.000Z","Tom Wallace","",NA,0,0,0,0,0,44,95,33190,3,NA,NA,"And yet another 80,000 gallons of raw sewage is dumped into Florida's waterways.
Just another day in Florida...
Take a dump here... Take a dump there... Here a dump... There a dump... Everywhere a dump - dump...E, I, E, I, Oh FLORIDA. https://t.co/10x1hLD5Kv",FALSE
"9","On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed.. ",NA,FALSE,2019-02-25 18:06:12,"everyone","1100094628311810048","21992035","en","1100094628311810048",FALSE,NA,"https://t.co/XWTXNo6tNp","https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg",TRUE,"ReadCarlos","2009-02-26T08:55:50.000Z","Carlos R. Munoz 📰","Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social","⚓ Cumberland, RI ",1,0,1,0,0,3376,1859,40396,96,NA,NA,"On Friday, a contractor hit a sewer line at 5250 Gulf of Mexico Drive on Longboat Key at about 7:30 p.m. resulting in a spill of less than 1,000 gallons of wastewater. Repairs will be completed by Wednesday. The spill has been plugged and bypassed.",FALSE
"10","More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",NA,FALSE,2020-06-09 19:51:03,"everyone","1270443308267925505","17544442","en","1270443308267925505",FALSE,NA,"https://t.co/KBo4cZ3VYG","https://pbs.twimg.com/profile_images/882569215559028736/RMkZ8wkh_normal.jpg",TRUE,"wusf","2008-11-21T20:07:08.000Z","WUSF","WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","Tampa, FL",3,0,1,0,0,14653,2305,37951,484,NA,NA,"More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"11","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",NA,FALSE,2020-06-09 19:54:18,"everyone","1270444127105187840","730963068","en","1270444127105187840",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg",TRUE,"wusfschreiner","2012-08-01T16:09:25.000Z","Mark Schreiner","Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.","Palm Harbor, FL",3,0,0,0,0,1587,2871,20539,57,NA,NA,"RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"12","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",NA,FALSE,2020-06-09 21:58:44,"everyone","1270475443649556480","981045752","en","1270475443649556480",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/808689431448350721/T9t_vHr__normal.jpg",FALSE,"Steph_Colombini","2012-11-30T19:09:50.000Z","Stephanie Colombini","Health reporter for WUSF Public Media, Tampa Bay’s NPR station. Still a New Yorker. Live for live music! She/her","New York, USA",3,0,0,0,0,671,810,4222,19,NA,NA,"RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"13","RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
. https   wusfnews wusf usf edu post 800k gallons sewage spills sarasota bay",NA,FALSE,2020-06-09 22:56:50,"everyone","1270490063923818502","853887504","en","1270490063923818502",FALSE,"1523438730370973697","https://t.co/8jklgDElo5","https://pbs.twimg.com/profile_images/1346968771748114434/SuJXG2gN_normal.jpg",TRUE,"JMMeszaros","2012-09-30T01:22:48.000Z","Jessica Meszaros","All Things Considered host and sustainability reporter for @WUSF, @NPR for the Tampa Bay area. (she/her) Retweets are not endorsements.","Tampa, FL",3,0,0,0,0,1004,1412,2812,54,NA,NA,"RT @wusf: More than 800,000 gallons of raw sewage spilled into Sarasota Bay after a wastewater pipe broke in Bradenton earlier this month.
https://t.co/fZahlYuoKR",FALSE
"14","26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 21:45:00,"everyone","1278444520510763009","26014932","en","1278444520510763009",FALSE,NA,"https://t.co/C8yRkQVAYP","https://pbs.twimg.com/profile_images/964559428560281600/xGdD0z3r_normal.jpg",TRUE,"kkuizon","2009-03-23T14:53:08.000Z","Kim Kuizon FOX 13","Fox 13 WTVT Reporter. Florida Girl living the dream. Wife, new mom, Gator, adventure seeker-outdoor lover & trying to juggle it all at once. Opinions are my own","Tampa Bay",12,9,18,7,0,7308,516,21130,190,NA,NA,"26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"15","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 21:45:12,"everyone","1278444570838290433","15750898","en","1278444570838290433",FALSE,"1598030799273660422","https://t.co/MUtKcxEsVq","https://pbs.twimg.com/profile_images/1459177564178681893/Y3jxK1Xd_normal.jpg",TRUE,"FOX13News","2008-08-06T15:12:10.000Z","FOX 13 Tampa Bay","Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","Tampa, FL",12,0,0,0,0,377201,4626,258193,1876,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"16","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 21:46:05,"everyone","1278444791659978754","855039889","en","1278444791659978754",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/2666560011/ca6cc07c5cdce398fa0957be56cf16ff_normal.png",FALSE,"LarryToweTV","2012-09-30T17:14:40.000Z","Larry Towe","Special Projects Photographer for WTVT FOX13, tinkerer, gardener, maker of wooden things. WHSV, WVPT, MCT, WHTM. Opinions my own.","Tampa, Florida",12,0,0,0,0,1963,1436,15365,68,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"17","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 21:46:11,"everyone","1278444816045608967","347254898","en","1278444816045608967",FALSE,"1380996071128756224",NA,"https://pbs.twimg.com/profile_images/1380143134328377347/LD1PQlwq_normal.jpg",FALSE,"Fla_Yakker","2011-08-02T14:23:30.000Z","🛶𝕭𝖗𝖆𝖉🛶","Florida kayak fisherman, Army Brat
#VibeKayaks #ReefAndReel #AccCrappieStix #ShimanoReels #Eurotackle #Garmin #FloGrown #DakotaLithium","Spring Hill, FL",12,0,0,0,0,477,476,11496,2,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"18","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 21:51:47,"everyone","1278446225780506631","2167192391","en","1278446225780506631",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/378800000690981287/aa9a046688047a9e4762f984eb41b3cf_normal.jpeg",FALSE,"adenine2k","2013-11-04T00:31:40.000Z","Adenine","Chemist. History buff. Avid reader. Knowledge hoarder and disseminator. Nerd.",NA,12,0,0,0,0,20,227,510,1,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"19","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 21:58:18,"everyone","1278447866198065152","882305157987536897","en","1278447866198065152",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1155595932160942080/UbcRRfk__normal.jpg",FALSE,"hellkat707","2017-07-04T18:28:36.000Z","Hellkat707","","Plant City, FL",12,0,0,0,0,19,319,238,0,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"20","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 22:09:33,"everyone","1278450697680363523","1088234470665318407","en","1278450697680363523",FALSE,"1620478099438841856","https://t.co/6yi0YHBPbb","https://pbs.twimg.com/profile_images/1088234674588069888/jMon1JDL_normal.jpg",FALSE,"a4floridacajun","2019-01-24T00:38:11.000Z","ari4","Love the Gulf Coast, and other conservative ideas, places and interfaces. #proLife, low-debt #capitalist, #philosophy as it helps. More at https://t.co/H6efs4NYp7.","Northwest Florida ",12,0,0,0,0,2882,3782,96767,9,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
"21","@kkuizon @FOX13News Blackwater or graywater, do we know?. ","26014932",FALSE,2020-07-01 22:19:32,"everyone","1278444520510763009","731985605601693697","en","1278453211893059584",FALSE,"1550547728081760256",NA,"https://pbs.twimg.com/profile_images/1587645329154899969/QC2PWNoc_normal.jpg",FALSE,"_gulfcoastchris","2016-05-15T23:12:22.000Z","Gulf Coast Chris","Liberal. Veteran. Patriot.","West Coast Best Coast!",0,1,0,0,0,41,128,5264,1,NA,NA,"@kkuizon @FOX13News Blackwater or graywater, do we know?",TRUE
"22","@kkuizon @FOX13News There are very few things all people agree Governments should do - and they end up screwing that up too.. ","26014932",FALSE,2020-07-01 22:36:30,"everyone","1278444520510763009","1857157704","en","1278457480587198467",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/1280482594774269952/7F1X2RNT_normal.jpg",FALSE,"TampaFLPolitico","2013-09-12T11:58:10.000Z","Ranger Rick","","Tampa, FL",0,0,1,0,0,235,314,21951,1,NA,NA,"@kkuizon @FOX13News There are very few things all people agree Governments should do - and they end up screwing that up too.",TRUE
"23","RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee . https   twitter com kkuizon status 1278444520510763009 photo 1",NA,FALSE,2020-07-01 23:06:53,"everyone","1278465126849490947","804386261121331201","en","1278465126849490947",FALSE,"1044215000859070465","https://t.co/ZnwnUr6tGL","https://pbs.twimg.com/profile_images/1436747035391168512/YN8OvYFK_normal.jpg",FALSE,"Frankiesdeadmgt","2016-12-01T18:06:44.000Z","Glock Sabbath 🥀☠️","the DEAD🌹💀🌹 #longlivebrucelean FL photographer @tampatattooco @headhighfl","Tampa, FL",12,0,0,0,0,1015,834,58593,2,NA,NA,"RT @kkuizon: 26 to 28 million gallons of wastewater is believed to have spilled into Sarasota Bay. This comes following a leak from an underwater pipe from Longboat Key @fox13news #Longboatkey #Sarasota #Manatee https://t.co/JGlyCCD342",FALSE
