"","text","conversation_id","reply_settings","created_at.x","possibly_sensitive","id","author_id","lang","in_reply_to_user_id","profile_image_url","description","name","username","created_at.y","protected","verified","pinned_tweet_id","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","text_with_display_links","reply.to.thread.no.term"
"1","St. Pete says wastewater spill never reached the bay. Its own report says otherwise.  @TB_Times. https   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987405295629484034","everyone",2018-04-20 18:59:02,FALSE,"987405295629484034","14304462","en",NA,"https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg","Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN","Tampa Bay Times","TB_Times","2008-04-04T17:14:50.000Z",FALSE,TRUE,"1593648689536413696","St. Petersburg, Florida",5,1,7,1,0,NA,319685,5489,267635,3122,"https://t.co/cGIDc1tNIf","St. Pete says wastewater spill never reached the bay. Its own report says otherwise. https://t.co/N4r3ZcbRRY @TB_Times",FALSE
"2","RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise.  @TB_Times. https   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987406913422979073","everyone",2018-04-20 19:05:27,FALSE,"987406913422979073","170194095","en",NA,"https://pbs.twimg.com/profile_images/1069282339136684032/_15JqUJn_normal.jpg","Tweets about Pasco, Hillsborough, Tampa, Florida politics, sports and more. USF Alum, tweets and jokes are my own, standard professional disclaimer.","Andy","andytaylor6","2010-07-24T04:50:07.000Z",FALSE,FALSE,"1177164963313528833","Wesley Chapel, FL",5,0,0,0,0,NA,1452,1380,101198,63,NA,"RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise. https://t.co/N4r3ZcbRRY @TB_Times",FALSE
"3","RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise.  @TB_Times. https   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987409816279814144","everyone",2018-04-20 19:17:00,FALSE,"987409816279814144","5145791","en",NA,"https://pbs.twimg.com/profile_images/496686675645308928/2e9hRrSv_normal.jpeg","Senior staff writer for @thewarzonewire, former MilitaryTimes senior managing editor, military reporter @TB_Times","Howard Altman","haltman","2007-04-18T18:49:51.000Z",FALSE,FALSE,NA,"ÜT: 28.24983,-82.725911",5,0,0,0,0,NA,14478,13357,65010,421,"https://t.co/XYtpsoSnfM","RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise. https://t.co/N4r3ZcbRRY @TB_Times",FALSE
"4","RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise.  @TB_Times. https   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987410092067901441","everyone",2018-04-20 19:18:05,FALSE,"987410092067901441","3297226109","en",NA,"https://pbs.twimg.com/profile_images/1605696013859258368/cBQqbm6i_normal.jpg","traveler,artsy fartsy,treehuggin, beer snob,avid reader, RN and music fiend #resist#FBR#antifa#blm#straightbutnotnarrow🆘☮️🌎#rbg#goodtrouble","Robin🆘☮️🌎🔄","RobinStroup","2015-05-25T00:08:51.000Z",FALSE,FALSE,"1289228737666404358","The Cone of Uncertainty",5,0,0,0,0,NA,6376,6384,205594,54,NA,"RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise. https://t.co/N4r3ZcbRRY @TB_Times",FALSE
"5","RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise.  @TB_Times. https   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987410497354989568","everyone",2018-04-20 19:19:42,FALSE,"987410497354989568","71576852","en",NA,"https://pbs.twimg.com/profile_images/1617403540325924865/QazPmLzl_normal.jpg","Journalist working on  DoD environmental contamination including MARINE LIFE from @UChicagoPress (2024) / rep @amylizbishop / alum @newmarkjschool","Lori Freshwater","loufreshwater","2009-09-04T16:38:03.000Z",FALSE,TRUE,"1522614670762426368","NC or RI or NYC probably",5,0,0,0,0,NA,5336,2987,143205,264,"https://t.co/O78WnsdtTl","RT @TB_Times: St. Pete says wastewater spill never reached the bay. Its own report says otherwise. https://t.co/N4r3ZcbRRY @TB_Times",FALSE
"6","  and then, this: 
Great reporting by @ByJoshSolomon. https   twitter com StPetePW status 959179681600884736. http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987413829997998081","everyone",2018-04-20 19:32:56,FALSE,"987413829997998081","17873369","en",NA,"https://pbs.twimg.com/profile_images/1169326335266873344/TEB8ae5V_normal.jpg","Tampa City Hall reporter for @TB_Times. Formerly covered St. Petersburg and Clearwater. Retweets and Favorites aren't endorsements.","Charlie Frago","CharlieFrago","2008-12-04T18:03:12.000Z",FALSE,TRUE,NA,"Tampa, FL",0,1,1,1,0,NA,4927,3737,14783,155,"https://t.co/uISsduaLRA","https://t.co/Lwfr6yr0bU  and then, this: https://t.co/xXXu0Pieze
Great reporting by @ByJoshSolomon",FALSE
"7","City says no reclaimed water reached Tampa Bay in January spill. Its own internal report suggests otherwise. City says that's just a draft, don't read into it. @ByJoshSolomon . http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203","987414055810977792","everyone",2018-04-20 19:33:50,FALSE,"987414055810977792","213164823","en",NA,"https://pbs.twimg.com/profile_images/560772860545757185/UJ0f-WFA_normal.jpeg","Investigative reporter @TB_Times. zsampson@tampabay.com. On Signal: 813-534-0157. he/him.","Zack Sampson","ZackSampson","2010-11-08T04:18:07.000Z",FALSE,TRUE,NA,"St. Petersburg, Fla.",0,0,1,0,0,NA,3326,869,14759,153,"https://t.co/YleaqdcAN8","City says no reclaimed water reached Tampa Bay in January spill. Its own internal report suggests otherwise. City says that's just a draft, don't read into it. @ByJoshSolomon https://t.co/FSS4e1g6Lf",FALSE
"8","Let's make this a little more clear @StPetePW has some 'splaining to do:  . http   www tampabay com news localgovernment St Pete says wastewater spill never reached the bay Its own report says otherwise _167452203. https   twitter com CharlieFrago status 987413829997998081","987414086471299073","everyone",2018-04-20 19:33:58,FALSE,"987414086471299073","17873369","en",NA,"https://pbs.twimg.com/profile_images/1169326335266873344/TEB8ae5V_normal.jpg","Tampa City Hall reporter for @TB_Times. Formerly covered St. Petersburg and Clearwater. Retweets and Favorites aren't endorsements.","Charlie Frago","CharlieFrago","2008-12-04T18:03:12.000Z",FALSE,TRUE,NA,"Tampa, FL",2,1,2,0,0,NA,4927,3737,14783,155,"https://t.co/uISsduaLRA","Let's make this a little more clear @StPetePW has some 'splaining to do: https://t.co/xXXu0Pieze https://t.co/um5pJuAMMf",FALSE
"9","@CharlieFrago Good thing they have a $90K (or whatever it was) spokesman!. ","987414086471299073","everyone",2018-04-20 19:40:33,FALSE,"987415745712873473","170194095","en","17873369","https://pbs.twimg.com/profile_images/1069282339136684032/_15JqUJn_normal.jpg","Tweets about Pasco, Hillsborough, Tampa, Florida politics, sports and more. USF Alum, tweets and jokes are my own, standard professional disclaimer.","Andy","andytaylor6","2010-07-24T04:50:07.000Z",FALSE,FALSE,"1177164963313528833","Wesley Chapel, FL",0,1,1,0,0,NA,1483,1401,102644,63,NA,"@CharlieFrago Good thing they have a $90K (or whatever it was) spokesman!",TRUE
"10","@andytaylor6 ~$95K last I checked. Update @StPetePW?. ","987414086471299073","everyone",2018-04-20 19:41:33,FALSE,"987415997937278983","17873369","en","170194095","https://pbs.twimg.com/profile_images/1626331027986690048/BRnBMt_m_normal.jpg","Former journalist","Charlie Frago","CharlieFrago","2008-12-04T18:03:12.000Z",FALSE,FALSE,NA,"Clearwater, FL",0,0,1,0,0,NA,4988,3776,14841,154,NA,"@andytaylor6 ~$95K last I checked. Update @StPetePW?",TRUE
