"","text","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","url","profile_image_url","verified","username","created_at.y","name","description","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant . https   www tampabay com pasco new port richey plant spills 150000 gallons of wastewater into cross bayou 20190508",FALSE,2019-05-11 23:00:38,"everyone","1127347811660500992","1088196428961406976","en","1127347811660500992",FALSE,NA,"https://t.co/AR8sz1dyFZ","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",FALSE,"awsproject","2019-01-23T22:07:01.000Z","American Water Security Project","Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",0,0,0,0,0,92,95,1368,1,NA,NA,NA,"West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant https://t.co/t0uySzmdjb",FALSE
"2","No major water-quality problems detected following sewage spill last week in New Port Richey 

— Tampa Bay Times (TB_Times) May 15, 2019. https   www tampabay com hernando no major water quality problems detected following sewage spill last week in new port richey 20190515",FALSE,2019-05-15 15:36:15,"everyone","1128685531133616128","837333023137927168","en","1128685531133616128",FALSE,"Florida, USA",NA,"https://pbs.twimg.com/profile_images/1247362820494237699/ggxTl8Qq_normal.jpg",FALSE,"oosenam","2017-03-02T16:05:24.000Z","Ch oosenam e","forming a shape and a color blah blah blah.",0,0,0,0,0,78,73,3231,0,NA,NA,NA,"No major water-quality problems detected following sewage spill last week in New Port Richey https://t.co/dc1WdhKpCB

— Tampa Bay Times (TB_Times) May 15, 2019",FALSE
"3","“But even if you remove this one massive spill from the total [300,000 gallons], Pasco County would still have more spilled sewage than all four Tampa Bay counties combined this year.”

Do better.

. https   www cltampa com news views local news article 21081826 tampa bay has spilled nearly 400000 gallons of poop so far this year",FALSE,2019-08-11 15:01:14,"everyone","1160566853758050305","17669628","en","1160566853758050305",FALSE,"Tallahassee, FL","https://t.co/bN0yx9bANs","https://pbs.twimg.com/profile_images/1484728581804769281/PT2TxJSi_normal.jpg",FALSE,"iamsharpe","2008-11-27T04:29:43.000Z","Ben Sharpe","Run @evergreenstrat. Past: @NelsonForSenate, @SenBillNelson, @New_BlueDC, @FlaDems, @CATECOMM, @OFA. Opinions are my own, unless others share them.",0,0,2,0,0,5781,4373,71029,172,NA,NA,NA,"“But even if you remove this one massive spill from the total [300,000 gallons], Pasco County would still have more spilled sewage than all four Tampa Bay counties combined this year.”

Do better.

https://t.co/DRGrjogXPn",FALSE
"4","“But even if you remove this one massive spill from the total, Pasco County would still have more spilled sewage than all four Tampa Bay counties combined this year.”. ",FALSE,2019-08-12 09:59:30,"everyone","1160852661505318913","15590584","en","1160853307231019008",FALSE,"Brooklyn","https://t.co/3to7TVrsMx","https://pbs.twimg.com/profile_images/1467298196712042503/Lv49pK34_normal.jpg",FALSE,"Paul_Lisicky","2008-07-24T23:06:30.000Z","Paul Lisicky","My seven books include LATER, THE NARROW DOOR, and THE SKY IN IT, forthcoming from HarperOne (he/him) 🏳️‍🌈🦌🐊",0,0,0,0,0,13830,9971,53025,308,"15590584","1580181151427497984","011add077f4d2da3","“But even if you remove this one massive spill from the total, Pasco County would still have more spilled sewage than all four Tampa Bay counties combined this year.”",FALSE
"5","According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco (the worst offender in 2019) &amp; Manatee – have dumped an estimated 389,000 gallons of sewage,. ",FALSE,2019-08-12 19:48:02,"everyone","1161001416003117056","1339550646","en","1161001417546579968",FALSE,"Florida, USA",NA,"https://pbs.twimg.com/profile_images/1401206949912449026/T0t9tRaX_normal.jpg",FALSE,"lenwhitefl","2013-04-09T16:05:04.000Z","Len White","Independent voter seeking truth from objective credible journalists. Against those threatening democracy & advocating minority rule in this country.",0,1,0,0,0,55,64,18620,2,"1339550646",NA,NA,"According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco (the worst offender in 2019) &amp; Manatee – have dumped an estimated 389,000 gallons of sewage,",FALSE
"6","I had to sit down to read the entire article. OMG.
According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco &amp; Manatee – have dumped an estimated 389,000 gallons of sewage, . https   twitter com ClwtrBkAtty status 1161947429597523968",FALSE,2019-08-15 11:18:48,"everyone","1161960425224884224","947904812393418752","en","1161960425224884224",FALSE,"Ile-de-France, France",NA,"https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",FALSE,"MsResJudicata","2018-01-01T18:58:13.000Z","Stare Decisis","Que sçay-je? I hold it to be an inalienable right of the woke to go to hell in their own way. Family Office/Lawyer/Harry's Caregiver/ LEGAL TRENDS 3 yrs@CBS.",0,3,2,0,0,5156,1954,132307,70,NA,NA,NA,"I had to sit down to read the entire article. OMG.
According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco &amp; Manatee – have dumped an estimated 389,000 gallons of sewage, https://t.co/xwp4BI4ghn",FALSE
"7","of which 215,000 gallons were cleaned up, and 174,000 gallons were simply absorbed by the local environment.

For some perspective, last year these same four counties spilled a total of 59,560 gallons of sewage, and 39,596 gallons of that was lost.",FALSE,2019-08-15 11:18:48,"everyone","1161960425224884224","947904812393418752","en","1161960427686957057",FALSE,"Ile-de-France, France",NA,"https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",TRUE,"MsResJudicata","2018-01-01T18:58:13.000Z","Stare Decisis","Lawyer(multiple jurisdictions)/Family Office/Caregiver/
Legal Trends TV host 3 yrs@CBS. Author of the 'Who are you test.’",0,1,1,0,0,4940,2118,138849,73,"947904812393418752",NA,NA,NA,TRUE
"8","also only show reported ""sewage"" spills to the FDEP, and not things like spilled wastewater, which is also very common and also very bad (ask St. Pete).",FALSE,2019-08-15 11:18:49,"everyone","1161960425224884224","947904812393418752","en","1161960431205986305",FALSE,"Ile-de-France, France",NA,"https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",TRUE,"MsResJudicata","2018-01-01T18:58:13.000Z","Stare Decisis","Lawyer(multiple jurisdictions)/Family Office/Caregiver/
Legal Trends TV host 3 yrs@CBS. Author of the 'Who are you test.’",0,0,0,0,0,4940,2118,138849,73,"947904812393418752",NA,NA,NA,TRUE
"9","These numbers come from a variety of sewage spills, which can occur in a number of ways –  like malfunctioning lift stations, obstructed pipes, or aging infrastructure. It’s also important to note that these figures represent both public and private facilities, and",FALSE,2019-08-15 11:18:49,"everyone","1161960425224884224","947904812393418752","en","1161960429448568834",FALSE,"Ile-de-France, France",NA,"https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg",TRUE,"MsResJudicata","2018-01-01T18:58:13.000Z","Stare Decisis","Lawyer(multiple jurisdictions)/Family Office/Caregiver/
Legal Trends TV host 3 yrs@CBS. Author of the 'Who are you test.’",0,1,1,0,0,4940,2118,138849,73,"947904812393418752",NA,NA,NA,TRUE
"10","@MsResJudicata That's alot of 💩. Somebody is gonna be in deep 💩 for that, when the SHTF.",FALSE,2019-08-15 12:13:37,"everyone","1161960425224884224","112026753","en","1161974222756831232",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/889463561763799040/wFmuTzcY_normal.jpg",FALSE,"Winging_Pom","2010-02-07T01:00:25.000Z","Tango Oscar","Don't you wish crisps/chips and sponge cakes remain at 4p/ 6c ?Bankers are stealing our labour and shrinking our cakes and crisps. Merci, Gilet Jaune, woken up.",0,0,0,0,0,170,728,13482,0,"947904812393418752",NA,NA,NA,TRUE
