"","text","author_id","conversation_id","created_at.x","id","reply_settings","possibly_sensitive","lang","in_reply_to_user_id","name","username","description","pinned_tweet_id","profile_image_url","created_at.y","protected","verified","location","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","geo_place_id","reply.to.thread.no.term"
"1","As if the beaches didn’t have enough to deal with, Pinellas County officials say medium concentrations of red tide found off St. Pete Beach, Madeira Beach and Dunedin Causeway. Low concentrations off Pass-a-Grille, Clearwater Intracoastal Waterway and Honeymoon Island.","2420012296","1841518162069561670",2024-10-02 16:38:38,"1841518162069561670","everyone",FALSE,"en",NA,"Kailey Tracy Fox 13","KaileyTracy","Reporter for @Fox13News | Proud @ElonUniversity alum | Baltimore native | Avid foodie | Sunset enthusiast | @Ravens fanatic | Stories ➡️ kailey.tracy@fox.com","1580013570066378753","https://pbs.twimg.com/profile_images/1777697675686608896/xsEmqKvR_normal.jpg","2014-03-18T12:59:33.000Z",FALSE,FALSE,"St Petersburg, FL",NA,0,0,0,0,0,164,2678,1963,16912,50,72616,"As if the beaches didn’t have enough to deal with, Pinellas County officials say medium concentrations of red tide found off St. Pete Beach, Madeira Beach and Dunedin Causeway. Low concentrations off Pass-a-Grille, Clearwater Intracoastal Waterway and Honeymoon Island.",NA,NA
"2","(2/x) ""... low to medium concentrations of Red Tide detected in water samples taken from Pinellas waters. Low concentrations were found off Pass-a-Grille, the Clearwater Intracoastal Waterway and Honeymoon Island.
Medium concentrations were found off St. Pete Beach, ...""","13058782","1841506604388127191",2024-10-02 15:53:01,"1841506681445879816","everyone",FALSE,"en","13058782","Seán Kinane WMNF","wmnfnews","WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him","1380000214661136388","https://pbs.twimg.com/profile_images/1519035778059358217/mUPjQqsF_normal.jpg","2008-02-04T18:22:04.000Z",FALSE,FALSE,"Tampa, FL USA","https://t.co/bUWYk8x2JM",0,1,1,0,0,95,6516,2626,80993,348,50506,"(2/x) ""... low to medium concentrations of Red Tide detected in water samples taken from Pinellas waters. Low concentrations were found off Pass-a-Grille, the Clearwater Intracoastal Waterway and Honeymoon Island.
Medium concentrations were found off St. Pete Beach, ...""",NA,NA
"3","@KristyTallman free spirulina?","1713942463","1832834534251106310",2024-09-08 17:35:58,"1832835283186028814","everyone",FALSE,"et","74839195","Psykes Group Darling","SarahCorvus","Schadenfreude Sommelier","1686849767819837440","https://pbs.twimg.com/profile_images/1585472122087886848/xbFSoXcN_normal.jpg","2013-08-30T22:47:56.000Z",FALSE,FALSE,"keybase.io/opus1","https://t.co/0UKNW8qs1F",0,0,0,0,0,3,600,2012,6211,26,2891,NA,NA,TRUE
"4","The Gulf of Finland in St. Petersburg, Russia, Turns Green Due to Algae Growth

Reports suggest the bright green color is caused by algae, which thrive and die off in the daytime heat.

#GulfofFinland #StPetersburg #AlgaeBloom #EnvironmentalNews #Russia #WaterQuality… https://t.co/lMPpWDLzQa https://t.co/c2smql18vX","74839195","1832834534251106310",2024-09-08 17:33:00,"1832834534251106310","everyone",FALSE,"en",NA,"Kristy Tallman","KristyTallman","Journalist, Photographer & Author of Psychological/Political Thrillers, combined with Poetry & Song.","1833594487681257923","https://pbs.twimg.com/profile_images/1817840013406765056/aWxxyjfb_normal.jpg","2009-09-16T21:11:19.000Z",FALSE,FALSE,"Lebanon, Oregon ",NA,0,1,0,0,0,69,2327,2762,9700,59,5580,"The Gulf of Finland in St. Petersburg, Russia, Turns Green Due to Algae Growth

Reports suggest the bright green color is caused by algae, which thrive and die off in the daytime heat.

#GulfofFinland #StPetersburg #AlgaeBloom #EnvironmentalNews #Russia #WaterQuality… https://t.co/lMPpWDLzQa https://t.co/c2smql18vX","a12170d40e438f19",FALSE
"5","@StPeteFL Fun Fact: The City's sewage spills contribute to red tide. (But it's ok. Keep overdeveloping the area before you fix the infrastructure).
https://t.co/UpXfPuwAz7","1398405213367767040","1831412900105470394",2024-09-05 19:24:44,"1831775493135462506","everyone",FALSE,"en","65459725","Krise","WorstMayorEva","",NA,"https://pbs.twimg.com/profile_images/1398408831949021186/oWMmFms0_normal.jpg","2021-05-28T22:27:23.000Z",FALSE,FALSE,"St Petersburg, FL",NA,0,0,1,0,0,4,44,132,359,1,238,"@StPeteFL Fun Fact: The City's sewage spills contribute to red tide. (But it's ok. Keep overdeveloping the area before you fix the infrastructure).
https://t.co/UpXfPuwAz7",NA,FALSE
"6","@seanhannity It’s a possible source stock for diesel fuel.. you didn’t know?  https://t.co/gvzQuvvS8Y

Also, Putin fooled you on Russia 800AD. The Russ (Rowers) Nordic people founded Kyiv ahead of St. Petersburg or Moscow,  and into the River Siene too, yes Paris, around the same era.","57580230","1821248481253556665",2024-08-08 01:01:21,"1821350954379452550","everyone",TRUE,"en","41634520","Roberto Sylianteng","rsylianteng","Management practitioner and mentor.","1594213633797419009","https://pbs.twimg.com/profile_images/1090268169/images_normal.jpg","2009-07-17T07:20:38.000Z",FALSE,FALSE,"Escolta, Manila, Philippines",NA,0,0,2,0,0,31,92,510,8659,2,380,"@seanhannity It’s a possible source stock for diesel fuel.. you didn’t know?  https://t.co/gvzQuvvS8Y

Also, Putin fooled you on Russia 800AD. The Russ (Rowers) Nordic people founded Kyiv ahead of St. Petersburg or Moscow,  and into the River Siene too, yes Paris, around the same era.",NA,NA
"7","@Boosted_DGK It's only bad sometimes because of the Red Tide. Sarasota and St Pete are so so nice usually. Idk as much about east coast beaches though","1375177605889032206","1804930768969609451",2024-06-23 19:12:52,"1804955802786050081","everyone",FALSE,"en","244602653","Mako | Viri","ViriROB","Smash Bros Competitor | Tampa Player | Mako Esports | #1 in Tampa | Steph 💗",NA,"https://pbs.twimg.com/profile_images/1587491647289524224/5Pvtw_aa_normal.jpg","2021-03-25T20:07:53.000Z",FALSE,FALSE,"Tampa, FL",NA,0,1,3,0,0,75,794,396,11379,2,12339,"@Boosted_DGK It's only bad sometimes because of the Red Tide. Sarasota and St Pete are so so nice usually. Idk as much about east coast beaches though",NA,NA
"8","@xM1l3s @danielgothits Absolutely. Saratoga weather is nice too. A bit touristy with Tampa and St Pete around the corner. But if you don’t mind that. that’s the ticket. Beaches are nice most of the year except when red tide.. ","1418750262504787976","1784478727448969237",2024-04-28 11:58:39,"1784552809565704250","everyone",FALSE,"en","61134911","0berly0 🌌🌄🖋","iam0berly0","Penman Basic. (🌳🌳) 🟪","1485736444308172809","https://pbs.twimg.com/profile_images/1771536146171842561/f4urDmeV_normal.jpg","2021-07-24T01:52:55.000Z",FALSE,FALSE,"🌎","https://t.co/KKidN4LRVu",0,0,1,0,0,43,1115,3559,37083,15,137362,"@xM1l3s @danielgothits Absolutely. Saratoga weather is nice too. A bit touristy with Tampa and St Pete around the corner. But if you don’t mind that. that’s the ticket. Beaches are nice most of the year except when red tide.",NA,NA
"9","Exciting news! USF St. Petersburg Assistant Professor Heather O'Leary was featured on #NPR for turning #coralreef and #redtide research into a musical composition. Check out the groundbreaking collaboration with the USF School of Music here ⬇️
. https   www npr org 2024 04 04 1242001322 algae bloom florida","143476735","1783527759765016676",2024-04-25 16:05:28,"1783527759765016676","everyone",FALSE,"en",NA,"USF St. Petersburg","usfsp","Situated on 52 acres of waterfront in downtown St. Petersburg, our campus offers an intimate academic experience with all the benefits of a large institution.","1684590221252550656","https://pbs.twimg.com/profile_images/1784931913012256768/-Ms3U_yO_normal.jpg","2010-05-13T15:32:28.000Z",FALSE,FALSE,"St. Petersburg, Florida","https://t.co/U8V9paOPAt",0,0,0,0,0,94,3465,247,5219,63,3768,"Exciting news! USF St. Petersburg Assistant Professor Heather O'Leary was featured on #NPR for turning #coralreef and #redtide research into a musical composition. Check out the groundbreaking collaboration with the USF School of Music here ⬇️
https://t.co/ltYpfZh4PM",NA,NA
"10","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","192777160","1777340723525812467",2024-04-08 14:20:24,"1777340723525812467","everyone",FALSE,"en",NA,"🌃🐳🦣 alexandra M 🌻🧭🦩","MiscAlex","Night Owl | INFP | tired job seeker 
hiraeth-full & fernweh-haver
 Wimsey-infatuated 🧐
Fan of adaptive reuse & walkable cities

Tá cúpla focal agam ☘️ YNWA⚽️","1593510122478866432","https://pbs.twimg.com/profile_images/1632249660835348480/qXQVbo4B_normal.jpg","2010-09-20T03:25:31.000Z",FALSE,FALSE,"Cone of Uncertainty","https://t.co/O8Z4E5VM84",6,0,0,0,0,0,348,628,31968,16,40568,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,NA
