"","text","possibly_sensitive","conversation_id","id","author_id","created_at.x","lang","reply_settings","created_at.y","description","name","protected","username","profile_image_url","verified","pinned_tweet_id","location","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","The Florida Department of Health in Pasco County: ""issued a Health Alert for the presence of harmful blue-green algal toxins in Moody Lake. This is in response to a water sample taken on November 2, 2022. The public should exercise caution in and around Moody Lake."" @HealthyPasco. ",FALSE,"1589702418648162304","1589702418648162304","13058782",2022-11-07 19:32:46,"en","everyone","2008-02-04T18:22:04.000Z","WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him","Seán Kinane WMNF",FALSE,"wmnfnews","https://pbs.twimg.com/profile_images/1519035778059358217/mUPjQqsF_normal.jpg",TRUE,"1380000214661136388","Tampa, FL USA","https://t.co/bUWYk8x2JM",0,0,0,0,0,6624,2472,74235,359,"The Florida Department of Health in Pasco County: ""issued a Health Alert for the presence of harmful blue-green algal toxins in Moody Lake. This is in response to a water sample taken on November 2, 2022. The public should exercise caution in and around Moody Lake."" @HealthyPasco"
"2","Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. In some cases, coming in contact with the toxins can cause upper-respiratory issues and skin irritation.  . https   www fox13news com news blue green algae toxins found on moody lake in pasco county",FALSE,"1589875590961692679","1589875590961692679","15750898",2022-11-08 07:00:54,"en","everyone","2008-08-06T15:12:10.000Z","Bringing you the important stuff, like breaking news & weather alerts. But also plenty of fun stories, like sports updates and all those #WeLiveHere tales.","FOX 13 Tampa Bay",FALSE,"FOX13News","https://pbs.twimg.com/profile_images/1459177564178681893/Y3jxK1Xd_normal.jpg",TRUE,"1598030799273660422","Tampa, FL","https://t.co/MUtKcxEsVq",0,0,2,0,0,377200,4626,258193,1876,"Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. In some cases, coming in contact with the toxins can cause upper-respiratory issues and skin irritation.  https://t.co/lbApnK8IDU"
"3","New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
. https   www tampabay com news pasco 2022 11 07 highly toxic algal bloom prompts health alert moody lake pasco county",FALSE,"1589978828264288257","1589978828264288257","1239172640",2022-11-08 13:51:07,"en","everyone","2013-03-03T15:29:18.000Z","Environment reporter @TB_Times. Past: @tcpenvironment💧 2022 @MetcalfURI Fellow. @UFJSchool alum. Drone pilot. #ReadLocal","Max Chesnes",FALSE,"MaxChesnes","https://pbs.twimg.com/profile_images/1565022647829893121/osNHuVp6_normal.jpg",TRUE,"1617929674562342920","St Petersburg, FL","https://t.co/XqBqJqqUrm",6,0,6,0,0,7720,2990,11469,127,"New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"4","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
. https   www tampabay com news pasco 2022 11 07 highly toxic algal bloom prompts health alert moody lake pasco county",FALSE,"1589981118992117760","1589981118992117760","18663641",2022-11-08 14:00:13,"en","everyone","2009-01-06T05:24:21.000Z","Florida Policy Director @SPLCenter (he/him)","Jonathan Scott Webber",FALSE,"jonwebber","https://pbs.twimg.com/profile_images/766718807230582784/lFga_hDQ_normal.jpg",FALSE,"1529163210938634240","Tallahassee, FL, USA","https://t.co/H1T5ADprnX",6,0,0,0,0,1701,3870,6662,28,"RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"5","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
. https   www tampabay com news pasco 2022 11 07 highly toxic algal bloom prompts health alert moody lake pasco county",FALSE,"1589983534114308098","1589983534114308098","33830217",2022-11-08 14:09:49,"en","everyone","2009-04-21T06:07:25.000Z","Marketing, Communications, PR, IR & Branding. vote! https://t.co/6SIYqnaPch: @rwentworth1 Mastodon: @rwentworth@awscommunity.social","Roseann Wentworth 🇺🇸 🇺🇦",FALSE,"rwentworth1","https://pbs.twimg.com/profile_images/1573280695564357632/gzev2-P-_normal.jpg",FALSE,NA,"Fernandina Beach, FL","https://t.co/2PWvoOoZ5A",6,0,0,0,0,1256,3698,15870,22,"RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"6","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
. https   www tampabay com news pasco 2022 11 07 highly toxic algal bloom prompts health alert moody lake pasco county",FALSE,"1589999319494660098","1589999319494660098","884114729626550272",2022-11-08 15:12:33,"en","everyone","2017-07-09T18:19:12.000Z","tweets about the 15th element, related things","Phosphoria",FALSE,"phosphoria31","https://pbs.twimg.com/profile_images/1366124552594612226/tfk7V0vo_normal.jpg",FALSE,NA,NA,"https://t.co/BcG11xqEVb",6,0,0,0,0,3316,1384,13335,12,"RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"7","RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
. https   www tampabay com news pasco 2022 11 07 highly toxic algal bloom prompts health alert moody lake pasco county",FALSE,"1590052656982429696","1590052656982429696","17468642",2022-11-08 18:44:29,"en","everyone","2008-11-18T19:17:54.000Z","Breaking News Editor at the Tampa Bay Times and https://t.co/pf5u5evtvO. Wisconsin native, Northwestern grad, dad to a precious boy. he/him","Chris Tisch",FALSE,"christisch1","https://pbs.twimg.com/profile_images/810585428009086976/_n5Od9pe_normal.jpg",TRUE,NA,"St. Petersburg, FL",NA,6,0,0,0,0,4157,4083,18936,151,"RT @MaxChesnes: New: The @EPA says blue-green algae blooms that contain 8 parts per billion of this toxin can be harmful to humans and animals 

The toxic bloom on Moody Lake measured at 950

More @TB_Times: 
https://t.co/iTwSrMNgo8"
"8","Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. . https   www fox13news com news blue green algae toxins found on moody lake in pasco county",FALSE,"1590121723210633216","1590121723210633216","2920364152",2022-11-08 23:18:56,"en","everyone","2014-12-13T21:12:48.000Z","#Cyanobacteria #AlgaeBloom #CitSci A multi-platform based global cyanobacterial harmful algal blooms monitoring|For more info plz contact:cyanotracker@gmail.com","CyanoTRACKER",FALSE,"CyanoTracker","https://pbs.twimg.com/profile_images/552911205849763840/iN7KOL18_normal.jpeg",FALSE,"962191170989383680","Athens, Georgia","http://t.co/9RuxNuQUmI",2,0,4,0,0,2787,919,5473,64,"Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. https://t.co/eZAiSMhUzK"
"9","RT @CyanoTracker: Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. . https   www fox13news com news blue green algae toxins found on moody lake in pasco county",FALSE,"1590127861020909569","1590127861020909569","884114729626550272",2022-11-08 23:43:19,"en","everyone","2017-07-09T18:19:12.000Z","tweets about the 15th element, related things","Phosphoria",FALSE,"phosphoria31","https://pbs.twimg.com/profile_images/1366124552594612226/tfk7V0vo_normal.jpg",FALSE,NA,NA,"https://t.co/BcG11xqEVb",2,0,0,0,0,3316,1384,13335,12,"RT @CyanoTracker: Pasco health officials are warning residents to steer clear of Moody Lake after finding harmful blue-green algae toxins in the water. https://t.co/eZAiSMhUzK"
"10","Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard -  #GoogleAlerts. https   flipboard com topic cyanobacteria highly toxic algal bloom prompts health alert for moody lake in pasco county f c8f29ec92a 2Ftampabay com",FALSE,"1591086049136369664","1591086049136369664","534263140",2022-11-11 15:10:49,"en","everyone","2012-03-23T12:49:26.000Z","","Florida Issues",FALSE,"FloridaIssues","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",FALSE,NA,NA,NA,2,0,0,0,0,1025,11,135944,38,"Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #GoogleAlerts"
"11","RT @FloridaIssues: Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard -  #GoogleAlerts. https   flipboard com topic cyanobacteria highly toxic algal bloom prompts health alert for moody lake in pasco county f c8f29ec92a 2Ftampabay com",FALSE,"1591347363343376385","1591347363343376385","2414913756",2022-11-12 08:29:11,"en","everyone","2014-03-27T21:29:48.000Z","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","Le Chat Biden Democrat",FALSE,"LeChatNoire4","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg",FALSE,"1222268511134896129","Florida",NA,2,0,0,0,0,14255,13707,1103614,336,"RT @FloridaIssues: Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #GoogleAlerts"
"12","RT @FloridaIssues: Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard -  #GoogleAlerts. https   flipboard com topic cyanobacteria highly toxic algal bloom prompts health alert for moody lake in pasco county f c8f29ec92a 2Ftampabay com",FALSE,"1591424776387842048","1591424776387842048","865200110",2022-11-12 13:36:48,"en","everyone","2012-10-06T19:39:14.000Z","","Daniel Martin",FALSE,"marti431uew","https://pbs.twimg.com/profile_images/2696259370/e064b62aa3651e6faf1935708f2957d7_normal.jpeg",FALSE,NA,NA,NA,2,0,0,0,0,1065,204,416997,172,"RT @FloridaIssues: Highly toxic algal bloom prompts health alert for Moody Lake in Pasco County | Flipboard - https://t.co/Bl2LdhasQG #GoogleAlerts"
