"","text","possibly_sensitive","author_id","created_at.x","conversation_id","reply_settings","lang","id","in_reply_to_user_id","username","description","location","verified","created_at.y","url","profile_image_url","name","protected","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","Tampa News Florida declares a state of emergency as toxic green algae spreads across waterways and smelly seaweed washes up ... - Daily Mail  . https   news google com home. https   twitter com Tampa_NC status 1016996290876489729 photo 1",FALSE,"213895894",2018-07-11 10:43:05,"1016996290876489729","everyone","en","1016996290876489729",NA,"Tampa_NC","Updated Tampa news,sports,
weather,entertainment,politics
and business information.","Tampa, FL",FALSE,"2010-11-10T01:45:00.000Z","http://t.co/D4cEUWUxVe","https://pbs.twimg.com/profile_images/664565240718225408/R8vvlI4y_normal.jpg","Tampa NewsChannel",FALSE,NA,0,0,0,0,0,383,42,47588,17,NA,"Tampa News Florida declares a state of emergency as toxic green algae spreads across waterways and smelly seaweed washes up ... - Daily Mail https://t.co/e0qo6fzJw7 https://t.co/v6wembMibV",FALSE
"2","@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗. ",FALSE,"2414913756",2018-08-04 00:55:11,"1025503384420462597","everyone","en","1025545650224680961","988060225","LeChatNoire4","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","Florida",FALSE,"2014-03-27T21:29:48.000Z",NA,"https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg","Le Chat Biden Democrat",FALSE,"1222268511134896129",0,0,0,0,0,14255,13707,1103614,336,NA,"@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗",FALSE
"3","While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"62575859",2018-08-07 13:01:13,"1026815526457290752","everyone","en","1026815526457290752",NA,"craigtimes","THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.","St. Petersburg FL",FALSE,"2009-08-03T17:55:56.000Z","https://t.co/Y1kqEYKFCg","https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg","Craig Pittman",FALSE,"1437092398249689093",28,2,15,4,0,20635,2287,180304,860,NA,"While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"4","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"18722223",2018-08-07 13:01:59,"1026815720380919808","everyone","en","1026815720380919808",NA,"tessthefirst","#ChampaBay Proud Mom of #classof2020 grad, now @Eckerd #classof2024, Golden Retriever Bailey 🐾 Run🏃‍♀️Yogi🧘‍♀️Law ⚖️ Sourcing Contracts @Amgen Rays⚾️","Sunshine City, Sunshine State",FALSE,"2009-01-07T14:18:01.000Z",NA,"https://pbs.twimg.com/profile_images/1578738318635835393/NTGKiMcb_normal.jpg","TesstheFirst 🇺🇸⚖️ 🦮🐾🧜‍♀️🏖🏄‍♀️ ⚾️💙⚡️",FALSE,NA,28,0,0,0,0,1454,4978,42044,73,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"5","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"150544798",2018-08-07 13:02:25,"1026815828803629056","everyone","en","1026815828803629056",NA,"JoshuaKarp","Dad! Partner @HoneStrategies, communications + strategy consultant. Progressive. Jew. #FlippedtheSenate with @Ossoff, alum of too many campaigns.","Washington, D.C.",FALSE,"2010-06-01T05:50:39.000Z","https://t.co/rZcNWcTrlT","https://pbs.twimg.com/profile_images/1378829379942416386/63itEUrA_normal.jpg","Joshua Karp",FALSE,NA,28,0,0,0,0,10253,7238,23889,133,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"6","@craigtimes @taveljimena Please —how can we stop this from spreading?  Lake O discharges are destroying our water flora and fauna. ",FALSE,"18722223",2018-08-07 13:02:53,"1026815526457290752","everyone","en","1026815944826544129","62575859","tessthefirst","#ChampaBay Proud Mom of #classof2020 grad, now @Eckerd #classof2024, Golden Retriever Bailey 🐾 Run🏃‍♀️Yogi🧘‍♀️Law ⚖️ Sourcing Contracts @Amgen Rays⚾️","Sunshine City, Sunshine State",FALSE,"2009-01-07T14:18:01.000Z",NA,"https://pbs.twimg.com/profile_images/1646816009037176832/0iMylgeX_normal.jpg","TesstheFirst 🇺🇸⚖️ 🦮🐾🧜‍♀️🏖🏄‍♀️ ⚾️💙⚡️",FALSE,NA,0,0,1,0,0,1446,4997,42399,73,"dc62519fda13b4ec","@craigtimes @taveljimena Please —how can we stop this from spreading?  Lake O discharges are destroying our water flora and fauna",TRUE
"7","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"14804672",2018-08-07 13:04:34,"1026816368585461760","everyone","en","1026816368585461760",NA,"DivaKnevil","Vegan 🌱 Gin-Soaked Secular Humanist. An Ex-Pat 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Curmudgeon With A Penchant 4 Tourette's Text Who Is Quite Happy 2 Be An Equal Opportunity Loather","Washington D.C",FALSE,"2008-05-16T21:57:23.000Z",NA,"https://pbs.twimg.com/profile_images/1620291182193479682/wyquqHfV_normal.jpg","DivaKnevil Ⓥ 🏴󠁧󠁢󠁳󠁣󠁴󠁿 💚",FALSE,"1350493797818490899",28,0,0,0,0,2737,4923,412931,149,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"8","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"804839449477709824",2018-08-07 13:04:38,"1026816386931273728","everyone","en","1026816386931273728",NA,"DropoutCharm","5th generation Floridian. Art, animals, books, plants & snark are a few of my favorite things. Cat waitress. #resist 🌊 #masks. No lists please. #RemoveRon","United States",FALSE,"2016-12-03T00:07:32.000Z",NA,"https://pbs.twimg.com/profile_images/1498465553878589443/OWS6u73Y_normal.jpg","CharmSchoolDropout",FALSE,NA,28,0,0,0,0,1124,2195,29497,4,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"9","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"15518828",2018-08-07 13:14:47,"1026818941296041984","everyone","en","1026818941296041984",NA,"SharonKWn","Sharon Kennedy Wynne, entertainment & events writer, editor at the Tampa Bay Times @TB_Times. Mom, foodie, news junkie & fan of rollercoasters and theme parks","St. Petersburg, Fla.",TRUE,"2008-07-21T18:36:22.000Z","https://t.co/nqGE2gcEFd","https://pbs.twimg.com/profile_images/744440755456966656/bid9_O7Z_normal.jpg","Sharon Kennedy Wynne",FALSE,NA,28,0,0,0,0,2889,1296,15439,84,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"10","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"239529147",2018-08-07 13:16:12,"1026819297245581313","everyone","en","1026819297245581313",NA,"GabrielleRusson","Former Orlando Sentinel theme parks biz reporter turned freelance writer. Proud but pudgy 25X marathoner. Boomer's mommy. Sparty on!","Orlando",TRUE,"2011-01-17T20:53:43.000Z",NA,"https://pbs.twimg.com/profile_images/1328828999947202560/vc9Zv63O_normal.jpg","Gabrielle Russon",FALSE,NA,28,0,0,0,0,5493,5587,18990,193,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"11","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"20854772",2018-08-07 13:31:30,"1026823146622607361","everyone","en","1026823146622607361",NA,"Louez","Journalist-Chef-Journalist-Retiree","Rural Levy, Florida",FALSE,"2009-02-14T16:13:20.000Z",NA,"https://pbs.twimg.com/profile_images/1322219135942746113/Yk_4HmRb_normal.jpg","Lou Elliott Jones",FALSE,NA,28,0,0,0,0,228,623,20321,3,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"12","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"838560031",2018-08-07 14:12:25,"1026833445383823360","everyone","en","1026833445383823360",NA,"gray_sanders","","Tampa, Florida, USA",FALSE,"2012-09-21T20:57:57.000Z",NA,"https://pbs.twimg.com/profile_images/820493919880380416/LlpQXzTI_normal.jpg","Gray",FALSE,NA,28,0,0,0,0,70,659,2083,9,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"13","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"166707671",2018-08-07 14:22:43,"1026836038239567872","everyone","en","1026836038239567872",NA,"joylowell","working for justice and mercy; antiracist; feminist; love animals; she/her.",NA,FALSE,"2010-07-14T20:29:13.000Z",NA,"https://pbs.twimg.com/profile_images/1266478040059707396/T89ICfTA_normal.jpg","Joy Lowell",FALSE,NA,28,0,0,0,0,202,724,67844,1,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"14","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"1033211881",2018-08-07 14:28:27,"1026837481403105281","everyone","en","1026837481403105281",NA,"taveljimena","Higher education/Broward schools reporter for the @miamiherald. Periodista cubriendo universidades en Florida y escuelas en Broward para @elnuevoherald.","Miami, Florida, USA",TRUE,"2012-12-24T18:18:15.000Z",NA,"https://pbs.twimg.com/profile_images/1510981617526968324/ZBN7v_ap_normal.jpg","jimena m tavel",FALSE,"1456705080669900812",28,0,0,0,0,3329,3320,27306,72,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"15","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"634688309",2018-08-07 14:49:25,"1026842758047322112","everyone","en","1026842758047322112",NA,"laura_cardona95","Executive producer @TelemundoNI | Former EP @WINKNews & Noticias WINK | @UFJSchool & @UF_CLAS alumn | Colombia 🇨🇴","Boston, MA",FALSE,"2012-07-13T16:24:23.000Z",NA,"https://pbs.twimg.com/profile_images/1389365396252340231/DMzwdDHp_normal.jpg","Laura Cardona",FALSE,NA,28,0,0,0,0,345,324,1386,8,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"16","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"20739133",2018-08-07 14:51:57,"1026843392163172352","everyone","en","1026843392163172352",NA,"DrJudyStone","Author: Resilience: One Family’s Story of Hope https://t.co/HizPlFpv2t & Conducting Clinical Research https://t.co/ouKPTQlT5n ID doc, freelance
@drjudystone@mstdn.science","Maryland and Maine",FALSE,"2009-02-13T01:42:07.000Z","https://t.co/eApblC08dj","https://pbs.twimg.com/profile_images/1095863315866112001/3s_-Um6O_normal.png","Judy Stone",FALSE,"1179783540831084549",28,0,0,0,0,11555,6237,283704,731,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"17","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"133316482",2018-08-07 14:57:31,"1026844793345908747","everyone","en","1026844793345908747",NA,"billykaos","Epicurious Equity Trader
""We Buy Sell Trade Everything""
Making the Trains run on Time
Leader of all illegal activities in Casablanca-influential & respected man","Boston, MA",FALSE,"2010-04-15T14:19:59.000Z",NA,"https://pbs.twimg.com/profile_images/1111627869241921537/Q-v65UFL_normal.png","Billy Kaos",FALSE,"1238296749317533696",28,0,0,0,0,829,4256,46382,64,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"18","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"67352768",2018-08-07 15:16:39,"1026849610311127041","everyone","en","1026849610311127041",NA,"iyem1","ALWAYS dispised DJT Hate controlling men Hate being told what to do Wasn't into politics til this befuckled election Sarcastic AF with a dry sick sense of humor","Florida, USA",FALSE,"2009-08-20T16:29:02.000Z",NA,"https://pbs.twimg.com/profile_images/1046462575297417216/1WqZiayx_normal.jpg","🖤Nyctophilia🖤",FALSE,NA,28,0,0,0,0,702,0,76875,1,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"19","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"66624808",2018-08-07 15:23:35,"1026851355024138240","everyone","en","1026851355024138240",NA,"DeezThoughtsAre","Brooklyn born, 🇮🇹 Food lover, painter, photographer & keeper of freshwater aquariums.

Followed by really cool people","Florida, USA",FALSE,"2009-08-18T07:37:26.000Z",NA,"https://pbs.twimg.com/profile_images/1601434787767635975/8Bj36eoF_normal.jpg","Dani B 🧤",FALSE,"1317681946034688000",28,0,0,0,0,1679,1401,33930,21,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"20","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"409664764",2018-08-07 16:09:28,"1026862900139442178","everyone","en","1026862900139442178",NA,"mszjurado","","Miami, Florida",FALSE,"2011-11-11T02:04:13.000Z",NA,"https://pbs.twimg.com/profile_images/1484697644345839616/86mCg01I_normal.jpg","Marly Z Jurado",FALSE,NA,28,0,0,0,0,605,4277,46536,15,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
"21","RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far.  via @taveljimena. http   www tampabay com news environment Lingering Red Tide bloom moves north killing fish near mouth of Tampa Bay_170656470",FALSE,"48382281",2018-08-07 17:24:40,"1026881824981741568","everyone","en","1026881824981741568",NA,"vdeanfla","Freelance writer and editor for @HeraldTribune, Bluegrass Unlimited and @RoughReadymedia. Loves news, bluegrass music, Tampa Bay Rays. Florida halfback.","Blue Ridge, GA",FALSE,"2009-06-18T15:25:09.000Z","https://t.co/fW59LLXSgU","https://pbs.twimg.com/profile_images/887012743852703744/qb3MHeR1_normal.jpg","Vicki Dean",FALSE,NA,28,0,0,0,0,2082,3371,33825,77,NA,"RT @craigtimes: While the blue-green #algae bloom in &amp; near Lake O is making national news, the longest Red Tide bloom in a decade has been creeping north along the #Florida gulf coast &amp; killing 452 sea #turtles &amp; 92 #manatees -- so far. https://t.co/Sr8Yx0BBKo via @taveljimena",FALSE
