"","text","possibly_sensitive","author_id","created_at.x","lang","id","reply_settings","conversation_id","in_reply_to_user_id","url","name","profile_image_url","verified","location","protected","description","username","created_at.y","pinned_tweet_id","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","Hey #Englewood #swfl #Florida We have have problem.  #sendthewatersouth #redtide #bluegreenalgae #bullsugar #protectwhatyoulove. https   www facebook com 1636004511 posts 10213443588277564",FALSE,"241334616",2018-06-26 23:22:31,"en","1011751590053728256","everyone","1011751590053728256",NA,"https://t.co/6rTrpuq1kE","The Essential Beachcomber","https://pbs.twimg.com/profile_images/1402737968863981571/o4KWIHAG_normal.jpg",FALSE,"SWFL",FALSE,"I'm a native-born Floridian who has lived on the beaches of SWFL my entire life. I love to walk the beach and see what treasures I can find.","EBeachcomber","2011-01-22T01:02:14.000Z",NA,"ab597741c20efb2e",1,0,0,0,0,199,391,2415,4,"Hey #Englewood #swfl #Florida We have have problem. https://t.co/UXf9mSKs4m #sendthewatersouth #redtide #bluegreenalgae #bullsugar #protectwhatyoulove"
"2","Blue-green Algae and Red Tide Algae Plague Southwest Florida Waters . http   www j mp 2z77eNu",FALSE,"367317054",2018-07-03 21:15:22,"en","1014256309598932999","everyone","1014256309598932999",NA,NA,"Daniel Wells 🌴","https://pbs.twimg.com/profile_images/1598388606279847939/YRp5h3wV_normal.jpg",FALSE,"Florida, USA",FALSE,"Pizza Lover🍕","DANIEL_WELLS80","2011-09-03T19:26:29.000Z","1153438688782835712","ab597741c20efb2e",0,0,1,0,0,1710,138,4504,20,"Blue-green Algae and Red Tide Algae Plague Southwest Florida Waters https://t.co/qkoaoAYK9u"
"3","Clean up Lake Okeechobee cyanobacteria and prevent future blooms while moving on FL Amendment 1. . https   petitions whitehouse gov petition clean lake okeechobee cyanobacteria and prevent future blooms while moving fl amendment 1",FALSE,"570192339",2018-08-06 21:00:56,"en","1026573865386995713","everyone","1026573865386995713",NA,NA,"🖤💚🦅🇺🇦Cinderella🇺🇦🦅💚🖤","https://pbs.twimg.com/profile_images/1597086995800539138/XYsnT1RC_normal.jpg",FALSE,"Sarasota, FL",FALSE,"Philly Sports fan for LIFE!","Cindi_Ferdi","2012-05-03T16:39:39.000Z",NA,"4a6279a776547e53",0,0,0,0,0,139,1003,2162,2,"Clean up Lake Okeechobee cyanobacteria and prevent future blooms while moving on FL Amendment 1. https://t.co/GdAIvDxUZd"
"4",".@AndrewGillum and @SenBillNelson will Deal with the #ToxicAlgae #BlueGreenAlgae  #RedTide #Pollution #WildlifeKill #Disaster in #Florida #Vote #GillumforGovernor They Believe in
#ScienceAndSolutions 
#VoteBlue 
#VoteBlue4BlueWater . https   twitter com LynnCatWalters status 1056575718321209344",FALSE,"34493217",2018-10-29 15:52:27,"en","1056936813309374464","everyone","1056936813309374464",NA,"https://t.co/wYKpdauAE6","Lynn Cathryn Walters","https://pbs.twimg.com/profile_images/1623870500630851585/0D3h1-Vh_normal.jpg",FALSE,"Sarasota, FL~ Michigan",FALSE,"I'm a Mother on a Path to Change Our World for the Better🌤 Follow! #ACTIVIST #Designer #SocialMediaMaven
#Sales #Marketing
@MashaArcher Extraordinary #Jewelry","LynnCatWalters","2009-04-23T02:10:36.000Z","1623162818059984896","5acc3a887617d093",2,0,0,0,0,18206,20030,435102,609,".@AndrewGillum and @SenBillNelson will Deal with the #ToxicAlgae #BlueGreenAlgae  #RedTide #Pollution #WildlifeKill #Disaster in #Florida #Vote #GillumforGovernor They Believe in
#ScienceAndSolutions 
#VoteBlue 
#VoteBlue4BlueWater https://t.co/7oZX1SZqCy"
"5","@M0ckk @spencernoon Red tide and blue green algae have been here for hundreds of years. Some years are good and some bad, usually because of certain variables. SW Florida is still amazing place to live for all those reasons. ",FALSE,"22682896",2018-11-09 15:54:21,"en","1060923556408758278","everyone","1060914028829130752","126850496","https://t.co/dMgjrWFrWI","Charlie Shrem","https://pbs.twimg.com/profile_images/1433519117592576001/SzP_owTg_normal.jpg",TRUE,"Sarasota, FL",FALSE,"Founder of The Bitcoin Foundation | Crypto Investor Network @InvestorPlace | GP @DruidVentures | Ask Me to Dance @PrimeVideo | https://t.co/sQpkf4Nv9u Bitcoin Podcast","CharlieShrem","2009-03-03T21:28:46.000Z","1621510610474397696","5acc3a887617d093",0,0,1,0,0,252947,857,19270,3923,"@M0ckk @spencernoon Red tide and blue green algae have been here for hundreds of years. Some years are good and some bad, usually because of certain variables. SW Florida is still amazing place to live for all those reasons"
"6","Good combined work @MarcoLaMannoWX regarding red tide I am blue-green algae in Southwest Florida. There are big differences between short and long-term forecasts (predictions) and the conditions that allow harmful algae to thrive. . https   twitter com MarcoLaMannoWX status 1068530757654667265",FALSE,"21992035",2018-11-30 15:45:14,"en","1068531406857490432","everyone","1068531406857490432",NA,"https://t.co/XWTXNo6tNp","Carlos R. Munoz 📰","https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg",TRUE,"⚓ Cumberland, RI ",FALSE,"Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social","ReadCarlos","2009-02-26T08:55:50.000Z",NA,"7f6bf29133462d29",0,0,0,0,0,3376,1858,40393,96,"Good combined work @MarcoLaMannoWX regarding red tide I am blue-green algae in Southwest Florida. There are big differences between short and long-term forecasts (predictions) and the conditions that allow harmful algae to thrive. https://t.co/05M0hnzPZ6"
"7","@NotFromStFarm @mt_bedard @lynnekrop @alicia_bert @StephenKing Blue-green algae dies on contact with saltwater, making it unlikely to be able to feed the entire red tide bloom that was 150 miles long at peak.. ",FALSE,"21992035",2019-01-09 05:56:46,"en","1082878831197708288","everyone","1081166126917275649","21992035","https://t.co/XWTXNo6tNp","Carlos R. Munoz 📰","https://pbs.twimg.com/profile_images/1611079726767955980/Jq6x5xmU_normal.jpg",TRUE,"⚓ Cumberland, RI ",FALSE,"Digital & audience engagement editor @Globe_RI (@BostonGlobe). 
🐶 Ewok Duke. 
🐮 WI native. 
🐘 @rhodeisland@newsie.social","ReadCarlos","2009-02-26T08:55:50.000Z",NA,"7f6bf29133462d29",0,1,0,0,0,3376,1858,40393,96,"@NotFromStFarm @mt_bedard @lynnekrop @alicia_bert @StephenKing Blue-green algae dies on contact with saltwater, making it unlikely to be able to feed the entire red tide bloom that was 150 miles long at peak."
"8","@barjhall @craigtimes @lmower3 @GovRonDeSantis @BillGalvano @RepJoseOliva Gee, I don’t recall this being on DeSantis’ (or anyone else’s) platform when running as an “environmentalist” at all. Plus, the blue-green algae study is dead in the water, literally. No money for public schools. No Medicaid expansion. No money for cities affected by rising seas.. ",FALSE,"487487203",2019-05-02 09:07:18,"en","1123876608417390596","everyone","1123634477060718594","17763921",NA,"☀️Anneik🌓","https://pbs.twimg.com/profile_images/1441908768778948610/lLpSJqvP_normal.jpg",FALSE,"Florida, USA",FALSE,"Progressive Democrat. Native Floridian, former Southern Appalachian, lover of facts, nature, English lit & poetry. Partner to USMC disabled Vietnam vet.","Blondetown","2012-02-09T12:21:22.000Z","1500303926838628353","81b55f54466d8ae4",0,0,0,0,0,1428,2582,56110,7,"@barjhall @craigtimes @lmower3 @GovRonDeSantis @BillGalvano @RepJoseOliva Gee, I don’t recall this being on DeSantis’ (or anyone else’s) platform when running as an “environmentalist” at all. Plus, the blue-green algae study is dead in the water, literally. No money for public schools. No Medicaid expansion. No money for cities affected by rising seas."
"9","What a difference one year (&amp; no red tide/blue green algae) makes . https   twitter com Case_Faced status 1138855295369830400 photo 1",FALSE,"375733508",2019-06-12 17:07:15,"en","1138855295369830400","everyone","1138855295369830400",NA,NA,"Casey Riley","https://pbs.twimg.com/profile_images/1516964996080668673/tpyBG9gj_normal.jpg",FALSE,"Venice, FL",FALSE,"","Case_Faced","2011-09-18T16:56:13.000Z",NA,"46f560fbf4d9593e",0,0,6,0,0,550,3461,10250,3,"What a difference one year (&amp; no red tide/blue green algae) makes https://t.co/uoyJSSUDfO"
"10","@Fox4Now Is their a way to treat the water before leaving Okeechobee? Or possibly applying aerial application to red tide areas? Would be helpful to include some Blue-green algae task force contacts. #bgatf #SWFL. ",FALSE,"300217522",2019-06-30 13:07:38,"en","1145317975265873921","everyone","1145083441584758784","17434395",NA,"Bob-the-Pilot","https://pbs.twimg.com/profile_images/752547013070389248/qa_tGPtp_normal.jpg",FALSE,"North Port, FL",FALSE,"I pontificate my subjective convictions with indelicacy.

I block those that advocate violence, hate, racism, xenophobia, misogyny and that convey ad hominem.","Bobthepilot","2011-05-17T12:02:09.000Z","1585645570798268417","81b55f54466d8ae4",0,0,0,0,0,214,33,16645,5,"@Fox4Now Is their a way to treat the water before leaving Okeechobee? Or possibly applying aerial application to red tide areas? Would be helpful to include some Blue-green algae task force contacts. #bgatf #SWFL"
