"","text","in_reply_to_user_id","conversation_id","created_at.x","lang","reply_settings","possibly_sensitive","id","author_id","url","verified","created_at.y","location","protected","username","pinned_tweet_id","description","name","profile_image_url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out. ",NA,"950908942003113991",2018-01-10 01:55:33,"en","everyone",FALSE,"950908942003113991","544625537","https://t.co/5iC2PFvL9P",FALSE,"2012-04-03T22:02:47.000Z","Anna Maria, FL",FALSE,"mojowinn","1095174218516520960","you gon have to excuse my mess • ☼♉ • ↥♊ • ☾♓︎•","mariah","https://pbs.twimg.com/profile_images/1187170281963606016/xnLFDi72_normal.jpg",0,0,2,0,0,"008338532a26abed",595,77,67556,3,"ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out"
"2","@KyleWoTB We were calling it The Red Tide back then, right @topherchris. ","21632720","952592904870035456",2018-01-14 18:23:47,"en","everyone",FALSE,"952607190761771009","820303","https://t.co/YmwpBQTRQX",FALSE,"2007-03-08T00:41:48.000Z","SRQ",FALSE,"MattCox","1605018608203071488","Support @TampaBayRowdies & @LFC | @usouthflorida 🐂 & @usfsigep ♥ alum | Mostly Harmless/Highly Effective/Very Tired/Neutral Good","Matthew Cox","https://pbs.twimg.com/profile_images/1609606967483404288/B22uTyUo_normal.jpg",0,0,0,0,0,"cc1dadd72eefd2f7",804,735,72260,29,"@KyleWoTB We were calling it The Red Tide back then, right @topherchris"
"3","@UCFTurtleLab @UCFSciences @USFWSRefuges I guess they need a longer break. lol 

Has there been impact on population or health quality due to the algal blooms?. ","1694782680","1000014696752340992",2018-05-25 19:01:04,"en","everyone",FALSE,"1000089382609653760","86996293",NA,FALSE,"2009-11-02T18:21:22.000Z","Florida, USA",FALSE,"UCF_Diver39","1433892307951099906","Change the World.","UCF Matt","https://pbs.twimg.com/profile_images/1148578408416370688/OeVjCgV7_normal.jpg",0,1,0,0,0,"0043956c6f41307f",993,1567,48483,33,"@UCFTurtleLab @UCFSciences @USFWSRefuges I guess they need a longer break. lol 

Has there been impact on population or health quality due to the algal blooms?"
"4","Sarasota Grand Prix delivers despite red tide, beach erosion . http   heraldtribune com news 20180701 sarasota grand prix delivers despite red tide beach erosion",NA,"1013596251475062784",2018-07-02 01:32:32,"da","everyone",FALSE,"1013596251475062784","839537188819849216","https://t.co/8DAkno21eA",FALSE,"2017-03-08T18:03:58.000Z","Champa Bay, FL",FALSE,"NoDocumentaries",NA,"Writer, journalist, storyteller. Semi-retired trivia geek. Fantasy Football nerd. Aspiring wannabe Tetris master.","Michael Moore Jr.","https://pbs.twimg.com/profile_images/1044690077539078145/BYbWEK4Z_normal.jpg",1,0,2,1,0,"015ece617bb3a210",768,3354,9049,7,"Sarasota Grand Prix delivers despite red tide, beach erosion https://t.co/2fUkRsawjG"
"5","Massive and toxic algae bloom threatens Florida coasts with another lost summer, reports @jenstaletovich. . https   www bradenton com news state florida article213849429 html",NA,"1013800069282369536",2018-07-02 15:02:26,"en","everyone",FALSE,"1013800069282369536","265559945","https://t.co/CRohX622QC",TRUE,"2011-03-13T19:24:39.000Z","Bradenton, FL",FALSE,"JDeleon1012","1612861489475457029","Investigative multi-media journalist at @abcactionnews.

Formerly @BradentonHerald and @BHnewsguild.

Confidential tips: JessDeLeon@protonmail.com","Jessica De Leon","https://pbs.twimg.com/profile_images/1613951615102324757/ES0hXmN3_normal.jpg",0,0,0,0,0,"008338532a26abed",2841,1468,31067,82,"Massive and toxic algae bloom threatens Florida coasts with another lost summer, reports @jenstaletovich. https://t.co/b2mmsE1vhV"
"6","@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs.... ","1198705884","1014680350289620992",2018-07-05 03:09:14,"en","everyone",FALSE,"1014707751392546817","459823706",NA,FALSE,"2012-01-10T02:58:25.000Z","bradenton fl",FALSE,"stilldabeast73","1486050708982013965","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem","Chalky of the Fellas","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg",0,4,0,0,0,"015ece617bb3a210",2628,3766,110811,17,"@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs..."
"7","@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently... ","1198705884","1014680350289620992",2018-07-05 03:13:23,"en","everyone",FALSE,"1014708794591469568","459823706",NA,FALSE,"2012-01-10T02:58:25.000Z","bradenton fl",FALSE,"stilldabeast73","1486050708982013965","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem","Chalky of the Fellas","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg",0,1,0,0,0,"015ece617bb3a210",2628,3766,110811,17,"@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently.."
"8","This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 . https   twitter com mannahhorse status 1017077807518797824 video 1",NA,"1017077807518797824",2018-07-11 16:07:00,"en","everyone",FALSE,"1017077807518797824","906152580","https://t.co/lqYfkGMqDH",TRUE,"2012-10-26T14:54:09.000Z","West Palm Beach, FL",FALSE,"mannahhorse",NA,"Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi 👋: hmorse@pbpost.com","Hannah Morse 🌅","https://pbs.twimg.com/profile_images/1402263891594317826/NzFiwvcZ_normal.jpg",6,2,27,3,0,"07d9db6fd6486002",2188,1821,10449,76,"This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 https://t.co/iYLMMNIQWO"
"9","@mannahhorse I think I'm in love! Go little guy go!. ","906152580","1017077807518797824",2018-07-11 18:27:15,"en","everyone",FALSE,"1017113101353832458","2415889026","https://t.co/4WQP3XGHn4",FALSE,"2014-03-28T13:15:12.000Z","Bradenton FL",FALSE,"Urbanmark2014",NA,"A quarter century as a journalist and proud #veteran. Now the conservative voice of Manatee County at the @ManateeHerald","Mark Young","https://pbs.twimg.com/profile_images/1432729879871639553/LgEHhce2_normal.jpg",0,0,3,0,0,NA,2698,2465,7279,82,"@mannahhorse I think I'm in love! Go little guy go!"
"10","@mannahhorse looove. ","906152580","1017077807518797824",2018-07-11 23:19:31,"en","everyone",FALSE,"1017186656154210306","836913667",NA,TRUE,"2012-09-21T03:31:41.000Z","Lima, Peru",FALSE,"BiancaJoanie","1605225619620597763","freelance journalist based in Lima | caribeña y bori de pe erre 🇵🇷 | tb falo português","Bianca Padró Ocasio","https://pbs.twimg.com/profile_images/1562898668579160065/oP8Nkran_normal.jpg",0,0,1,0,0,NA,10686,3266,17817,296,"@mannahhorse looove"
"11","People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one.. ",NA,"1021841254336872452",2018-07-24 19:35:14,"en","everyone",FALSE,"1021841254336872452","854141286",NA,FALSE,"2012-09-30T05:11:49.000Z",NA,FALSE,"sgannett101",NA,"Florida State Alum | Please use the Oxford Comma","Stephanie Gannett","https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg",0,1,3,0,0,"4019ea33d81d7fe8",249,572,5418,5,"People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one."
"12","The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements.. ","854141286","1021841254336872452",2018-07-24 19:38:26,"en","everyone",FALSE,"1021842058401726465","854141286",NA,FALSE,"2012-09-30T05:11:49.000Z",NA,FALSE,"sgannett101",NA,"Florida State Alum | Please use the Oxford Comma","Stephanie Gannett","https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg",0,0,0,0,0,"4019ea33d81d7fe8",249,572,5418,5,"The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements."
"13","@DJ58580742 @floridaguy267 @Solmemes1 We call that red tide. ","1001541425060859904","1016858430785585153",2018-07-27 00:37:32,"en","everyone",FALSE,"1022642106735775744","2924063531","https://t.co/CGcqdKFH9p",FALSE,"2014-12-16T01:43:59.000Z","FL",FALSE,"KathleenLong","1253508562321641472","#KAG Women for Trump Native NY'er #ProLife #MAGA2020 #Red wave #Family #standwithIsrael ✝ my family served #LivePDNation","KLONG","https://pbs.twimg.com/profile_images/1253505095993622528/RyzqeJXb_normal.jpg",0,0,0,0,0,"b83641daa7c732dc",418,976,18152,6,"@DJ58580742 @floridaguy267 @Solmemes1 We call that red tide"
"14","The red tide hazard is serious 🤮 . https   twitter com kaceeemiller status 1024392662051373056 video 1",NA,"1024392662051373056",2018-07-31 20:33:37,"en","everyone",FALSE,"1024392662051373056","3808929736",NA,FALSE,"2015-09-28T23:58:57.000Z","Windermere, FL",FALSE,"kaceeemiller",NA,"boy mom ♡ || 26 • insta: kiirstenmiller","K I R S T E N ❤️‍🔥","https://pbs.twimg.com/profile_images/1589813727565680642/YrmHNGng_normal.jpg",3,0,2,1,0,"0043956c6f41307f",536,519,18764,0,"The red tide hazard is serious 🤮 https://t.co/zVgy9HOU4C"
"15","Turn the Tide!! 
STOP ""FEEDING"" the RED TIDE!!  via @Change. https   www change org p turn the tide stop feeding the red tide",NA,"1024703942301810690",2018-08-01 17:10:32,"en","everyone",FALSE,"1024703942301810690","2841413614","https://t.co/wiuNn6Uaxg",FALSE,"2014-10-22T18:22:51.000Z","Sarasota, FL",FALSE,"lesrealtor",NA,"Broker Agent for Fine Properties in Sarasota, FL Leslie@FinePropertiesRE.com 941-238-7714","Leslie Gregory","https://pbs.twimg.com/profile_images/524990446867468288/hlyXZcLo_normal.jpeg",0,0,0,0,0,"008338532a26abed",293,585,501,5,"Turn the Tide!! 
STOP ""FEEDING"" the RED TIDE!! https://t.co/TAWhMVmdtM via @Change"
"16","@kgabssss the red tide made her asthma flare up and the plane mixed with sunburn basically gave her the flu lol. ","24970658","1024791188635889664",2018-08-01 23:43:08,"en","everyone",FALSE,"1024802743876313088","166279657","https://t.co/gtcXF5w6Xc",FALSE,"2010-07-13T19:35:04.000Z","CT",FALSE,"kaayllaa_atl","1586368248362041345","i wonder what its like to be the universe experiencing itself ironically // 8123 // ct","kayla","https://pbs.twimg.com/profile_images/1484622184618151936/cToVxyt6_normal.jpg",0,1,0,0,0,"0064b4f401ced97c",780,315,60153,8,"@kgabssss the red tide made her asthma flare up and the plane mixed with sunburn basically gave her the flu lol"
"17","This red tide/algae thing could crush Rick Scott if it's still around near election.  Seeing all my boating friends, prime GOP voters, extremely pissed off and pointing fingers at Scott.  #FlaPol. ",NA,"1024820172044025856",2018-08-02 00:52:23,"en","everyone",FALSE,"1024820172044025856","144834495",NA,FALSE,"2010-05-17T12:32:50.000Z","Florida, USA, Planet Earth",FALSE,"RTShark","748294506022313984","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.","R","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg",0,1,0,0,0,"0064b4f401ced97c",1148,1155,84187,60,"This red tide/algae thing could crush Rick Scott if it's still around near election.  Seeing all my boating friends, prime GOP voters, extremely pissed off and pointing fingers at Scott.  #FlaPol"
