"","text","lang","author_id","conversation_id","id","possibly_sensitive","reply_settings","created_at.x","username","verified","profile_image_url","location","url","name","protected","description","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","in_reply_to_user_id","pinned_tweet_id","geo_place_id","reply.to.thread.no.term"
"1","It's nice to know and hope the gulf is clean enough to swim in as red tide is creeping in etc...
I'm ready to head to the beach, but cautious about bacteria levels in our water. 
#safety #beaches #stpete #beach 
#stpetebeach #ilovemybeach . https   twitter com WFLA status 1849062907645968644","en","56261494","1849496805857427491","1849496805857427491",FALSE,"everyone",2024-10-24 17:02:55,"RnBChrisTian",FALSE,"https://pbs.twimg.com/profile_images/1614414091132571648/se99k1Qg_normal.jpg","St Petersburg, FL ","https://t.co/q0lWP6wr9r","Chris Tian",FALSE,"R&b/Soul/EDM Artist & 5X (time) Grammy Contender heard globally!","2009-07-13T02:27:43.000Z",0,0,0,0,0,103,2030,1910,2770,26,2285,"It's nice to know and hope the gulf is clean enough to swim in as red tide is creeping in etc...
I'm ready to head to the beach, but cautious about bacteria levels in our water. 
#safety #beaches #stpete #beach 
#stpetebeach #ilovemybeach https://t.co/yFFT5nzZNE",NA,NA,NA,NA
"2","@SheaGibsonWx @FLgator727 Thx Shea, I am a marine scientist PhD that recently moved from St Pete, sat on Board of Florida Ocean Alliance for years, well published author on the ocean, and have worked with researchers studying algal blooms.","en","231452828","1846559450255298716","1846829085319700708",FALSE,"everyone",2024-10-17 08:22:21,"elprager",FALSE,"https://pbs.twimg.com/profile_images/1386645542172864512/7_w5hOt__normal.jpg","Annapolis, MD",NA,"Ellen Prager",FALSE,"Marine scientist, chief scientist StormCenter Communications and author  of popular science and sci-adventure books for all ages","2010-12-28T15:26:13.000Z",0,0,1,0,0,34,965,252,6363,41,11447,"@SheaGibsonWx @FLgator727 Thx Shea, I am a marine scientist PhD that recently moved from St Pete, sat on Board of Florida Ocean Alliance for years, well published author on the ocean, and have worked with researchers studying algal blooms.","958370022",NA,NA,NA
"3","As if the beaches didn’t have enough to deal with, Pinellas County officials say medium concentrations of red tide found off St. Pete Beach, Madeira Beach and Dunedin Causeway. Low concentrations off Pass-a-Grille, Clearwater Intracoastal Waterway and Honeymoon Island.","en","2420012296","1841518162069561670","1841518162069561670",FALSE,"everyone",2024-10-02 16:38:38,"KaileyTracy",FALSE,"https://pbs.twimg.com/profile_images/1777697675686608896/xsEmqKvR_normal.jpg","St Petersburg, FL",NA,"Kailey Tracy Fox 13",FALSE,"Reporter for @Fox13News | Proud @ElonUniversity alum | Baltimore native | Avid foodie | Sunset enthusiast | @Ravens fanatic | Stories ➡️ kailey.tracy@fox.com","2014-03-18T12:59:33.000Z",0,0,0,0,0,164,2678,1963,16912,50,72616,"As if the beaches didn’t have enough to deal with, Pinellas County officials say medium concentrations of red tide found off St. Pete Beach, Madeira Beach and Dunedin Causeway. Low concentrations off Pass-a-Grille, Clearwater Intracoastal Waterway and Honeymoon Island.",NA,"1580013570066378753",NA,NA
"4","(2/x) ""... low to medium concentrations of Red Tide detected in water samples taken from Pinellas waters. Low concentrations were found off Pass-a-Grille, the Clearwater Intracoastal Waterway and Honeymoon Island.
Medium concentrations were found off St. Pete Beach, ...""","en","13058782","1841506604388127191","1841506681445879816",FALSE,"everyone",2024-10-02 15:53:01,"wmnfnews",FALSE,"https://pbs.twimg.com/profile_images/1519035778059358217/mUPjQqsF_normal.jpg","Tampa, FL USA","https://t.co/bUWYk8x2JM","Seán Kinane WMNF",FALSE,"WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him","2008-02-04T18:22:04.000Z",0,1,1,0,0,95,6516,2626,80993,348,50506,"(2/x) ""... low to medium concentrations of Red Tide detected in water samples taken from Pinellas waters. Low concentrations were found off Pass-a-Grille, the Clearwater Intracoastal Waterway and Honeymoon Island.
Medium concentrations were found off St. Pete Beach, ...""","13058782","1380000214661136388",NA,NA
"5","@KristyTallman free spirulina?","et","1713942463","1832834534251106310","1832835283186028814",FALSE,"everyone",2024-09-08 17:35:58,"SarahCorvus",FALSE,"https://pbs.twimg.com/profile_images/1585472122087886848/xbFSoXcN_normal.jpg","keybase.io/opus1","https://t.co/0UKNW8qs1F","Psykes Group Darling",FALSE,"Schadenfreude Sommelier","2013-08-30T22:47:56.000Z",0,0,0,0,0,3,600,2012,6211,26,2891,NA,"74839195","1686849767819837440",NA,TRUE
"6","The Gulf of Finland in St. Petersburg, Russia, Turns Green Due to Algae Growth

Reports suggest the bright green color is caused by algae, which thrive and die off in the daytime heat.

#GulfofFinland #StPetersburg #AlgaeBloom #EnvironmentalNews #Russia #WaterQuality… https://t.co/lMPpWDLzQa https://t.co/c2smql18vX","en","74839195","1832834534251106310","1832834534251106310",FALSE,"everyone",2024-09-08 17:33:00,"KristyTallman",FALSE,"https://pbs.twimg.com/profile_images/1817840013406765056/aWxxyjfb_normal.jpg","Lebanon, Oregon ",NA,"Kristy Tallman",FALSE,"Journalist, Photographer & Author of Psychological/Political Thrillers, combined with Poetry & Song.","2009-09-16T21:11:19.000Z",0,1,0,0,0,69,2327,2762,9700,59,5580,"The Gulf of Finland in St. Petersburg, Russia, Turns Green Due to Algae Growth

Reports suggest the bright green color is caused by algae, which thrive and die off in the daytime heat.

#GulfofFinland #StPetersburg #AlgaeBloom #EnvironmentalNews #Russia #WaterQuality… https://t.co/lMPpWDLzQa https://t.co/c2smql18vX",NA,"1833594487681257923","a12170d40e438f19",FALSE
"7","@StPeteFL Fun Fact: The City's sewage spills contribute to red tide. (But it's ok. Keep overdeveloping the area before you fix the infrastructure).
https://t.co/UpXfPuwAz7","en","1398405213367767040","1831412900105470394","1831775493135462506",FALSE,"everyone",2024-09-05 19:24:44,"WorstMayorEva",FALSE,"https://pbs.twimg.com/profile_images/1398408831949021186/oWMmFms0_normal.jpg","St Petersburg, FL",NA,"Krise",FALSE,"","2021-05-28T22:27:23.000Z",0,0,1,0,0,4,44,132,359,1,238,"@StPeteFL Fun Fact: The City's sewage spills contribute to red tide. (But it's ok. Keep overdeveloping the area before you fix the infrastructure).
https://t.co/UpXfPuwAz7","65459725",NA,NA,FALSE
"8","@seanhannity It’s a possible source stock for diesel fuel.. you didn’t know?  https://t.co/gvzQuvvS8Y

Also, Putin fooled you on Russia 800AD. The Russ (Rowers) Nordic people founded Kyiv ahead of St. Petersburg or Moscow,  and into the River Siene too, yes Paris, around the same era.","en","57580230","1821248481253556665","1821350954379452550",TRUE,"everyone",2024-08-08 01:01:21,"rsylianteng",FALSE,"https://pbs.twimg.com/profile_images/1090268169/images_normal.jpg","Escolta, Manila, Philippines",NA,"Roberto Sylianteng",FALSE,"Management practitioner and mentor.","2009-07-17T07:20:38.000Z",0,0,2,0,0,31,92,510,8659,2,380,"@seanhannity It’s a possible source stock for diesel fuel.. you didn’t know?  https://t.co/gvzQuvvS8Y

Also, Putin fooled you on Russia 800AD. The Russ (Rowers) Nordic people founded Kyiv ahead of St. Petersburg or Moscow,  and into the River Siene too, yes Paris, around the same era.","41634520","1594213633797419009",NA,NA
"9","@Boosted_DGK It's only bad sometimes because of the Red Tide. Sarasota and St Pete are so so nice usually. Idk as much about east coast beaches though","en","1375177605889032206","1804930768969609451","1804955802786050081",FALSE,"everyone",2024-06-23 19:12:52,"ViriROB",FALSE,"https://pbs.twimg.com/profile_images/1587491647289524224/5Pvtw_aa_normal.jpg","Tampa, FL",NA,"Mako | Viri",FALSE,"Smash Bros Competitor | Tampa Player | Mako Esports | #1 in Tampa | Steph 💗","2021-03-25T20:07:53.000Z",0,1,3,0,0,75,794,396,11379,2,12339,"@Boosted_DGK It's only bad sometimes because of the Red Tide. Sarasota and St Pete are so so nice usually. Idk as much about east coast beaches though","244602653",NA,NA,NA
"10","@xM1l3s @danielgothits Absolutely. Saratoga weather is nice too. A bit touristy with Tampa and St Pete around the corner. But if you don’t mind that. that’s the ticket. Beaches are nice most of the year except when red tide.. ","en","1418750262504787976","1784478727448969237","1784552809565704250",FALSE,"everyone",2024-04-28 11:58:39,"iam0berly0",FALSE,"https://pbs.twimg.com/profile_images/1771536146171842561/f4urDmeV_normal.jpg","🌎","https://t.co/KKidN4LRVu","0berly0 🌌🌄🖋",FALSE,"Penman Basic. (🌳🌳) 🟪","2021-07-24T01:52:55.000Z",0,0,1,0,0,43,1115,3559,37083,15,137362,"@xM1l3s @danielgothits Absolutely. Saratoga weather is nice too. A bit touristy with Tampa and St Pete around the corner. But if you don’t mind that. that’s the ticket. Beaches are nice most of the year except when red tide.","61134911","1485736444308172809",NA,NA
