"","text","created_at.x","possibly_sensitive","lang","author_id","conversation_id","id","reply_settings","description","location","profile_image_url","url","username","created_at.y","name","verified","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","public_metrics.y_media_count","text_with_display_links","pinned_tweet_id","in_reply_to_user_id","reply.to.thread.no.term","geo_place_id"
"1","🏖️Red tide detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. . https   thebradentontimes com stories red tide status update 121124 119306",2024-12-14 17:01:00,FALSE,"en","236390420","1867978105647939781","1867978105647939781","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,27,1150,427,10711,21,2595,4904,"🏖️Red tide detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. https://t.co/nnGyPiMvnU",NA,NA,NA,NA
"2","🏖️Red tide detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. . https   winknews com 2024 12 10 red tide looms off southwest florida coastline",2024-12-14 00:01:00,FALSE,"en","236390420","1867721414192619956","1867721414192619956","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,77,1150,427,10711,21,2595,4904,"🏖️Red tide detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. https://t.co/Idmd3yTsCp",NA,NA,NA,NA
"3","🏖️Red tide detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. . https   winknews com 2024 12 10 red tide looms off southwest florida coastline",2024-12-13 17:01:00,FALSE,"en","236390420","1867615717836873987","1867615717836873987","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,88,1150,427,10711,21,2595,4904,"🏖️Red tide detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. https://t.co/Idmd3yU0rX",NA,NA,NA,NA
"4","RT @FloridaIssues: Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties . https   www wusf org environment 2024 12 11 red tide is still fouling area beaches",2024-12-12 22:11:03,FALSE,"en","1859631862060064768","1867331358831309013","1867331358831309013","everyone","USA 1st Muslim Patriots are driven to foster understanding, unity & to highlight/spread awarness about the issues affecting all American Citizens!","Orlando, Florida","https://pbs.twimg.com/profile_images/1859643260605530112/UUbQCk5G_normal.jpg",NA,"USA1stMuslims","2024-11-21T16:16:17.000Z","USA1stMuslimPatriots",FALSE,FALSE,1,0,0,0,0,0,33,839,1963,0,750,26,"RT @FloridaIssues: Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties https://t.co/tw2SRZRUxf",NA,NA,NA,NA
"5","The red tide organism Karenia brevis was detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1867328827640492288 video 1",2024-12-12 22:01:00,FALSE,"en","236390420","1867328827640492288","1867328827640492288","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,85,1150,427,10711,21,2595,4904,"The red tide organism Karenia brevis was detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. https://t.co/7FNOiFPHgO",NA,NA,NA,NA
"6","RT @HealthNewsFL: Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties, with respiratory irritation in Sarasota and Pinellas. . https   health wusf usf edu health news florida 2024 12 12 red tide is still fouling beaches off pinellas manatee and sarasota counties",2024-12-12 20:35:05,FALSE,"en","1695520317203001344","1867307205839470702","1867307205839470702","everyone","Radiating positivity and rainbows","Miami, Florida","https://pbs.twimg.com/profile_images/1749448848253067265/UZxqBu5m_normal.jpg",NA,"KassH0lme5","2023-08-26T19:35:37.000Z","Kassandra Holmes",FALSE,FALSE,1,0,0,0,0,0,25,432,1136,0,1295,340,"RT @HealthNewsFL: Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties, with respiratory irritation in Sarasota and Pinellas. https://t.co/TO5tmf4hnW",NA,NA,NA,NA
"7","Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties, with respiratory irritation in Sarasota and Pinellas. . https   health wusf usf edu health news florida 2024 12 12 red tide is still fouling beaches off pinellas manatee and sarasota counties",2024-12-12 20:30:00,FALSE,"en","20798645","1867305927369445688","1867305927369445688","everyone","Since 2006, we've provided in-depth health journalism for Floridians. We're a part of WUSF Public Media, with reporters in Tampa, Miami and Orlando.","Tampa, FL","https://pbs.twimg.com/profile_images/2626960293/xmwpbvpgbv34f2krgmvb_normal.jpeg","https://t.co/EXlbTcb8Uq","HealthNewsFL","2009-02-13T19:36:57.000Z","Health News Florida",FALSE,FALSE,1,0,0,0,0,28,6575,4012,30208,266,68,2835,"Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties, with respiratory irritation in Sarasota and Pinellas. https://t.co/TO5tmf4hnW",NA,NA,NA,NA
"8","⚠️The red tide organism Karenia brevis was detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1867223131636797774 video 1",2024-12-12 15:01:00,FALSE,"en","236390420","1867223131636797774","1867223131636797774","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,56,1150,427,10711,21,2595,4904,"⚠️The red tide organism Karenia brevis was detected in 101 samples collected from Florida’s Gulf Coast in Pinellas, Hillsborough, Sarasota, Charlotte, Lee, Collier, Manatee and Pasco Counties.  Red tide can cause breathing difficulty in people/pets. 
#Poison Help 1-800-222-1222. https://t.co/xkD8DXx7if",NA,NA,NA,NA
"9","Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties . https   www wusf org environment 2024 12 11 red tide is still fouling area beaches",2024-12-12 14:08:37,FALSE,"en","534263140","1867209950340301285","1867209950340301285","everyone","",NA,"https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",NA,"FloridaIssues","2012-03-23T12:49:26.000Z","Florida Issues",FALSE,FALSE,1,0,1,0,0,19,1029,12,160979,35,1143,578,"Red tide is still fouling beaches off Pinellas, Manatee and Sarasota counties https://t.co/tw2SRZRUxf",NA,NA,NA,NA
"10","🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1866241413274337701 video 1",2024-12-09 22:00:00,FALSE,"en","236390420","1866241413274337701","1866241413274337701","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,31,1155,427,10634,21,2598,4850,"🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/azbHFNMgbI",NA,NA,NA,NA
"11","🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1866135968069337395 video 1",2024-12-09 15:01:00,FALSE,"en","236390420","1866135968069337395","1866135968069337395","everyone","Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","Florida, USA","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3","FloridaPoison","2011-01-10T13:44:51.000Z","FL Poison Control",FALSE,FALSE,0,0,0,0,0,37,1155,427,10634,21,2598,4850,"🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/etkmoQ9IOi",NA,NA,NA,NA
