"","text","reply_settings","conversation_id","possibly_sensitive","id","created_at.x","lang","author_id","protected","url","verified","description","location","name","created_at.y","username","profile_image_url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","in_reply_to_user_id","pinned_tweet_id"
"1","It's nice to know and hope the gulf is clean enough to swim in as red tide is creeping in etc...
I'm ready to head to the beach, but cautious about bacteria levels in our water. 
#safety #beaches #stpete #beach 
#stpetebeach #ilovemybeach . https   twitter com WFLA status 1849062907645968644","everyone","1849496805857427491",FALSE,"1849496805857427491",2024-10-24 17:02:55,"en","56261494",FALSE,"https://t.co/q0lWP6wr9r",FALSE,"R&b/Soul/EDM Artist & 5X (time) Grammy Contender heard globally!","St Petersburg, FL ","Chris Tian","2009-07-13T02:27:43.000Z","RnBChrisTian","https://pbs.twimg.com/profile_images/1614414091132571648/se99k1Qg_normal.jpg",0,0,0,0,0,103,2030,1910,2770,26,2285,"It's nice to know and hope the gulf is clean enough to swim in as red tide is creeping in etc...
I'm ready to head to the beach, but cautious about bacteria levels in our water. 
#safety #beaches #stpete #beach 
#stpetebeach #ilovemybeach https://t.co/yFFT5nzZNE",NA,NA
"2","As if the beaches didn’t have enough to deal with, Pinellas County officials say medium concentrations of red tide found off St. Pete Beach, Madeira Beach and Dunedin Causeway. Low concentrations off Pass-a-Grille, Clearwater Intracoastal Waterway and Honeymoon Island.","everyone","1841518162069561670",FALSE,"1841518162069561670",2024-10-02 16:38:38,"en","2420012296",FALSE,NA,FALSE,"Reporter for @Fox13News | Proud @ElonUniversity alum | Baltimore native | Avid foodie | Sunset enthusiast | @Ravens fanatic | Stories ➡️ kailey.tracy@fox.com","St Petersburg, FL","Kailey Tracy Fox 13","2014-03-18T12:59:33.000Z","KaileyTracy","https://pbs.twimg.com/profile_images/1777697675686608896/xsEmqKvR_normal.jpg",0,0,0,0,0,164,2678,1963,16912,50,72616,"As if the beaches didn’t have enough to deal with, Pinellas County officials say medium concentrations of red tide found off St. Pete Beach, Madeira Beach and Dunedin Causeway. Low concentrations off Pass-a-Grille, Clearwater Intracoastal Waterway and Honeymoon Island.",NA,"1580013570066378753"
"3","(2/x) ""... low to medium concentrations of Red Tide detected in water samples taken from Pinellas waters. Low concentrations were found off Pass-a-Grille, the Clearwater Intracoastal Waterway and Honeymoon Island.
Medium concentrations were found off St. Pete Beach, ...""","everyone","1841506604388127191",FALSE,"1841506681445879816",2024-10-02 15:53:01,"en","13058782",FALSE,"https://t.co/bUWYk8x2JM",FALSE,"WMNF Community Radio news from #Tampa, #StPete, Sarasota #Florida & beyond. Tweets by WMNF News and Public Affairs Director Seán Kinane. he/him","Tampa, FL USA","Seán Kinane WMNF","2008-02-04T18:22:04.000Z","wmnfnews","https://pbs.twimg.com/profile_images/1519035778059358217/mUPjQqsF_normal.jpg",0,1,1,0,0,95,6516,2626,80993,348,50506,"(2/x) ""... low to medium concentrations of Red Tide detected in water samples taken from Pinellas waters. Low concentrations were found off Pass-a-Grille, the Clearwater Intracoastal Waterway and Honeymoon Island.
Medium concentrations were found off St. Pete Beach, ...""","13058782","1380000214661136388"
"4","@StPeteFL Fun Fact: The City's sewage spills contribute to red tide. (But it's ok. Keep overdeveloping the area before you fix the infrastructure).
https://t.co/UpXfPuwAz7","everyone","1831412900105470394",FALSE,"1831775493135462506",2024-09-05 19:24:44,"en","1398405213367767040",FALSE,NA,FALSE,"","St Petersburg, FL","Krise","2021-05-28T22:27:23.000Z","WorstMayorEva","https://pbs.twimg.com/profile_images/1398408831949021186/oWMmFms0_normal.jpg",0,0,1,0,0,4,44,132,359,1,238,"@StPeteFL Fun Fact: The City's sewage spills contribute to red tide. (But it's ok. Keep overdeveloping the area before you fix the infrastructure).
https://t.co/UpXfPuwAz7","65459725",NA
"5","@Boosted_DGK It's only bad sometimes because of the Red Tide. Sarasota and St Pete are so so nice usually. Idk as much about east coast beaches though","everyone","1804930768969609451",FALSE,"1804955802786050081",2024-06-23 19:12:52,"en","1375177605889032206",FALSE,NA,FALSE,"Smash Bros Competitor | Tampa Player | Mako Esports | #1 in Tampa | Steph 💗","Tampa, FL","Mako | Viri","2021-03-25T20:07:53.000Z","ViriROB","https://pbs.twimg.com/profile_images/1587491647289524224/5Pvtw_aa_normal.jpg",0,1,3,0,0,75,794,396,11379,2,12339,"@Boosted_DGK It's only bad sometimes because of the Red Tide. Sarasota and St Pete are so so nice usually. Idk as much about east coast beaches though","244602653",NA
"6","@xM1l3s @danielgothits Absolutely. Saratoga weather is nice too. A bit touristy with Tampa and St Pete around the corner. But if you don’t mind that. that’s the ticket. Beaches are nice most of the year except when red tide.. ","everyone","1784478727448969237",FALSE,"1784552809565704250",2024-04-28 11:58:39,"en","1418750262504787976",FALSE,"https://t.co/KKidN4LRVu",FALSE,"Penman Basic. (🌳🌳) 🟪","🌎","0berly0 🌌🌄🖋","2021-07-24T01:52:55.000Z","iam0berly0","https://pbs.twimg.com/profile_images/1771536146171842561/f4urDmeV_normal.jpg",0,0,1,0,0,43,1115,3559,37083,15,137362,"@xM1l3s @danielgothits Absolutely. Saratoga weather is nice too. A bit touristy with Tampa and St Pete around the corner. But if you don’t mind that. that’s the ticket. Beaches are nice most of the year except when red tide.","61134911","1485736444308172809"
"7","Exciting news! USF St. Petersburg Assistant Professor Heather O'Leary was featured on #NPR for turning #coralreef and #redtide research into a musical composition. Check out the groundbreaking collaboration with the USF School of Music here ⬇️
. https   ow ly GKPJ50Rofwb","everyone","1783527759765016676",FALSE,"1783527759765016676",2024-04-25 16:05:28,"en","143476735",FALSE,"https://t.co/U8V9paOPAt",FALSE,"Situated on 52 acres of waterfront in downtown St. Petersburg, our campus offers an intimate academic experience with all the benefits of a large institution.","St. Petersburg, Florida","USF St. Petersburg","2010-05-13T15:32:28.000Z","usfsp","https://pbs.twimg.com/profile_images/1784931913012256768/-Ms3U_yO_normal.jpg",0,0,0,0,0,94,3465,247,5219,63,3768,"Exciting news! USF St. Petersburg Assistant Professor Heather O'Leary was featured on #NPR for turning #coralreef and #redtide research into a musical composition. Check out the groundbreaking collaboration with the USF School of Music here ⬇️
https://t.co/ltYpfZh4PM",NA,"1684590221252550656"
"8","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777340723525812467",FALSE,"1777340723525812467",2024-04-08 14:20:24,"en","192777160",FALSE,"https://t.co/O8Z4E5VM84",FALSE,"Night Owl | INFP | tired job seeker 
hiraeth-full & fernweh-haver
 Wimsey-infatuated 🧐
Fan of adaptive reuse & walkable cities

Tá cúpla focal agam ☘️ YNWA⚽️","Cone of Uncertainty","🌃🐳🦣 alexandra M 🌻🧭🦩","2010-09-20T03:25:31.000Z","MiscAlex","https://pbs.twimg.com/profile_images/1632249660835348480/qXQVbo4B_normal.jpg",6,0,0,0,0,0,348,628,31968,16,40568,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,"1593510122478866432"
"9","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777333469242089631",FALSE,"1777333469242089631",2024-04-08 13:51:34,"en","2725116285",FALSE,NA,FALSE,"It's go time.
Treehugger of Liberty. 
The #GreatestGeneration was Antifa.
BOTS/trolls shamed by their anonymous words, don't @ me.",NA,"sailonsilvergirl","2014-07-26T11:33:00.000Z","manton_jeanne","https://pbs.twimg.com/profile_images/729711017060618240/OSD_bTxK_normal.jpg",6,0,0,0,0,0,1570,1405,111693,16,68798,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,"1526700334848122880"
"10","RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
. https   www wusf org environment 2024 04 08 hurricane red tide gulf early warning budget cuts cripple","everyone","1777332600463573170",FALSE,"1777332600463573170",2024-04-08 13:48:07,"en","888041223243649024",FALSE,"https://t.co/Iq26uKWe8p",FALSE,"@jules-of-america.Bsky.social
❤️🇺🇸🐘🧚🏼🏀❤️ Earth Day 2022 Florida - 5 year old said, “My grandma’s husband is a woman.” ❤️ Love it!","🇺🇸 America 🇺🇸 ","Jules of 🇺🇸","2017-07-20T14:21:41.000Z","VotingTweeter","https://pbs.twimg.com/profile_images/912519116547792896/RpU7ctxo_normal.jpg",6,0,0,0,0,0,750,780,48962,1,191866,"RT @wusf: Hurricanes and red tides could become more powerful as the Gulf of Mexico heats to record levels. But budget cuts are threatening a system that monitors conditions there — including programs based in St. Petersburg and Sarasota.
https://t.co/eW0kGZpevX",NA,"1595417947886866433"
