"","text","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","url","profile_image_url","verified","username","created_at.y","name","description","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","Mark of 6th mass extinction 
Is another type of algae bloom – Sargassum – coming to a beach near 
you?
The Gulf Coast of Florida is already dealing with two different algae blooms: a red tide on many beaches south of Manatee County and blue-green algae

 . https   www wmnf org another algae bloom sargassum beach near you. https   twitter com BagalueSunab status 1026149316971450368 photo 1",FALSE,2018-08-05 16:53:56,"everyone","1026149316971450368","727316106843574272","en","1026149316971450368",FALSE,"Jamaica- Trinidad &Tobago",NA,"https://pbs.twimg.com/profile_images/1159242812631785475/jNAJa5L4_normal.jpg",FALSE,"BagalueSunab","2016-05-03T01:57:27.000Z","Caribbean disaster","We are a member of the coalition of small island and low-lying coastal countries that share similar development challenges and concerns","1258193342460035074",0,0,0,0,0,3996,4989,324026,154,NA,NA,"Mark of 6th mass extinction 
Is another type of algae bloom – Sargassum – coming to a beach near 
you?
The Gulf Coast of Florida is already dealing with two different algae blooms: a red tide on many beaches south of Manatee County and blue-green algae

https://t.co/emaDV14vjR https://t.co/Yrp2LWlaw2",FALSE
"2","They closed their business in Stuart due to the toxic blue green algae from Lake Okeechobee discharges on the East Coast. They found a new home in Manatee County. Two years later they’re dealing with a new algae, Red Tide, in the Gulf Coast. . http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-15 00:30:56,"everyone","1029525812775735296","26076407","en","1029525812775735296",FALSE,"USA",NA,"https://pbs.twimg.com/profile_images/1563861024297582592/niRlJA_O_normal.jpg",FALSE,"SJUA08","2009-03-23T19:59:21.000Z","Kiki","Moderate. Country First. Democracy. No party affiliation. Engineer. UF alumni. Statehood supporter for Puerto Rico & the U.S. Virgin Islands. Surfing is Life.","1586910860966072323",0,0,0,0,0,1705,2276,61979,27,NA,NA,"They closed their business in Stuart due to the toxic blue green algae from Lake Okeechobee discharges on the East Coast. They found a new home in Manatee County. Two years later they’re dealing with a new algae, Red Tide, in the Gulf Coast. https://t.co/5Qyl0glTu4",FALSE
"3","In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-15 12:24:56,"everyone","1029705496717078533","2701863841","en","1029705496717078533",FALSE,"Florida, USA","https://t.co/KznHCq17zJ","https://pbs.twimg.com/profile_images/1261323378079735808/MGIjyXmc_normal.jpg",FALSE,"VoteWaterFL","2014-08-02T22:02:05.000Z","VoteWater","Fighting political corruption in Florida by galvanizing public resolve to end the systemic pollution and mismanagement of our waterways.",NA,5,1,5,1,0,1857,1077,4426,25,NA,NA,"In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV",FALSE
"4","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-15 12:26:51,"everyone","1029705981205340160","1134924498","en","1029705981205340160",FALSE,"florida",NA,"https://pbs.twimg.com/profile_images/1141374119453372416/Du8_ee30_normal.jpg",FALSE,"kirkwoodjones","2013-01-30T19:16:20.000Z","Kirkwoodjones","Lookin for Truths.. and retweeting some things that need further research",NA,5,0,0,0,0,731,565,18650,11,NA,NA,"RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV",FALSE
"5","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-15 12:31:05,"everyone","1029707046596354050","734538021563830272","en","1029707046596354050",FALSE,"Florida",NA,"https://pbs.twimg.com/profile_images/1327726604055883786/kWHVB14c_normal.jpg",FALSE,"sittinginapark","2016-05-23T00:14:46.000Z","😈 No War Propaganda 🤡","anarchist, mental health advocate, mom to LGBTQ teen.",NA,5,0,0,0,0,1265,3531,29788,20,NA,NA,"RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV",FALSE
"6","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-15 14:14:10,"everyone","1029732987875852288","796417121190375424","en","1029732987875852288",FALSE,"Hollywood, FL",NA,"https://pbs.twimg.com/profile_images/1104228239952748544/zYfeITTL_normal.jpg",FALSE,"sincerefeedbac_","2016-11-09T18:20:13.000Z","Sean Atkinson","Live in Hollywood, no not that one. Dad, IT guy. Treehugger. Constant gardener. Socialist.",NA,5,0,0,0,0,628,1082,24908,3,NA,NA,"RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV",FALSE
"7","RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-15 18:29:09,"everyone","1029797155970662400","1437168828","en","1029797155970662400",FALSE,"United States",NA,"https://pbs.twimg.com/profile_images/423203382967283712/KRXNsK3-_normal.jpeg",FALSE,"CaHughes74","2013-05-18T02:14:37.000Z","Catherine Angela Imbriano Hughes","HFA. Organizer IA, NY, FL, UN Env Delegate, MSW, Const.Caseworker,Vic Advocate, FM DJ, E.Hampton, Bklyn, AmeriCorps,LIU library, MHP, NYS AG Env Award",NA,5,0,0,0,0,874,5004,44728,23,NA,NA,"RT @totalbullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV",FALSE
"8","RT @bullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next?  via @SNNTV. http   www snntv com 2018 08 14 business forced to relocate from blue green algae now closed by red tide",FALSE,2018-08-17 14:28:12,"everyone","1030461296507072512","825179034376085504","en","1030461296507072512",FALSE,"United States",NA,"https://pbs.twimg.com/profile_images/828373822218842112/Emqknhvx_normal.jpg",FALSE,"LauraLAbythesea","2017-01-28T03:09:47.000Z","Laura","","1127290745143087104",5,0,0,0,0,2046,2402,159442,4,NA,NA,"RT @bullsugar: In 2016, she closed her paddle board shop in Stuart &amp; moved across the state to avoid cyanobacteria. This year, she's closing the doors on her re-opened business in Manatee County due to red tide. Will she be forced out of Florida next? https://t.co/hPHTrlejV2 via @SNNTV",FALSE
"9","If you have been to a #beach in #Florida on the west coast, check to see if you have #cyanobacteria in your system.  @AndrewGillum it's bad.  People who visited that area are extremely sick in #Venice #LongboatKey #Bradenton  #Sarasota #Naples #CapeCoral @winknews #alert #airline . https   twitter com Ice_Phantom status 1042446788181942272 photo 1",FALSE,2018-09-19 16:14:16,"everyone","1042446788181942272","44904088","en","1042446788181942272",FALSE,NA,NA,"https://pbs.twimg.com/profile_images/435563470755352577/8cWNEbdX_normal.jpeg",FALSE,"Ice_Phantom","2009-06-05T14:32:23.000Z","Arenza Thigpen, Jr.","Strive to the top: for the bottom is too far crowded. -Cemoe.",NA,0,0,2,0,0,593,730,8588,20,NA,"7a863bb88e5bb33c","If you have been to a #beach in #Florida on the west coast, check to see if you have #cyanobacteria in your system.  @AndrewGillum it's bad.  People who visited that area are extremely sick in #Venice #LongboatKey #Bradenton  #Sarasota #Naples #CapeCoral @winknews #alert #airline https://t.co/FDpBQDRcfK",FALSE
"10","@calusawater @Karl_Deigert_RX @MyFWC Cyanobacteria is already showing up in Desoto and Manatee Counties. Residents have shared pictures, and taken samples. This will be known as one of the worst environmental disasters in the US. Only comparable to other massive industrial contamination events up North 50 years ago.. ",FALSE,2019-03-04 18:41:38,"everyone","1102349585425580032","1029700482955137024","en","1102640257730777088",FALSE,"USA",NA,"https://pbs.twimg.com/profile_images/1203682499018276864/isJsgOan_normal.jpg",FALSE,"LuzElenaBueno1","2018-08-15T12:05:00.000Z","Luz Elena Bueno","","1170345703786389511",0,0,0,0,0,24,126,247,0,"751811102175064065",NA,"@calusawater @Karl_Deigert_RX @MyFWC Cyanobacteria is already showing up in Desoto and Manatee Counties. Residents have shared pictures, and taken samples. This will be known as one of the worst environmental disasters in the US. Only comparable to other massive industrial contamination events up North 50 years ago.",FALSE
