"","text","id","possibly_sensitive","author_id","created_at.x","lang","reply_settings","conversation_id","in_reply_to_user_id","pinned_tweet_id","protected","verified","username","description","url","location","created_at.y","profile_image_url","name","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out. ","950908942003113991",FALSE,"544625537",2018-01-10 01:55:33,"en","everyone","950908942003113991",NA,"1095174218516520960",FALSE,FALSE,"mojowinn","you gon have to excuse my mess • ☼♉ • ↥♊ • ☾♓︎•","https://t.co/5iC2PFvL9P","Anna Maria, FL","2012-04-03T22:02:47.000Z","https://pbs.twimg.com/profile_images/1187170281963606016/xnLFDi72_normal.jpg","mariah",0,0,2,0,0,"008338532a26abed",595,77,67556,3,"ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out"
"2","@KyleWoTB We were calling it The Red Tide back then, right @topherchris. ","952607190761771009",FALSE,"820303",2018-01-14 18:23:47,"en","everyone","952592904870035456","21632720","1605018608203071488",FALSE,FALSE,"MattCox","Support @TampaBayRowdies & @LFC | @usouthflorida 🐂 & @usfsigep ♥ alum | Mostly Harmless/Highly Effective/Very Tired/Neutral Good","https://t.co/YmwpBQTRQX","SRQ","2007-03-08T00:41:48.000Z","https://pbs.twimg.com/profile_images/1609606967483404288/B22uTyUo_normal.jpg","Matthew Cox",0,0,0,0,0,"cc1dadd72eefd2f7",804,735,72260,29,"@KyleWoTB We were calling it The Red Tide back then, right @topherchris"
"3","@UCFTurtleLab @UCFSciences @USFWSRefuges I guess they need a longer break. lol 

Has there been impact on population or health quality due to the algal blooms?. ","1000089382609653760",FALSE,"86996293",2018-05-25 19:01:04,"en","everyone","1000014696752340992","1694782680","1433892307951099906",FALSE,FALSE,"UCF_Diver39","Change the World.",NA,"Florida, USA","2009-11-02T18:21:22.000Z","https://pbs.twimg.com/profile_images/1148578408416370688/OeVjCgV7_normal.jpg","UCF Matt",0,1,0,0,0,"0043956c6f41307f",993,1567,48483,33,"@UCFTurtleLab @UCFSciences @USFWSRefuges I guess they need a longer break. lol 

Has there been impact on population or health quality due to the algal blooms?"
"4","Sarasota Grand Prix delivers despite red tide, beach erosion . http   heraldtribune com news 20180701 sarasota grand prix delivers despite red tide beach erosion","1013596251475062784",FALSE,"839537188819849216",2018-07-02 01:32:32,"da","everyone","1013596251475062784",NA,NA,FALSE,FALSE,"NoDocumentaries","Writer, journalist, storyteller. Semi-retired trivia geek. Fantasy Football nerd. Aspiring wannabe Tetris master.","https://t.co/8DAkno21eA","Champa Bay, FL","2017-03-08T18:03:58.000Z","https://pbs.twimg.com/profile_images/1044690077539078145/BYbWEK4Z_normal.jpg","Michael Moore Jr.",1,0,2,1,0,"015ece617bb3a210",768,3354,9049,7,"Sarasota Grand Prix delivers despite red tide, beach erosion https://t.co/2fUkRsawjG"
"5","Massive and toxic algae bloom threatens Florida coasts with another lost summer, reports @jenstaletovich. . https   www bradenton com news state florida article213849429 html","1013800069282369536",FALSE,"265559945",2018-07-02 15:02:26,"en","everyone","1013800069282369536",NA,"1612861489475457029",FALSE,TRUE,"JDeleon1012","Investigative multi-media journalist at @abcactionnews.

Formerly @BradentonHerald and @BHnewsguild.

Confidential tips: JessDeLeon@protonmail.com","https://t.co/CRohX622QC","Bradenton, FL","2011-03-13T19:24:39.000Z","https://pbs.twimg.com/profile_images/1613951615102324757/ES0hXmN3_normal.jpg","Jessica De Leon",0,0,0,0,0,"008338532a26abed",2841,1468,31067,82,"Massive and toxic algae bloom threatens Florida coasts with another lost summer, reports @jenstaletovich. https://t.co/b2mmsE1vhV"
"6","@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs.... ","1014707751392546817",FALSE,"459823706",2018-07-05 03:09:14,"en","everyone","1014680350289620992","1198705884","1486050708982013965",FALSE,FALSE,"stilldabeast73","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem",NA,"bradenton fl","2012-01-10T02:58:25.000Z","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg","Chalky of the Fellas",0,4,0,0,0,"015ece617bb3a210",2628,3766,110811,17,"@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs..."
"7","@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently... ","1014708794591469568",FALSE,"459823706",2018-07-05 03:13:23,"en","everyone","1014680350289620992","1198705884","1486050708982013965",FALSE,FALSE,"stilldabeast73","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem",NA,"bradenton fl","2012-01-10T02:58:25.000Z","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg","Chalky of the Fellas",0,1,0,0,0,"015ece617bb3a210",2628,3766,110811,17,"@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently.."
"8","This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 . https   twitter com mannahhorse status 1017077807518797824 video 1","1017077807518797824",FALSE,"906152580",2018-07-11 16:07:00,"en","everyone","1017077807518797824",NA,NA,FALSE,TRUE,"mannahhorse","Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi 👋: hmorse@pbpost.com","https://t.co/lqYfkGMqDH","West Palm Beach, FL","2012-10-26T14:54:09.000Z","https://pbs.twimg.com/profile_images/1402263891594317826/NzFiwvcZ_normal.jpg","Hannah Morse 🌅",6,2,27,3,0,"07d9db6fd6486002",2188,1821,10449,76,"This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 https://t.co/iYLMMNIQWO"
"9","@mannahhorse I think I'm in love! Go little guy go!. ","1017113101353832458",FALSE,"2415889026",2018-07-11 18:27:15,"en","everyone","1017077807518797824","906152580",NA,FALSE,FALSE,"Urbanmark2014","A quarter century as a journalist and proud #veteran. Now the conservative voice of Manatee County at the @ManateeHerald","https://t.co/4WQP3XGHn4","Bradenton FL","2014-03-28T13:15:12.000Z","https://pbs.twimg.com/profile_images/1432729879871639553/LgEHhce2_normal.jpg","Mark Young",0,0,3,0,0,NA,2698,2465,7279,82,"@mannahhorse I think I'm in love! Go little guy go!"
"10","@mannahhorse looove. ","1017186656154210306",FALSE,"836913667",2018-07-11 23:19:31,"en","everyone","1017077807518797824","906152580","1605225619620597763",FALSE,TRUE,"BiancaJoanie","freelance journalist based in Lima | caribeña y bori de pe erre 🇵🇷 | tb falo português",NA,"Lima, Peru","2012-09-21T03:31:41.000Z","https://pbs.twimg.com/profile_images/1562898668579160065/oP8Nkran_normal.jpg","Bianca Padró Ocasio",0,0,1,0,0,NA,10686,3266,17817,296,"@mannahhorse looove"
"11","People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one.. ","1021841254336872452",FALSE,"854141286",2018-07-24 19:35:14,"en","everyone","1021841254336872452",NA,NA,FALSE,FALSE,"sgannett101","Florida State Alum | Please use the Oxford Comma",NA,NA,"2012-09-30T05:11:49.000Z","https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg","Stephanie Gannett",0,1,3,0,0,"4019ea33d81d7fe8",249,572,5418,5,"People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one."
"12","The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements.. ","1021842058401726465",FALSE,"854141286",2018-07-24 19:38:26,"en","everyone","1021841254336872452","854141286",NA,FALSE,FALSE,"sgannett101","Florida State Alum | Please use the Oxford Comma",NA,NA,"2012-09-30T05:11:49.000Z","https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg","Stephanie Gannett",0,0,0,0,0,"4019ea33d81d7fe8",249,572,5418,5,"The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements."
