"","text","in_reply_to_user_id","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","location","profile_image_url","verified","username","created_at.y","name","description","pinned_tweet_id","url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","If the red tide is high and it’s just @SethKush and baby Gertrude, ya handle it like Larry David did in I believe season 7 of curb @DrewOnTheRadio @TheSoulbrother @TheJohnSenning. ",NA,FALSE,2018-03-21 19:16:47,"everyone","976538129577496577","1055539482","en","976538129577496577",FALSE,"In Recovery","https://pbs.twimg.com/profile_images/1191888511001153539/Q-hdJXyw_normal.jpg",FALSE,"MarkShark420","2013-01-02T16:44:25.000Z","MarkTheShark","I’m a shark, I love baseball. 13 years sober from alcohol, I have Addison’s disease and I’m a medical marijuana patient. #RecoveryPosse","1008171908192448513",NA,"61eefa163263bef0",0,0,1,0,0,976,1041,113559,59,"If the red tide is high and it’s just @SethKush and baby Gertrude, ya handle it like Larry David did in I believe season 7 of curb @DrewOnTheRadio @TheSoulbrother @TheJohnSenning"
"2","@HeyTammyBruce Tammy glad to hear you on Tucker, unbelievable how these left wing loons get away with it . I hope &amp; pray this transforms into a Red tide in November. Thank you again for input.. ","22956220",FALSE,2018-06-01 00:38:39,"everyone","1002348668492632070","495463903","en","1002348668492632070",FALSE,"Clearwater, FL","https://pbs.twimg.com/profile_images/996863534322606081/3ohg_s1x_normal.jpg",FALSE,"WPM358","2012-02-18T00:29:05.000Z","Walter Murray","",NA,NA,"700eeb799fa55a4b",0,0,0,0,0,29,19,3058,2,"@HeyTammyBruce Tammy glad to hear you on Tucker, unbelievable how these left wing loons get away with it . I hope &amp; pray this transforms into a Red tide in November. Thank you again for input."
"3","Red tide alert . https   twitter com kkuizon status 1006976273929863168",NA,FALSE,2018-06-14 02:22:00,"everyone","1007085716374020098","427928463","no","1007085716374020098",FALSE,"Palm Harbor, FL","https://pbs.twimg.com/profile_images/1299489665326743556/-dWVjWGW_normal.jpg",FALSE,"angiedillman22","2011-12-04T04:16:14.000Z","Angie Dillman","🌺Majored in biology, workin, have a degree in Design, DM me if interested in any design or art I put out, I can make anything custom to your needs📿🕯🦋🌷","1484937206443966465",NA,"c5a8a3c8523b835e",0,0,0,0,0,38,89,1133,0,"Red tide alert https://t.co/Ios5yh6Z4v"
"4","@FLGovScott wants to make Florida the #1 state for job creation, but yet the waters that bring millions of tourists and therefore workers, are more polluted each day. We can do better. #RedTide. ","131546062",FALSE,2018-07-29 13:55:45,"everyone","1023567757537947648","55030469","en","1023567757537947648",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1547021795693305861/w-3dDMbX_normal.jpg",FALSE,"CG71791","2009-07-08T21:11:46.000Z","Corey","He/ Him. Tweets are not a reflection of my employer. #610 #727",NA,NA,"e54569d90c7032c0",0,0,0,0,0,317,330,15966,1,"@FLGovScott wants to make Florida the #1 state for job creation, but yet the waters that bring millions of tourists and therefore workers, are more polluted each day. We can do better. #RedTide"
"5","These photos coming out of Southwest Florida are horrific. The green slime and red tide spreading from Lake O to Naples is killing sharks, dolphins, manatees  and hundreds of fish . https   twitter com rehm_tweets status 1023974774232498179",NA,FALSE,2018-08-01 01:53:30,"everyone","1024473161570631680","15518828","en","1024473161570631680",FALSE,"St. Petersburg, Fla.","https://pbs.twimg.com/profile_images/744440755456966656/bid9_O7Z_normal.jpg",TRUE,"SharonKWn","2008-07-21T18:36:22.000Z","Sharon Kennedy Wynne","Sharon Kennedy Wynne, entertainment & events writer, editor at the Tampa Bay Times @TB_Times. Mom, foodie, news junkie & fan of rollercoasters and theme parks",NA,"https://t.co/nqGE2gcEFd","26b27cadf61e2e58",15,0,11,0,0,2889,1296,15437,84,"These photos coming out of Southwest Florida are horrific. The green slime and red tide spreading from Lake O to Naples is killing sharks, dolphins, manatees  and hundreds of fish https://t.co/vpn8An7NHr"
"6","This is so heartbreaking to see along out #Florida Coast! #welivehere. #redtide. . https   twitter com ChristieoTV status 1025542458992746496",NA,FALSE,2018-08-04 01:28:58,"everyone","1025554150464077826","1531785438","en","1025554150464077826",FALSE,"Clearwater, FL","https://pbs.twimg.com/profile_images/1440462416978972685/UVef302G_normal.jpg",FALSE,"KristenTurzak","2013-06-19T19:42:48.000Z","Kristen 🇺🇸","Travel 🛫 Photography 📸 Diving 🤿Boy Mom 💙 | Views are my own & retweets are not endorsements. 👍","1403302257970515969",NA,"ab944f41faea7e2f",0,0,1,0,0,818,1757,30114,71,"This is so heartbreaking to see along out #Florida Coast! #welivehere. #redtide. https://t.co/nlBoYvYXAW"
"7","Cheers to a perfect beach day 🍻🏖🐬⛵️.....so thankful that the Red Tide is not at Clearwater Beach🌊🌞 @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis . https   twitter com deenibikini status 1025872133170319362 photo 1",NA,FALSE,2018-08-04 22:32:30,"everyone","1025872133170319362","2564475435","en","1025872133170319362",FALSE,"Clearwater Beach, Florida","https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg",FALSE,"deenibikini","2014-05-26T01:55:31.000Z","ilovethebeach","",NA,NA,"700eeb799fa55a4b",5,2,50,0,0,310,220,1158,5,"Cheers to a perfect beach day 🍻🏖🐬⛵️.....so thankful that the Red Tide is not at Clearwater Beach🌊🌞 @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis https://t.co/sBcAxISiQp"
"8","@deenibikini @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis I love that beach! 💕. ","2564475435",FALSE,2018-08-05 01:51:37,"everyone","1025872133170319362","786306083966951424","en","1025922238808248320",FALSE,"Costa Rica","https://pbs.twimg.com/profile_images/1574809994624647169/dIgUKJPg_normal.jpg",FALSE,"MikePoynton","2016-10-12T20:42:34.000Z","Mike Poynton","Tree-hugger, digital marketer, fitness freak. Love beaches, sunsets, puppies, snakes & ice cold beer.",NA,NA,"01a1a2cf47d90e95",0,1,1,0,0,1528,891,13655,39,"@deenibikini @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis I love that beach! 💕"
"9","@MikePoynton @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Me too😊 2 yrs ago we moved just over the Bridge so that we can be there in less than 10 minutes for a beach day or Sunsets🌅 👍🏼....loving the Beach life!🏖🌴🌊. ","786306083966951424",FALSE,2018-08-05 02:05:52,"everyone","1025872133170319362","2564475435","en","1025925827656118272",FALSE,"Clearwater Beach, Florida","https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg",FALSE,"deenibikini","2014-05-26T01:55:31.000Z","ilovethebeach","",NA,NA,NA,0,0,1,0,0,310,220,1158,5,"@MikePoynton @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Me too😊 2 yrs ago we moved just over the Bridge so that we can be there in less than 10 minutes for a beach day or Sunsets🌅 👍🏼....loving the Beach life!🏖🌴🌊"
"10","@67Tuned @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Yes, it’s beautiful here..,No red tide !!The Gulf is perfect! Come on up and enjoy this beautiful Island....there so much to do here🏖🍹🏄🏼‍♀️🏝 . https   twitter com deenibikini status 1026194295630516224 photo 1","917006823831597056",FALSE,2018-08-05 19:52:40,"everyone","1025872133170319362","2564475435","en","1026194295630516224",FALSE,"Clearwater Beach, Florida","https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg",FALSE,"deenibikini","2014-05-26T01:55:31.000Z","ilovethebeach","",NA,NA,"700eeb799fa55a4b",4,0,20,0,0,310,220,1158,5,"@67Tuned @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Yes, it’s beautiful here..,No red tide !!The Gulf is perfect! Come on up and enjoy this beautiful Island....there so much to do here🏖🍹🏄🏼‍♀️🏝 https://t.co/8ke0mKeBNd"
