"","text","id","created_at.x","possibly_sensitive","lang","author_id","in_reply_to_user_id","conversation_id","reply_settings","username","description","url","protected","verified","location","name","profile_image_url","pinned_tweet_id","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out. ","950908942003113991",2018-01-10 01:55:33,FALSE,"en","544625537",NA,"950908942003113991","everyone","mojowinn","you gon have to excuse my mess • ☼♉ • ↥♊ • ☾♓︎•","https://t.co/5iC2PFvL9P",FALSE,FALSE,"Anna Maria, FL","mariah","https://pbs.twimg.com/profile_images/1187170281963606016/xnLFDi72_normal.jpg","1095174218516520960","2012-04-03T22:02:47.000Z",0,0,2,0,0,"008338532a26abed",595,77,67556,3,"ok ew can my roomates not make seafood it smells like red tide in this bitch sos get me the fuck out"
"2","@KyleWoTB We were calling it The Red Tide back then, right @topherchris. ","952607190761771009",2018-01-14 18:23:47,FALSE,"en","820303","21632720","952592904870035456","everyone","MattCox","Support @TampaBayRowdies & @LFC | @usouthflorida 🐂 & @usfsigep ♥ alum | Mostly Harmless/Highly Effective/Very Tired/Neutral Good","https://t.co/YmwpBQTRQX",FALSE,FALSE,"SRQ","Matthew Cox","https://pbs.twimg.com/profile_images/1609606967483404288/B22uTyUo_normal.jpg","1605018608203071488","2007-03-08T00:41:48.000Z",0,0,0,0,0,"cc1dadd72eefd2f7",804,735,72260,29,"@KyleWoTB We were calling it The Red Tide back then, right @topherchris"
"3","Sarasota Grand Prix delivers despite red tide, beach erosion . http   heraldtribune com news 20180701 sarasota grand prix delivers despite red tide beach erosion","1013596251475062784",2018-07-02 01:32:32,FALSE,"da","839537188819849216",NA,"1013596251475062784","everyone","NoDocumentaries","Writer, journalist, storyteller. Semi-retired trivia geek. Fantasy Football nerd. Aspiring wannabe Tetris master.","https://t.co/8DAkno21eA",FALSE,FALSE,"Champa Bay, FL","Michael Moore Jr.","https://pbs.twimg.com/profile_images/1044690077539078145/BYbWEK4Z_normal.jpg",NA,"2017-03-08T18:03:58.000Z",1,0,2,1,0,"015ece617bb3a210",768,3354,9049,7,"Sarasota Grand Prix delivers despite red tide, beach erosion https://t.co/2fUkRsawjG"
"4","@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs.... ","1014707751392546817",2018-07-05 03:09:14,FALSE,"en","459823706","1198705884","1014680350289620992","everyone","stilldabeast73","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem",NA,FALSE,FALSE,"bradenton fl","Chalky of the Fellas","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg","1486050708982013965","2012-01-10T02:58:25.000Z",0,4,0,0,0,"015ece617bb3a210",2628,3766,110811,17,"@PepeinVegas @_Just_Win_Baby_ @antdaone Florida has ok beaches if you like horse shit in the water, old guys balls hanging out and red tide burning your lungs..."
"5","@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently... ","1014708794591469568",2018-07-05 03:13:23,FALSE,"en","459823706","1198705884","1014680350289620992","everyone","stilldabeast73","Father. USAF Vet.  PT. Rugby, Raiders, Lightning, Knicks, BBWs  Single Moms. 
I want you to smile, laugh or think.
 #NAFO #SlavaUkraini  
#Chalky #Raiders #Dem",NA,FALSE,FALSE,"bradenton fl","Chalky of the Fellas","https://pbs.twimg.com/profile_images/1622428972515557377/ryQLcIMw_normal.jpg","1486050708982013965","2012-01-10T02:58:25.000Z",0,1,0,0,0,"015ece617bb3a210",2628,3766,110811,17,"@PepeinVegas @_Just_Win_Baby_ @antdaone no thats all tampa bay shit..Red Tide feels like a mild tear gas rn dead fish everywhere..my beach is shit currently.."
"6","This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 . https   twitter com mannahhorse status 1017077807518797824 video 1","1017077807518797824",2018-07-11 16:07:00,FALSE,"en","906152580",NA,"1017077807518797824","everyone","mannahhorse","Reporter for @pbpost. via @BradentonHerald and @UFJSchool. Co-chair @PBNewsGuild. Say hi 👋: hmorse@pbpost.com","https://t.co/lqYfkGMqDH",FALSE,TRUE,"West Palm Beach, FL","Hannah Morse 🌅","https://pbs.twimg.com/profile_images/1402263891594317826/NzFiwvcZ_normal.jpg",NA,"2012-10-26T14:54:09.000Z",6,2,27,3,0,"07d9db6fd6486002",2188,1821,10449,76,"This little guy was just released off Coquina Beach after being treated for red tide sickness. Story to come. 🐢 https://t.co/iYLMMNIQWO"
"7","@mannahhorse I think I'm in love! Go little guy go!. ","1017113101353832458",2018-07-11 18:27:15,FALSE,"en","2415889026","906152580","1017077807518797824","everyone","Urbanmark2014","A quarter century as a journalist and proud #veteran. Now the conservative voice of Manatee County at the @ManateeHerald","https://t.co/4WQP3XGHn4",FALSE,FALSE,"Bradenton FL","Mark Young","https://pbs.twimg.com/profile_images/1432729879871639553/LgEHhce2_normal.jpg",NA,"2014-03-28T13:15:12.000Z",0,0,3,0,0,NA,2698,2465,7279,82,"@mannahhorse I think I'm in love! Go little guy go!"
"8","@mannahhorse looove. ","1017186656154210306",2018-07-11 23:19:31,FALSE,"en","836913667","906152580","1017077807518797824","everyone","BiancaJoanie","freelance journalist based in Lima | caribeña y bori de pe erre 🇵🇷 | tb falo português",NA,FALSE,TRUE,"Lima, Peru","Bianca Padró Ocasio","https://pbs.twimg.com/profile_images/1562898668579160065/oP8Nkran_normal.jpg","1605225619620597763","2012-09-21T03:31:41.000Z",0,0,1,0,0,NA,10686,3266,17817,296,"@mannahhorse looove"
"9","People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one.. ","1021841254336872452",2018-07-24 19:35:14,FALSE,"en","854141286",NA,"1021841254336872452","everyone","sgannett101","Florida State Alum | Please use the Oxford Comma",NA,FALSE,FALSE,NA,"Stephanie Gannett","https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg",NA,"2012-09-30T05:11:49.000Z",0,1,3,0,0,"4019ea33d81d7fe8",249,572,5418,5,"People on here calling on politicians to ""fix red tide"" like they can take a shovel and get all the bacteria out of the ocean... some years the blooms are way bad. It has been getting steadily worse for dozens of years and WAIT some years we barely have one."
"10","The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements.. ","1021842058401726465",2018-07-24 19:38:26,FALSE,"en","854141286","854141286","1021841254336872452","everyone","sgannett101","Florida State Alum | Please use the Oxford Comma",NA,FALSE,FALSE,NA,"Stephanie Gannett","https://pbs.twimg.com/profile_images/1215096031802806279/H8aWicEg_normal.jpg",NA,"2012-09-30T05:11:49.000Z",0,0,0,0,0,"4019ea33d81d7fe8",249,572,5418,5,"The current political climate is making people get all upset over shit they have zero knowledge on. You dont see me ranting about tariffs because I'd sound stupid. Stick to what you know or do some research before making dumb statements."
"11","@DJ58580742 @floridaguy267 @Solmemes1 We call that red tide. ","1022642106735775744",2018-07-27 00:37:32,FALSE,"en","2924063531","1001541425060859904","1016858430785585153","everyone","KathleenLong","#KAG Women for Trump Native NY'er #ProLife #MAGA2020 #Red wave #Family #standwithIsrael ✝ my family served #LivePDNation","https://t.co/CGcqdKFH9p",FALSE,FALSE,"FL","KLONG","https://pbs.twimg.com/profile_images/1253505095993622528/RyzqeJXb_normal.jpg","1253508562321641472","2014-12-16T01:43:59.000Z",0,0,0,0,0,"b83641daa7c732dc",418,976,18152,6,"@DJ58580742 @floridaguy267 @Solmemes1 We call that red tide"
"12","The red tide hazard is serious 🤮 . https   twitter com kaceeemiller status 1024392662051373056 video 1","1024392662051373056",2018-07-31 20:33:37,FALSE,"en","3808929736",NA,"1024392662051373056","everyone","kaceeemiller","boy mom ♡ || 26 • insta: kiirstenmiller",NA,FALSE,FALSE,"Windermere, FL","K I R S T E N ❤️‍🔥","https://pbs.twimg.com/profile_images/1589813727565680642/YrmHNGng_normal.jpg",NA,"2015-09-28T23:58:57.000Z",3,0,2,1,0,"0043956c6f41307f",536,519,18764,0,"The red tide hazard is serious 🤮 https://t.co/zVgy9HOU4C"
"13","Turn the Tide!! 
STOP ""FEEDING"" the RED TIDE!!  via @Change. https   www change org p turn the tide stop feeding the red tide","1024703942301810690",2018-08-01 17:10:32,FALSE,"en","2841413614",NA,"1024703942301810690","everyone","lesrealtor","Broker Agent for Fine Properties in Sarasota, FL Leslie@FinePropertiesRE.com 941-238-7714","https://t.co/wiuNn6Uaxg",FALSE,FALSE,"Sarasota, FL","Leslie Gregory","https://pbs.twimg.com/profile_images/524990446867468288/hlyXZcLo_normal.jpeg",NA,"2014-10-22T18:22:51.000Z",0,0,0,0,0,"008338532a26abed",293,585,501,5,"Turn the Tide!! 
STOP ""FEEDING"" the RED TIDE!! https://t.co/TAWhMVmdtM via @Change"
"14","@kgabssss the red tide made her asthma flare up and the plane mixed with sunburn basically gave her the flu lol. ","1024802743876313088",2018-08-01 23:43:08,FALSE,"en","166279657","24970658","1024791188635889664","everyone","kaayllaa_atl","i wonder what its like to be the universe experiencing itself ironically // 8123 // ct","https://t.co/gtcXF5w6Xc",FALSE,FALSE,"CT","kayla","https://pbs.twimg.com/profile_images/1484622184618151936/cToVxyt6_normal.jpg","1586368248362041345","2010-07-13T19:35:04.000Z",0,1,0,0,0,"0064b4f401ced97c",780,315,60153,8,"@kgabssss the red tide made her asthma flare up and the plane mixed with sunburn basically gave her the flu lol"
"15","This red tide/algae thing could crush Rick Scott if it's still around near election.  Seeing all my boating friends, prime GOP voters, extremely pissed off and pointing fingers at Scott.  #FlaPol. ","1024820172044025856",2018-08-02 00:52:23,FALSE,"en","144834495",NA,"1024820172044025856","everyone","RTShark","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.",NA,FALSE,FALSE,"Florida, USA, Planet Earth","R","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg","748294506022313984","2010-05-17T12:32:50.000Z",0,1,0,0,0,"0064b4f401ced97c",1148,1155,84187,60,"This red tide/algae thing could crush Rick Scott if it's still around near election.  Seeing all my boating friends, prime GOP voters, extremely pissed off and pointing fingers at Scott.  #FlaPol"
"16","Red tide washes out fish and tourists . http   heraldtribune com news 20180801 red tide washes out fish and tourists","1024835908271529984",2018-08-02 01:54:55,FALSE,"en","839537188819849216",NA,"1024835908271529984","everyone","NoDocumentaries","Writer, journalist, storyteller. Semi-retired trivia geek. Fantasy Football nerd. Aspiring wannabe Tetris master.","https://t.co/8DAkno21eA",FALSE,FALSE,"Champa Bay, FL","Michael Moore Jr.","https://pbs.twimg.com/profile_images/1044690077539078145/BYbWEK4Z_normal.jpg",NA,"2017-03-08T18:03:58.000Z",0,0,0,0,0,"015ece617bb3a210",768,3354,9049,7,"Red tide washes out fish and tourists https://t.co/jk7OJzwAHK"
"17","@OversteerTV I don't think whether the pointing is misguided or not matters.  Two things favor the Dems is that incumbents get punished, the GOP controls that area, and Dems in general are usually seen as better for the environment.   

Anyway, was just an observation I see on Facebook.. ","1024837171952459777",2018-08-02 01:59:57,FALSE,"en","144834495","28165728","1024820172044025856","everyone","RTShark","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.",NA,FALSE,FALSE,"Florida, USA, Planet Earth","R","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg","748294506022313984","2010-05-17T12:32:50.000Z",0,1,0,0,0,NA,1149,1155,84187,60,"@OversteerTV I don't think whether the pointing is misguided or not matters.  Two things favor the Dems is that incumbents get punished, the GOP controls that area, and Dems in general are usually seen as better for the environment.   

Anyway, was just an observation I see on Facebook."
"18","@OversteerTV As far as Scott goes, you look at the map of red tide here and that is basic Scott's primary donor area.   

It could create interesting politics.. ","1024837449405681664",2018-08-02 02:01:03,FALSE,"en","144834495","144834495","1024820172044025856","everyone","RTShark","Old punker. I watch race cars, hockey and talk Hurricane football. I detail cars for fun.

Fuck racism. Fuck transphobia. Fuck homophobia.

Nazis can fuck off.",NA,FALSE,FALSE,"Florida, USA, Planet Earth","R","https://pbs.twimg.com/profile_images/1384690326921744388/VEutFQxt_normal.jpg","748294506022313984","2010-05-17T12:32:50.000Z",0,0,0,0,0,"0064b4f401ced97c",1148,1155,84187,60,"@OversteerTV As far as Scott goes, you look at the map of red tide here and that is basic Scott's primary donor area.   

It could create interesting politics."
