"","text","lang","possibly_sensitive","in_reply_to_user_id","author_id","reply_settings","conversation_id","id","created_at.x","username","protected","description","profile_image_url","location","created_at.y","name","verified","pinned_tweet_id","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","If the red tide is high and it’s just @SethKush and baby Gertrude, ya handle it like Larry David did in I believe season 7 of curb @DrewOnTheRadio @TheSoulbrother @TheJohnSenning. ","en",FALSE,NA,"1055539482","everyone","976538129577496577","976538129577496577",2018-03-21 19:16:47,"MarkShark420",FALSE,"I’m a shark, I love baseball. 13 years sober from alcohol, I have Addison’s disease and I’m a medical marijuana patient. #RecoveryPosse","https://pbs.twimg.com/profile_images/1191888511001153539/Q-hdJXyw_normal.jpg","In Recovery","2013-01-02T16:44:25.000Z","MarkTheShark",FALSE,"1008171908192448513",NA,0,0,1,0,0,"61eefa163263bef0",976,1041,113559,59,"If the red tide is high and it’s just @SethKush and baby Gertrude, ya handle it like Larry David did in I believe season 7 of curb @DrewOnTheRadio @TheSoulbrother @TheJohnSenning"
"2","@HeyTammyBruce Tammy glad to hear you on Tucker, unbelievable how these left wing loons get away with it . I hope &amp; pray this transforms into a Red tide in November. Thank you again for input.. ","en",FALSE,"22956220","495463903","everyone","1002348668492632070","1002348668492632070",2018-06-01 00:38:39,"WPM358",FALSE,"","https://pbs.twimg.com/profile_images/996863534322606081/3ohg_s1x_normal.jpg","Clearwater, FL","2012-02-18T00:29:05.000Z","Walter Murray",FALSE,NA,NA,0,0,0,0,0,"700eeb799fa55a4b",29,19,3058,2,"@HeyTammyBruce Tammy glad to hear you on Tucker, unbelievable how these left wing loons get away with it . I hope &amp; pray this transforms into a Red tide in November. Thank you again for input."
"3","Red tide alert . https   twitter com kkuizon status 1006976273929863168","no",FALSE,NA,"427928463","everyone","1007085716374020098","1007085716374020098",2018-06-14 02:22:00,"angiedillman22",FALSE,"🌺Majored in biology, workin, have a degree in Design, DM me if interested in any design or art I put out, I can make anything custom to your needs📿🕯🦋🌷","https://pbs.twimg.com/profile_images/1299489665326743556/-dWVjWGW_normal.jpg","Palm Harbor, FL","2011-12-04T04:16:14.000Z","Angie Dillman",FALSE,"1484937206443966465",NA,0,0,0,0,0,"c5a8a3c8523b835e",38,89,1133,0,"Red tide alert https://t.co/Ios5yh6Z4v"
"4","@FLGovScott wants to make Florida the #1 state for job creation, but yet the waters that bring millions of tourists and therefore workers, are more polluted each day. We can do better. #RedTide. ","en",FALSE,"131546062","55030469","everyone","1023567757537947648","1023567757537947648",2018-07-29 13:55:45,"CG71791",FALSE,"He/ Him. Tweets are not a reflection of my employer. #610 #727","https://pbs.twimg.com/profile_images/1547021795693305861/w-3dDMbX_normal.jpg","Tampa, FL","2009-07-08T21:11:46.000Z","Corey",FALSE,NA,NA,0,0,0,0,0,"e54569d90c7032c0",317,330,15966,1,"@FLGovScott wants to make Florida the #1 state for job creation, but yet the waters that bring millions of tourists and therefore workers, are more polluted each day. We can do better. #RedTide"
"5","These photos coming out of Southwest Florida are horrific. The green slime and red tide spreading from Lake O to Naples is killing sharks, dolphins, manatees  and hundreds of fish . https   twitter com rehm_tweets status 1023974774232498179","en",FALSE,NA,"15518828","everyone","1024473161570631680","1024473161570631680",2018-08-01 01:53:30,"SharonKWn",FALSE,"Sharon Kennedy Wynne, entertainment & events writer, editor at the Tampa Bay Times @TB_Times. Mom, foodie, news junkie & fan of rollercoasters and theme parks","https://pbs.twimg.com/profile_images/744440755456966656/bid9_O7Z_normal.jpg","St. Petersburg, Fla.","2008-07-21T18:36:22.000Z","Sharon Kennedy Wynne",TRUE,NA,"https://t.co/nqGE2gcEFd",15,0,11,0,0,"26b27cadf61e2e58",2889,1296,15437,84,"These photos coming out of Southwest Florida are horrific. The green slime and red tide spreading from Lake O to Naples is killing sharks, dolphins, manatees  and hundreds of fish https://t.co/vpn8An7NHr"
"6","This is so heartbreaking to see along out #Florida Coast! #welivehere. #redtide. . https   twitter com ChristieoTV status 1025542458992746496","en",FALSE,NA,"1531785438","everyone","1025554150464077826","1025554150464077826",2018-08-04 01:28:58,"KristenTurzak",FALSE,"Travel 🛫 Photography 📸 Diving 🤿Boy Mom 💙 | Views are my own & retweets are not endorsements. 👍","https://pbs.twimg.com/profile_images/1440462416978972685/UVef302G_normal.jpg","Clearwater, FL","2013-06-19T19:42:48.000Z","Kristen 🇺🇸",FALSE,"1403302257970515969",NA,0,0,1,0,0,"ab944f41faea7e2f",818,1757,30114,71,"This is so heartbreaking to see along out #Florida Coast! #welivehere. #redtide. https://t.co/nlBoYvYXAW"
"7","Cheers to a perfect beach day 🍻🏖🐬⛵️.....so thankful that the Red Tide is not at Clearwater Beach🌊🌞 @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis . https   twitter com deenibikini status 1025872133170319362 photo 1","en",FALSE,NA,"2564475435","everyone","1025872133170319362","1025872133170319362",2018-08-04 22:32:30,"deenibikini",FALSE,"","https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg","Clearwater Beach, Florida","2014-05-26T01:55:31.000Z","ilovethebeach",FALSE,NA,NA,5,2,50,0,0,"700eeb799fa55a4b",310,220,1158,5,"Cheers to a perfect beach day 🍻🏖🐬⛵️.....so thankful that the Red Tide is not at Clearwater Beach🌊🌞 @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis https://t.co/sBcAxISiQp"
"8","@deenibikini @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis I love that beach! 💕. ","en",FALSE,"2564475435","786306083966951424","everyone","1025872133170319362","1025922238808248320",2018-08-05 01:51:37,"MikePoynton",FALSE,"Tree-hugger, digital marketer, fitness freak. Love beaches, sunsets, puppies, snakes & ice cold beer.","https://pbs.twimg.com/profile_images/1574809994624647169/dIgUKJPg_normal.jpg","Costa Rica","2016-10-12T20:42:34.000Z","Mike Poynton",FALSE,NA,NA,0,1,1,0,0,"01a1a2cf47d90e95",1528,891,13655,39,"@deenibikini @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis I love that beach! 💕"
"9","@MikePoynton @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Me too😊 2 yrs ago we moved just over the Bridge so that we can be there in less than 10 minutes for a beach day or Sunsets🌅 👍🏼....loving the Beach life!🏖🌴🌊. ","en",FALSE,"786306083966951424","2564475435","everyone","1025872133170319362","1025925827656118272",2018-08-05 02:05:52,"deenibikini",FALSE,"","https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg","Clearwater Beach, Florida","2014-05-26T01:55:31.000Z","ilovethebeach",FALSE,NA,NA,0,0,1,0,0,NA,310,220,1158,5,"@MikePoynton @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Me too😊 2 yrs ago we moved just over the Bridge so that we can be there in less than 10 minutes for a beach day or Sunsets🌅 👍🏼....loving the Beach life!🏖🌴🌊"
"10","@67Tuned @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Yes, it’s beautiful here..,No red tide !!The Gulf is perfect! Come on up and enjoy this beautiful Island....there so much to do here🏖🍹🏄🏼‍♀️🏝 . https   twitter com deenibikini status 1026194295630516224 photo 1","en",FALSE,"917006823831597056","2564475435","everyone","1025872133170319362","1026194295630516224",2018-08-05 19:52:40,"deenibikini",FALSE,"","https://pbs.twimg.com/profile_images/470908304664064002/qPxqw9sP_normal.jpeg","Clearwater Beach, Florida","2014-05-26T01:55:31.000Z","ilovethebeach",FALSE,NA,NA,4,0,20,0,0,"700eeb799fa55a4b",310,220,1158,5,"@67Tuned @RealSaltLife @Pier60ClwBeach @BoatsBeachBars @FtLauderdaleSun @ronjons @OpalSandsResort @beachlifemind @DunedinBeach @mom2g08 @scottydavis Yes, it’s beautiful here..,No red tide !!The Gulf is perfect! Come on up and enjoy this beautiful Island....there so much to do here🏖🍹🏄🏼‍♀️🏝 https://t.co/8ke0mKeBNd"
