"","text","id","lang","created_at.x","possibly_sensitive","author_id","conversation_id","reply_settings","in_reply_to_user_id","created_at.y","profile_image_url","username","description","name","protected","verified","pinned_tweet_id","url","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links","reply.to.thread.no.term"
"1","#WakeupFlorida You need a solution NOW! #Florida #lakeokeechobee #toxicalgea #wastewater discharges continue. This could potentially collapse an economy! READ HERE:  #RedTideRick #visitflorida #floridaliving #LoveFL #Sarasota #clearwaterbeach #sanibel #SWFL . https   nbc 2 com story 39115697 swfl mayors unite to fight added water release into caloosahatchee river. https   twitter com ComplCoastal status 1042550240136577024 photo 1","1042550240136577024","en",2018-09-19 23:05:21,FALSE,"191081656","1042550240136577024","everyone",NA,"2010-09-15T15:26:12.000Z","https://pbs.twimg.com/profile_images/1420457009699303426/CJphqxSk_normal.jpg","Umightwant2know","""Those who can make you believe absurdities, can make you commit attrocities."" ~Voltaire","Maya N",FALSE,FALSE,NA,NA,"Swiss Native in Sarasota, FL",0,0,0,0,0,890,596,11116,29,"#WakeupFlorida You need a solution NOW! #Florida #lakeokeechobee #toxicalgea #wastewater discharges continue. This could potentially collapse an economy! READ HERE: https://t.co/v6kQBFYrBi #RedTideRick #visitflorida #floridaliving #LoveFL #Sarasota #clearwaterbeach #sanibel #SWFL https://t.co/ZnY6mjXsIi",FALSE
"2","#Florida @MyFWC wants you to believe that #toxicalgea &amp; #redtide is all natural. So that #bigsugar and other industries can continue to dump high concentrated #wastewater into #lakeokeechobee which discharges it into #rivers and #ocean. #corruption #RedTideRick #FLGov #Sarasota . https   twitter com ComplCoastal status 1045030086938939393 photo 1","1045030086938939393","en",2018-09-26 19:19:23,FALSE,"191081656","1045030086938939393","everyone",NA,"2010-09-15T15:26:12.000Z","https://pbs.twimg.com/profile_images/1420457009699303426/CJphqxSk_normal.jpg","Umightwant2know","""Those who can make you believe absurdities, can make you commit attrocities."" ~Voltaire","Maya N",FALSE,FALSE,NA,NA,"Swiss Native in Sarasota, FL",0,0,0,0,0,890,596,11116,29,"#Florida @MyFWC wants you to believe that #toxicalgea &amp; #redtide is all natural. So that #bigsugar and other industries can continue to dump high concentrated #wastewater into #lakeokeechobee which discharges it into #rivers and #ocean. #corruption #RedTideRick #FLGov #Sarasota https://t.co/kt3TmOqDM1",FALSE
"3","@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator.... ","1053814420814598146","en",2018-10-21 01:05:11,FALSE,"959459507813408768","1053796506166276096","everyone","847927252444688384","2018-02-02T16:12:27.000Z","https://pbs.twimg.com/profile_images/1097294553638465536/ol112OUp_normal.png","ToughGrandpa","De-occultist, white hat, teacher","ToughGrandpa",FALSE,FALSE,NA,NA,"Parts Unknown",0,0,0,0,0,150,402,3487,0,"@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator...",FALSE
"4","It is just 900,000 gallons of wastewater being dumped into Sarasota Bay, not a big deal ..................... SMH! . https   www facebook com TheUncensoredScoopNews posts 10155960114761592","1076533839055515650","en",2018-12-22 17:44:02,FALSE,"747552338","1076533839055515650","everyone",NA,"2012-08-09T16:54:44.000Z","https://pbs.twimg.com/profile_images/1199787023508365318/sFxlsK-T_normal.jpg","TheSuncoastNews","Covering local Suncoast news and some national news. Alumna @UofMaryland, Vet @DepNavy. Bringing back Truth In Media!","Francesco Abbruzzino - The Scoop",FALSE,FALSE,NA,"https://t.co/ZhRKxESlva","Sarasota, Florida",0,0,0,0,0,1106,322,152267,54,"It is just 900,000 gallons of wastewater being dumped into Sarasota Bay, not a big deal ..................... SMH! https://t.co/yuhcMo3lLw",FALSE
"5","Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
. http   www mysuncoast com 2018 12 26 though water now safe sarasota bay after sewage spill some residents still very concerned","1078128417873317888","en",2018-12-27 03:20:20,FALSE,"9581122","1078128417873317888","everyone",NA,"2007-10-21T15:57:27.000Z","https://pbs.twimg.com/profile_images/1012040604619034624/Rcn4ySrr_normal.jpg","mysuncoast","ABC7 is the news leader in Sarasota/Manatee counties. News tip? 941-923-6397 or news@mysuncoast.com. Share pics/vids with us thru https://t.co/w4B9r5SLV1","ABC7 Sarasota",FALSE,TRUE,NA,"http://t.co/nQUeAxZ5Ke","Sarasota, Florida",1,0,0,0,0,67072,855,89862,690,"Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
https://t.co/wl25WKa9Cp",FALSE
"6","RT @mysuncoast: Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
. http   www mysuncoast com 2018 12 26 though water now safe sarasota bay after sewage spill some residents still very concerned","1078977256767262721","en",2018-12-29 11:33:19,FALSE,"796042439362543616","1078977256767262721","everyone",NA,"2016-11-08T17:31:22.000Z","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","JanGrandma71216","Democraps are corrupt","Jan Grand",FALSE,FALSE,NA,NA,"United States",1,0,0,0,0,97,190,121360,12,"RT @mysuncoast: Nearly a million gallons of untreated sewage and wastewater puts a big scare into the Suncoast.
https://t.co/wl25WKa9Cp",FALSE
"7","How much is 800,000,000 gal? That’s 4 square miles one foot deep in SHlT!  How many dolphins washed up on your beaches and you don’t know why?  Must have been Lake O’s fault ... or you just thought no one would notice?
. https   www heraldtribune com news 20190320 sarasota county faces lawsuit over 800 million gallons of dumped processed wastewater","1110010544067698688","en",2019-03-25 02:48:31,FALSE,"1018255230901936129","1110010544067698688","everyone",NA,"2018-07-14T22:05:40.000Z","https://pbs.twimg.com/profile_images/1461306589567201287/Y6nyz72Z_normal.jpg","sookiesonya","like to share news Hobbies gardening, home renovating, dancing, artist, authentic happily, laugh ,strength, determination","sookiesonya",FALSE,FALSE,"1106352399797706752",NA,NA,0,0,0,0,0,120,354,10692,0,"How much is 800,000,000 gal? That’s 4 square miles one foot deep in SHlT!  How many dolphins washed up on your beaches and you don’t know why?  Must have been Lake O’s fault ... or you just thought no one would notice?
https://t.co/1KBPVt3vsJ",FALSE
"8","When will Lake Hiawatha with its illegal pumping and golf turf chemicals have basic environment laws enforced on wetlands and waterways?

Preferential government pollution is a bad precedent.

#mnleg
. http   www startribune com lake nokomis shoreline improvements get necessary approval 508875052","1120349726250078211","en",2019-04-22 15:32:44,FALSE,"2338925742","1120349726250078211","everyone",NA,"2014-02-11T19:59:23.000Z","https://pbs.twimg.com/profile_images/948190922596147200/U6Cv_wxW_normal.jpg","MNsureDoge","MN Deeeep State","MNsure Doge",FALSE,FALSE,NA,NA,"Deep in the state",0,0,0,0,0,72,0,4797,2,"When will Lake Hiawatha with its illegal pumping and golf turf chemicals have basic environment laws enforced on wetlands and waterways?

Preferential government pollution is a bad precedent.

#mnleg
https://t.co/0l5Vp9jwNH",FALSE
"9","Another wastewater spill in Sarasota County. According to the Florida Department of Environmental Protection, a valve on a reclaimed water line failed at about noon at Bird Bay Circle and Bird Bay Drive
@SNNTV
MORE:. https   www snntv com story 40811562 another wastewater spill in sarasota county","1152220295765397504","en",2019-07-19 14:15:00,FALSE,"324496098","1152220295765397504","everyone",NA,"2011-06-26T18:35:28.000Z","https://pbs.twimg.com/profile_images/1438922910891057153/5ja7SLWj_normal.jpg","SNNTV","Your local news leader
News, Weather, & Sports in Sarasota, Manatee, Charlotte and DeSoto counties
Have a news tip? Call (941)361-4600 or email news@snntv.com","SNN",FALSE,TRUE,NA,"https://t.co/4u07GjR48n","Sarasota, FL",0,0,1,0,0,13819,897,54165,208,"Another wastewater spill in Sarasota County. According to the Florida Department of Environmental Protection, a valve on a reclaimed water line failed at about noon at Bird Bay Circle and Bird Bay Drive
@SNNTV
MORE:https://t.co/YUNO0xakY4",FALSE
"10","If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
. https   foe org news sarasota community members experts speak proposed offshore fish farm","1225252933165559808","en",2020-02-06 03:00:38,FALSE,"923281979986063362","1225252933165559808","everyone",NA,"2017-10-25T20:15:52.000Z","https://pbs.twimg.com/profile_images/1090084983312658434/bxwUXpdv_normal.jpg","seavoicenews","We love the ocean. Trying to protect it one story at a time.","Sea Voice News",FALSE,FALSE,NA,"https://t.co/2bPwYKcgFr",NA,24,2,20,1,0,25559,20735,2672,154,"If this is to happen, 20,000 farmed fish will live in a flow-through net pen, discharging waste, excess feed and chemicals used into the Gulf of Mexico.  
https://t.co/6zyCvtjbrx",FALSE
