"","text","in_reply_to_user_id","possibly_sensitive","created_at.x","reply_settings","conversation_id","author_id","lang","id","protected","profile_image_url","verified","username","created_at.y","name","description","location","pinned_tweet_id","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","@boilerblondie Hi Brittany. Pasco County Customer Service can help: 727-847-2411. If you are asking about the red tide issue, we do not have any reports of it near Pasco but we are continuing to monitor the issue.. ","252723880",FALSE,2018-08-16 20:38:29,"everyone","1030183025643057152","47679218","en","1030192091220127746",FALSE,"https://pbs.twimg.com/profile_images/1211688295081623552/IKmUhOWo_normal.jpg",FALSE,"Pasco_FL_OEM","2009-06-16T17:12:49.000Z","Pasco County Emergency Management","Official Twitter account for Pasco County Emergency Management - a team of professionals dedicated to sustaining disaster resiliency. Dial 911 for emergencies.","New Port Richey, FL",NA,"https://t.co/4Q71rZlGRM",0,1,1,0,0,6484,404,1818,232,NA,"@boilerblondie Hi Brittany. Pasco County Customer Service can help: 727-847-2411. If you are asking about the red tide issue, we do not have any reports of it near Pasco but we are continuing to monitor the issue.",FALSE
"2","Shrimpers in Pasco County struggling as red tide devastates fishing industry . https   www wfla com news pasco county shrimpers in pasco county struggling as red tide devastates fishing industry 1386205140",NA,FALSE,2018-08-21 21:50:12,"everyone","1032022080781467648","23820899","en","1032022080781467648",FALSE,"https://pbs.twimg.com/profile_images/1539812844660719616/2FlxM4l8_normal.jpg",TRUE,"WFLA","2009-03-11T20:14:10.000Z","WFLA NEWS","WFLA News Channel 8 is a news leader in Tampa Bay.","Tampa, FL",NA,"https://t.co/qPxwyiszHG",0,1,0,1,0,207100,2288,234805,1726,NA,"Shrimpers in Pasco County struggling as red tide devastates fishing industry https://t.co/puqKJdn0sa",FALSE
"3","Pasco County shrimpers worry about red tide that's already cutting their incomes.  @WFLA . https   www wfla com news pasco county pasco shrimpers incomes cut by red tide 1386641118",NA,FALSE,2018-08-22 00:42:42,"everyone","1032065488883539968","621476215","en","1032065488883539968",FALSE,"https://pbs.twimg.com/profile_images/1601200430729641985/3B9zbVxH_normal.jpg",FALSE,"TeslaBernard","2012-06-29T01:47:28.000Z","Peter Bernard🇺🇦","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis.","Clearwater, Florida",NA,NA,0,0,0,0,0,3394,395,12717,122,NA,"Pasco County shrimpers worry about red tide that's already cutting their incomes.  @WFLA https://t.co/MykTzynsrh",FALSE
"4","Pasco shrimpers' incomes cut by red tide . https   www wfla com news pasco county pasco shrimpers incomes cut by red tide 1386641118",NA,FALSE,2018-08-22 16:01:43,"everyone","1032296767637864448","621476215","en","1032296767637864448",FALSE,"https://pbs.twimg.com/profile_images/1601200430729641985/3B9zbVxH_normal.jpg",FALSE,"TeslaBernard","2012-06-29T01:47:28.000Z","Peter Bernard🇺🇦","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis.","Clearwater, Florida",NA,NA,0,0,0,0,0,3394,395,12717,122,NA,"Pasco shrimpers' incomes cut by red tide https://t.co/MykTzynsrh",FALSE
"5","Pasco shrimpers' incomes cut by red tide. Bait shops not buying.  . https   www wfla com news pasco county pasco shrimpers incomes cut by red tide 1386641118",NA,FALSE,2018-08-22 16:19:21,"everyone","1032301205698093057","621476215","en","1032301205698093057",FALSE,"https://pbs.twimg.com/profile_images/1601200430729641985/3B9zbVxH_normal.jpg",FALSE,"TeslaBernard","2012-06-29T01:47:28.000Z","Peter Bernard🇺🇦","Retired. Former Television Reporter, Meteorologist, Drone Pilot for News Channel 8 in Tampa, FL. Former Tesla Advisor. Plays Pickleball and Tennis.","Clearwater, Florida",NA,NA,0,0,1,0,0,3394,395,12717,122,NA,"Pasco shrimpers' incomes cut by red tide. Bait shops not buying.  https://t.co/MykTzynsrh",FALSE
"6","#Redtide 🚨  . https   www wfla com news pasco county shrimpers in pasco county struggling as red tide devastates fishing industry 1386205140",NA,FALSE,2018-08-23 11:58:17,"everyone","1032597893348241409","554029535","und","1032597893348241409",FALSE,"https://pbs.twimg.com/profile_images/779401699710513153/wdBG8rb9_normal.jpg",FALSE,"leahabrahams1","2012-04-15T03:17:25.000Z","Sophie Ann","An island girl that loves desserts & her bed. Trying to accomplish my dreams; follower of God and mommy to 2 four legged children.","Jamaica",NA,NA,0,0,0,0,0,153,174,8907,14,NA,"#Redtide 🚨  https://t.co/WhZL1Rt2Av",FALSE
"7","Historic home burns in Pasco county, the latest on red tide and where to vote tomorrow in the Dove Daily Update

#DoveDailyUpdate #stilthouse #Pasco #redtide #FWC #Mondaymotivation . https   twitter com 1055WDUV status 1034002598909628416 photo 1",NA,FALSE,2018-08-27 09:00:05,"everyone","1034002598909628416","608235166","en","1034002598909628416",FALSE,"https://pbs.twimg.com/profile_images/1608095098629128192/gFQPV-Kp_normal.jpg",FALSE,"1055TheDove","2012-06-14T15:23:54.000Z","105.5 The Dove","105.5 WDUV The Dove plays all of Tampa Bay's Lite Favorites! Stream anytime online!","Tampa Bay, FL",NA,"https://t.co/i1RO8qiOD7",0,0,0,0,0,2769,4493,27002,64,NA,"Historic home burns in Pasco county, the latest on red tide and where to vote tomorrow in the Dove Daily Update

#DoveDailyUpdate #stilthouse #Pasco #redtide #FWC #Mondaymotivation https://t.co/VPCofLMAEL",FALSE
"8","@PascoSheriff How is the Red Tide situation up in Pasco County now???. ","43967741",FALSE,2018-09-12 19:15:26,"everyone","1039955662606934020","23377626","en","1039955662606934020",FALSE,"https://pbs.twimg.com/profile_images/1268886567860527104/8fSK2Hq7_normal.jpg",FALSE,"PattieAnn5","2009-03-09T00:34:24.000Z","Pattie Ann 💙🐕‍🦺💙","Fmr HS Sp Ed Teacher, Mother of 2, 4 G-sons (1 set of twins), PO daughter, on a beautiful lake in N MI, 💙 LEOs, 💙K9s, 💙Police Horses, #OPLive #RESPECT","Michigan, USA",NA,NA,0,0,0,0,0,1339,3730,26936,5,NA,"@PascoSheriff How is the Red Tide situation up in Pasco County now???",FALSE
"9","Latest red tide map shows bloom stretches along length of Pinellas County . https   on wtsp com 2xkIZqU",NA,FALSE,2018-09-14 21:35:37,"everyone","1040715718705258497","16743886","en","1040715718705258497",FALSE,"https://pbs.twimg.com/profile_images/1257694617690046467/ISKyPJi0_normal.jpg",TRUE,"10TampaBay","2008-10-14T19:14:27.000Z","10 Tampa Bay","10 Tampa Bay (CBS, TEGNA) covers news in Tampa, St. Petersburg, Clearwater & Sarasota.  News tips? 📱 727-577-1010, 📧 desk@wtsp.com or reply using @10TampaBay","Tampa, Florida",NA,"https://t.co/rHVdIDVNLL",3,0,0,0,0,180622,11943,315193,1727,NA,"Latest red tide map shows bloom stretches along length of Pinellas County https://t.co/Y6e6EFFgQr",FALSE
"10","RT @10NewsWTSP: Latest red tide map shows bloom stretches along length of Pinellas County . https   on wtsp com 2xkIZqU",NA,FALSE,2018-09-14 22:22:28,"everyone","1040727508239491072","2424745219","en","1040727508239491072",FALSE,"https://pbs.twimg.com/profile_images/1037607116004057088/EqtmGFtF_normal.jpg",FALSE,"gatoraddie","2014-04-03T03:35:48.000Z","Addie Javed, PWD","#PublicWorks visionary, former #City/#CountyEngineer, #PastPresident @FSASCE, Nationally Recognized @ENR_SE @FCCManagers & @csENGINEERmag, #Spartan #Gator","Tampa Bay",NA,NA,3,0,0,0,0,815,4980,5832,42,NA,"RT @10NewsWTSP: Latest red tide map shows bloom stretches along length of Pinellas County https://t.co/Y6e6EFFgQr",FALSE
