"","text","possibly_sensitive","author_id","created_at.x","lang","id","reply_settings","conversation_id","url","name","profile_image_url","verified","location","protected","description","username","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","@Kansei13Kansei We do that daily in the U.S. too. =\ I live in Tampa Bay, and we've been dealing with a huge release of raw sewage.    Nicaragua however has almost 90% of its energy coming from renewable resources already. We definitely don't, but should.. http   wusfnews wusf usf edu post st pete upgrades should keep sewage out tampa bay",FALSE,"485490353",2018-01-10 20:18:16,"en","951186448182587392","everyone","950679284464668673","https://t.co/5X2rm6kDXB","Six","https://pbs.twimg.com/profile_images/1083150828096110592/oRJOOdYa_normal.jpg",FALSE,"Resisting in Tampa Bay!",FALSE,"Resisting🌟More American Than 🍎 🥧Insatiably Curious📘1st Nation🪶GA🍑SC🌴France🍷KY🏇LA⚜️OH🛩️FL🏖️ Πολλά Idiomas Spoken Ici🦋♤ ❤️ = I see you","SixieGames","2012-02-07T07:59:53.000Z",0,1,1,0,0,3596,3431,130950,9,"713377689743335424","1543622518522658818",NA,"@Kansei13Kansei We do that daily in the U.S. too. =\ I live in Tampa Bay, and we've been dealing with a huge release of raw sewage.  https://t.co/pTZGfJuJbV  Nicaragua however has almost 90% of its energy coming from renewable resources already. We definitely don't, but should.",FALSE
"2","The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. . http   www tampabay com news environment Pumping sewage underground is illegal St Pete wants it legal _164386162",FALSE,"14304462",2018-01-14 17:32:50,"en","952594368799625222","everyone","952594368799625222","https://t.co/cGIDc1tNIf","Tampa Bay Times","https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg",TRUE,"St. Petersburg, Florida",FALSE,"Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN","TB_Times","2008-04-04T17:14:50.000Z",4,2,7,0,0,319684,5489,267635,3122,NA,"1593648689536413696",NA,"The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE",FALSE
"3","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. . http   www tampabay com news environment Pumping sewage underground is illegal St Pete wants it legal _164386162",FALSE,"19447498",2018-01-14 17:35:27,"en","952595028676923392","everyone","952595028676923392","https://t.co/XH3kF2SC7I","Tymber Dalton / Lesli Richardson","https://pbs.twimg.com/profile_images/1402598114536656897/aPtK4gM3_normal.jpg",FALSE,"Dagnabbit, Florida!",FALSE,"(She/Her) Snarky, mostly harmless author, geek, Pagan witch, Oxford comma ♥️er. Gives good brain. Part-time shield maiden in training. Spoonie. #AuDHD","TymberDalton","2009-01-24T14:20:40.000Z",4,0,0,0,0,4509,5002,215343,236,NA,"1589806881023098884",NA,"RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE",FALSE
"4","@TB_Times Jfc what a terrible idea.. ",FALSE,"742085897227784192",2018-01-14 17:35:37,"en","952595069441363968","everyone","952594368799625222",NA,"Veronica","https://pbs.twimg.com/profile_images/1326057122392629248/bZJ_3XYZ_normal.jpg",FALSE,"Tampa, FL",FALSE,"Unapologetic Feminist, Elder Millennial","V_Newt84","2016-06-12T20:07:19.000Z",0,0,1,0,0,218,93,7118,0,"14304462",NA,NA,"@TB_Times Jfc what a terrible idea.",TRUE
"5","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. . http   www tampabay com news environment Pumping sewage underground is illegal St Pete wants it legal _164386162",FALSE,"14297858",2018-01-14 17:37:56,"en","952595653070290950","everyone","952595653070290950",NA,"Liz C-137","https://pbs.twimg.com/profile_images/1573774140024279041/7tNxCt8e_normal.jpg",FALSE,"St Petersburg, FL",FALSE,"∞ ♡ oscillating mind roaming home ♡ ∞ ☽☾  #mentalhealth, #metaphysics & #mysticism 🎧🎶🎨📚","lizafer","2008-04-03T23:36:53.000Z",4,0,0,0,0,315,709,14662,13,NA,"1537275322768535552",NA,"RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE",FALSE
"6","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. . http   www tampabay com news environment Pumping sewage underground is illegal St Pete wants it legal _164386162",FALSE,"820187383",2018-01-14 17:46:05,"en","952597703506255873","everyone","952597703506255873","https://t.co/PbkpXLAe8h","💙🇺🇦💙𝓑𝓻𝓲𝓽𝓹🎯𝓹𝓽𝓪𝓻𝓽𝓼 💙🇺🇦💙","https://pbs.twimg.com/profile_images/1587600212423573506/1rhAyg0r_normal.jpg",FALSE,"House of Eclecstacy!",FALSE,"❝Ah, it stinks, it sucks; it's anthropologically unjust.❞ ~ Jarvis Cocker
💕👫 she/her
❈ Dems welcome. No GOP troglodytes. Shoo. ❈
#BLM @britpoptarts@mas.to","Britpoptarts","2012-09-12T19:12:14.000Z",4,0,0,0,0,8100,8892,1355383,215,NA,"892454645259481088",NA,"RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE",FALSE
"7","@TB_Times It must be the cheapest way to deal with the problem. Which will not correctly deal with the problem, but will delay having to make politically hard decision.. ",FALSE,"28585935",2018-01-14 17:56:31,"en","952600328779780101","everyone","952594368799625222",NA,"Mark McC","https://pbs.twimg.com/profile_images/993152403322130433/tIOBHARc_normal.jpg",FALSE,"USA",FALSE,"","Marcusmac99","2009-04-03T15:32:51.000Z",0,0,0,0,0,76,107,12970,0,"14304462",NA,NA,"@TB_Times It must be the cheapest way to deal with the problem. Which will not correctly deal with the problem, but will delay having to make politically hard decision.",TRUE
"8","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. . http   www tampabay com news environment Pumping sewage underground is illegal St Pete wants it legal _164386162",FALSE,"329745459",2018-01-15 15:20:47,"en","952923526343905280","everyone","952923526343905280","https://t.co/u2xZJsCvlp","Justine Griffin","https://pbs.twimg.com/profile_images/1478031891420876802/ifqL0NNs_normal.jpg",TRUE,"St Petersburg, FL",FALSE,"@TB_Times Economy & Growth Editor. Equestrian. Egg donor. Mother of 🐎🐕🐓. Tips? jgriffin@tampabay.com","SunBizGriffin","2011-07-05T15:20:23.000Z",4,0,0,0,0,3553,1998,34730,235,NA,"1477775982820003847",NA,"RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE",FALSE
"9","St Petersburg is experiencing massive power outages and the bay is starting to smell, massive sewage spill possible?. ",FALSE,"1265131442",2018-01-29 00:01:58,"en","957765727615889409","everyone","957765727615889409",NA,"Badger 1848 🇺🇸🇺🇦","https://pbs.twimg.com/profile_images/1267485026851184641/t8-kIBcD_normal.jpg",FALSE,"Tampa, FL",FALSE,"","LacDuMichigan","2013-03-13T18:29:17.000Z",0,0,0,0,0,191,294,7024,4,NA,"765283381143822337","dc62519fda13b4ec","St Petersburg is experiencing massive power outages and the bay is starting to smell, massive sewage spill possible?",FALSE
"10","So what exactly defines one as a shithole country....""million gallons of partially treated sewage had been dumped into the waters of Tampa Bay"" - St. Petersburg’s latest sewage mystery is quite colorful . https   www tampabay com news environment St Petersburg s latest sewage mystery is quite colorful_166130332",FALSE,"3438519137",2018-03-14 15:18:49,"en","973941527549566976","everyone","973941527549566976","https://t.co/sxy3Ykozk3","the return of Shooter","https://pbs.twimg.com/profile_images/1352420717237776390/wVuGmXiH_normal.jpg",FALSE,"crazytown",FALSE,"WE THE THUNDER ⚡️ a TB Lightning Podcast Host & Producer 🧮 Occasional animator and content creator 🪧
instagram: @shooteyshoots","shooteyshoots","2015-08-24T22:08:33.000Z",0,0,0,0,0,1020,983,25875,33,NA,"1583135896853176321",NA,"So what exactly defines one as a shithole country....""million gallons of partially treated sewage had been dumped into the waters of Tampa Bay"" - St. Petersburg’s latest sewage mystery is quite colorful https://t.co/MwsbpIflMZ",FALSE
