"","text","possibly_sensitive","author_id","created_at.x","conversation_id","reply_settings","lang","id","in_reply_to_user_id","username","description","location","verified","created_at.y","url","profile_image_url","name","protected","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","Visiting family in Helsinki, only to find out the waters are infested with blue-green algae due to Russian sewage. Not clear if they're referring to fertilizer runoff from St Petersburg or the Summit that just took place here.. ",FALSE,"827682809900888064",2018-07-21 22:16:25,"1020794653908533248","everyone","en","1020794653908533248",NA,"HenrikTiemroth","SW1 frequenter. Alum @UniofOxford and @TuftsUniversity. Views my own.","Kensington, London",FALSE,"2017-02-04T00:58:54.000Z","https://t.co/c3AsaqCPum","https://pbs.twimg.com/profile_images/1413122772847452165/C0lPm1b__normal.jpg","Henrik Tiemroth",FALSE,NA,0,0,3,0,0,508,677,2300,3,NA,"Visiting family in Helsinki, only to find out the waters are infested with blue-green algae due to Russian sewage. Not clear if they're referring to fertilizer runoff from St Petersburg or the Summit that just took place here.",FALSE
"2","@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗. ",FALSE,"2414913756",2018-08-04 00:55:11,"1025503384420462597","everyone","en","1025545650224680961","988060225","LeChatNoire4","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s","Florida",FALSE,"2014-03-27T21:29:48.000Z",NA,"https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg","Le Chat Biden Democrat",FALSE,"1222268511134896129",0,0,0,0,0,14255,13707,1103614,336,NA,"@lpieinfl Ooooh - hate if it happens but if a more largely populated are like Tampa St Pete gets hit - so many more will get angry. Of course you don’t have the Blue Green algae making the situation so much worse:. Hugs 🤗",FALSE
"3","@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",FALSE,"221396657",2018-08-09 21:05:30,"1027639515261952000","everyone","en","1027662175069003777","487297085","dereck72vapes","Twitter much better after Elon bought it","sunny florida",FALSE,"2010-11-30T15:17:32.000Z",NA,"https://pbs.twimg.com/profile_images/451155265593696256/7ymkTcKp_normal.jpeg","UltraMAGAdereck72",FALSE,"1594511084098289664",2,0,3,0,0,2453,2053,21498,46,NA,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!",FALSE
"4","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",FALSE,"918733847579283456",2018-08-10 07:27:29,"1027818703935692800","everyone","en","1027818703935692800",NA,"MemeBurk","RetiredSci.Teacher;Progrsve;#BLM MEdCounseling;GreenPeace;#RESIST WildlifeHabitatCreator; #IAmAntifa #ClimateCrisisIsHere #ProtectLivingThings#BidenHarris","Texas, USA, World, Universe",FALSE,"2017-10-13T07:03:13.000Z",NA,"https://pbs.twimg.com/profile_images/1370560869227192322/QRoSQpWR_normal.jpg","Meme Burk🌎🌊🇺🇸💙🇺🇦😷",FALSE,NA,2,0,0,0,0,8635,8661,658012,29,NA,"RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!",FALSE
"5","RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",FALSE,"2796475822",2018-08-10 14:10:39,"1027920164023611392","everyone","en","1027920164023611392",NA,"downey1950_w","Retired.Gardener,reader,tv freak,swimmer,counselor,friend, #RESIST NO DMs PLEASE","New York, USA",FALSE,"2014-09-30T21:30:11.000Z",NA,"https://pbs.twimg.com/profile_images/1001622425325522945/GLgGU0-j_normal.jpg","sydown",FALSE,"1009747580023201792",2,0,0,0,0,2850,2947,223225,0,NA,"RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!",FALSE
"6","@ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... . https   twitter com CraftivistG status 1036440365950291968 photo 1",FALSE,"1009193033856901125",2018-09-03 02:26:54,"1036323372999823360","everyone","en","1036440365950291968","306389855","CraftivistG","Postcarding Nasty Woman. Resist every day. Pride without Action is pointless. #HonorThemWithAction.","Wilton Manors, FL",FALSE,"2018-06-19T21:55:43.000Z",NA,"https://pbs.twimg.com/profile_images/1009195330406113280/CXLG_2wt_normal.jpg","CraftivistGrrl",FALSE,NA,1,0,3,0,0,368,361,1377,2,NA,"@ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... https://t.co/6W6xTUgU2P",FALSE
"7","RT @CraftivistG: @ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... . https   twitter com CraftivistG status 1036440365950291968 photo 1",FALSE,"1069413204",2018-09-04 10:22:48,"1036922519180247040","everyone","en","1036922519180247040",NA,"MilitantDucky","Short-tempered geek, misanthropic feminist, semi-pro gerbil herder. Theater-doing bio major, still figuring out what I want to be when I grow up.","Richmond, VA",FALSE,"2013-01-07T23:13:10.000Z",NA,"https://pbs.twimg.com/profile_images/745471144870895617/dGTEZ4Ni_normal.jpg","MilitantRubberDucky",FALSE,NA,1,0,0,0,0,417,1405,9334,12,NA,"RT @CraftivistG: @ScottforFlorida Or they could visit Ft Myers Beach (no! Closed due to Red Tide), or St Pete (darn also closed from red tide), or Martin Counties beaches (uccchhh also closed due to blue-green algae). 
Too bad #RedTideRick &amp; his corruption have destroyed FL’s coastlines... https://t.co/6W6xTUgU2P",FALSE
"8","Excellent read on the decimation of our marine life on FL Gulf Coast. This is from Treasure Island. #redtiderick #diasterinflorida #cleanwater #toxicalgae #cyanobacteria #voteblue #notolakeo #marinelifemurder

. http   treasurecoast fl newsmemory com publink php",FALSE,"1043959167101358080",2018-09-26 19:41:41,"1045035701069381632","everyone","en","1045035701069381632",NA,"Eyearwood3","Educator - advocate for children and all humanity, 
working to see a better world. 
Using music, art, poetry, history
Teaching empathy, kindness, compassion.",NA,FALSE,"2018-09-23T20:23:56.000Z","https://t.co/UxTeI0UPQT","https://pbs.twimg.com/profile_images/1325477904185167875/NoG0IBZU_normal.jpg","Eve Yearwood",FALSE,"1558896859170603009",0,0,1,0,0,691,1643,20240,3,NA,"Excellent read on the decimation of our marine life on FL Gulf Coast. This is from Treasure Island. #redtiderick #diasterinflorida #cleanwater #toxicalgae #cyanobacteria #voteblue #notolakeo #marinelifemurder

https://t.co/AxTlOnpliu",FALSE
"9","FL: Lake residents frustrated by blue-green algae in St. Pete . https   www fox13news com news lake residents frustrated by algae in st pete",FALSE,"63519179",2019-01-10 00:14:57,"1083155195566219265","everyone","en","1083155195566219265",NA,"canetwork","Primary source for condo & HOA news stories from around the world","Michigan",FALSE,"2009-08-06T19:39:16.000Z","http://t.co/iuKCNjQTKk","https://pbs.twimg.com/profile_images/1022653074509246464/CjLYUJWu_normal.jpg","Community Assns Net",FALSE,NA,0,0,1,0,0,2516,931,33009,48,NA,"FL: Lake residents frustrated by blue-green algae in St. Pete https://t.co/1wMqYioljV",FALSE
"10","Lake residents frustrated by blue-green algae in St. Pete...
 . https   www fox13news com news lake residents frustrated by algae in st pete. https   twitter com LocalVideoFLA status 1083395801991340033 photo 1",FALSE,"1030662556141142016",2019-01-10 16:11:02,"1083395801991340033","everyone","en","1083395801991340033",NA,"LocalVideoFLA","Helping local businesses grow and prosper through the use of video and digital marketing...  https://t.co/E4E6Xdn2q5","Tampa, FL",FALSE,"2018-08-18T03:47:56.000Z","https://t.co/355AvoumDi","https://pbs.twimg.com/profile_images/1313932940129247240/5ihFw8U9_normal.jpg","Local Video Marketing",FALSE,NA,0,0,0,0,0,161,138,7682,1,NA,"Lake residents frustrated by blue-green algae in St. Pete...
https://t.co/zD9x3wTDxI https://t.co/wN7HlCiojv",FALSE
