"","text","lang","possibly_sensitive","in_reply_to_user_id","author_id","reply_settings","conversation_id","id","created_at.x","username","protected","description","profile_image_url","location","pinned_tweet_id","created_at.y","name","verified","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","text_with_display_links"
"1","@marcorubio Instead of quoting Bible verses &amp; talking about what is wrong in our country, can you actually take ACTION for your constituents? Climate change causing worse storms &amp; flooding, pollution causing toxic green algae in our water are just 2 examples of @GOP hurting FLORIDA.. ","en",FALSE,"15745368","838146957470285830","everyone","1021713093632684032","1021746770123141120",2018-07-24 13:19:47,"ellyne711",FALSE,"Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Tampa, FL","1149478792139685888","2017-03-04T21:59:41.000Z","Ejlm",FALSE,0,0,0,0,0,"dc62519fda13b4ec",149,1049,16538,6,NA,"@marcorubio Instead of quoting Bible verses &amp; talking about what is wrong in our country, can you actually take ACTION for your constituents? Climate change causing worse storms &amp; flooding, pollution causing toxic green algae in our water are just 2 examples of @GOP hurting FLORIDA."
"2","Blue-green algae now covers up to 90 percent of Lake Okeechobee😡 Anyone have a solution to stop the pollution and provide the funding to do so❓😡 . ","en",FALSE,NA,"864455966435180545","everyone","1031526742576558085","1031526742576558085",2018-08-20 13:01:54,"EdwinShaffer7",FALSE,"Retired Adj. Professor, Nuclear Medicine PET/CT, Grandpa, Bass 🎣 Master Florida 🐊 Atlanta⚾️Braves","https://pbs.twimg.com/profile_images/1153776906820624385/sYkGVyaj_normal.jpg","Valrico, FL",NA,"2017-05-16T12:22:18.000Z","Edwin Shaffer",FALSE,0,0,1,0,0,"76d195c1204e61b2",3283,4863,17867,1,NA,"Blue-green algae now covers up to 90 percent of Lake Okeechobee😡 Anyone have a solution to stop the pollution and provide the funding to do so❓😡 https://t.co/VzoblQVBNo"
"3","@marcorubio Marco, as governor of FLORIDA, @FLGovScott seriously underfunded our public schools. As a result, we are now ranked 45 out of 50 and have a severe teacher shortage. He also cut funding for water management, &amp; FLORIDA now has toxic green algae. Vote for @SenBillNelson. ","en",FALSE,"15745368","838146957470285830","everyone","1034612200487485440","1035731965150998528",2018-09-01 03:31:58,"ellyne711",FALSE,"Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Tampa, FL","1149478792139685888","2017-03-04T21:59:41.000Z","Ejlm",FALSE,0,0,0,0,0,"dc62519fda13b4ec",149,1049,16538,6,NA,"@marcorubio Marco, as governor of FLORIDA, @FLGovScott seriously underfunded our public schools. As a result, we are now ranked 45 out of 50 and have a severe teacher shortage. He also cut funding for water management, &amp; FLORIDA now has toxic green algae. Vote for @SenBillNelson"
"4",".@SenBillNelson at @AndrewGillum rally attacks his GOP opponent in Senate race, @ScottforFlorida, over FL’s environmental issues, blue-green algae and red tide. @FoxNewsMMR . https   twitter com AllieRaffa status 1054416487912484864 video 1","en",FALSE,NA,"585350900","everyone","1054416487912484864","1054416487912484864",2018-10-22 16:57:35,"AllieRaffa",FALSE,"White House Correspondent @NBCNews @MSNBC @NBCNewsNow 🦚 | South Florida Native | Stops in DC, Tampa, 2020 Campaign Trail & San Diego | allie.raffa@nbcuni.com","https://pbs.twimg.com/profile_images/1594065866458644483/tK-1nG0q_normal.jpg","Washington, DC","1600948482197655552","2012-05-20T04:19:59.000Z","Allie Raffa",TRUE,0,0,1,0,0,"dc62519fda13b4ec",8790,7178,4155,126,"https://t.co/d7vSDchSnu",".@SenBillNelson at @AndrewGillum rally attacks his GOP opponent in Senate race, @ScottforFlorida, over FL’s environmental issues, blue-green algae and red tide. @FoxNewsMMR https://t.co/qi2Wmpp4U4"
"5","@GregWeisheipl @FoxNews @AndrewGillum So you disbelieve 97% of scientists on climate change? Clean water, air &amp; chemical regulations are being rolled back. In Florida, they took a lot of money from the water management board. we now have blue green algae in large part of the state which impacts our health &amp; tourism.. ","en",FALSE,"911132971","838146957470285830","everyone","1054506839247855616","1054863363887562753",2018-10-23 22:33:19,"ellyne711",FALSE,"Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Tampa, FL","1149478792139685888","2017-03-04T21:59:41.000Z","Ejlm",FALSE,0,1,0,0,0,"dc62519fda13b4ec",149,1049,16538,6,NA,"@GregWeisheipl @FoxNews @AndrewGillum So you disbelieve 97% of scientists on climate change? Clean water, air &amp; chemical regulations are being rolled back. In Florida, they took a lot of money from the water management board. we now have blue green algae in large part of the state which impacts our health &amp; tourism."
"6","Algae harvest #microalgae #bluegreenalgae #organicfarming @ Plant City, Florida . https   www instagram com p BpzUNq1nNd Q7L1wjzn0jFVvOFqkpnkPJQ1cJE0","en",FALSE,NA,"3407500768","everyone","1059450619885436929","1059450619885436929",2018-11-05 14:21:26,"PDSKirk",FALSE,"Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","Plant City, FL",NA,"2015-08-07T16:48:29.000Z","The PDS Kirk Griffin",FALSE,0,0,1,0,0,"5a5924d17d76eb63",280,663,5386,9,"https://t.co/AsHiFf19Ha","Algae harvest #microalgae #bluegreenalgae #organicfarming @ Plant City, Florida https://t.co/TuPpN073cp"
"7","@joebardi @MitchEPerry @SenBillNelson @ScottforFlorida I feel as if most GOP have done so. There must be something in the water in Florida! Oh maybe it’s the blue-green algae and red tide!. ","en",FALSE,"15006825","18722223","everyone","1060563496281219075","1060574453074182144",2018-11-08 16:47:08,"tessthefirst",FALSE,"#ChampaBay Proud Mom of #classof2020 grad, now @Eckerd #classof2024, Golden Retriever Bailey 🐾 Run🏃‍♀️Yogi🧘‍♀️Law ⚖️ Sourcing Contracts @Amgen Rays⚾️","https://pbs.twimg.com/profile_images/1578738318635835393/NTGKiMcb_normal.jpg","Sunshine City, Sunshine State",NA,"2009-01-07T14:18:01.000Z","TesstheFirst 🇺🇸⚖️ 🦮🐾🧜‍♀️🏖🏄‍♀️ ⚾️💙⚡️",FALSE,0,0,1,0,0,"dc62519fda13b4ec",1454,4978,42044,73,NA,"@joebardi @MitchEPerry @SenBillNelson @ScottforFlorida I feel as if most GOP have done so. There must be something in the water in Florida! Oh maybe it’s the blue-green algae and red tide!"
"8","Does the microbiome of mussels prevent Cyanobacteria erosion? Likely, stay tuned!  

Such a neat system and a great talk! @alyssamina #SICB2019 @SICBDEDE @SICBtweets. ","en",FALSE,NA,"277830302","everyone","1081193189917233152","1081193189917233152",2019-01-04 14:18:38,"SarahKnutie",FALSE,"Minnesotan - UConn Disease EcoEvo Asst Professor - #FirstGen - @Parasite_Squad - #Galapagos @NatGeoExplorers - #BlackLivesMatter - she/her 🏳️‍🌈","https://pbs.twimg.com/profile_images/1301567533/9430_960576859250_13911041_56301333_1765428_n-1_normal.jpg","Nipmuc Land","1550967593762267136","2011-04-06T03:37:58.000Z","Sarah Knutie",FALSE,2,0,5,0,0,"dc62519fda13b4ec",5121,2764,18891,70,"https://t.co/ceJaLLuVf7","Does the microbiome of mussels prevent Cyanobacteria erosion? Likely, stay tuned!  

Such a neat system and a great talk! @alyssamina #SICB2019 @SICBDEDE @SICBtweets"
"9","Washington, Oregon, Columbia River folks even visiting, keep your DOGGO out of the River! 🙀🙀🙀

. https   weather com pets video columbia river blue green algae bloom kills four dogs","en",FALSE,NA,"2768977514","everyone","1441472304614047745","1441472304614047745",2021-09-24 18:39:13,"Kaiya1212",FALSE,"Writer; animal, nature, music, travel & language lover. Despise Cancer, Trump, Intolerance, & Pain. Pick the order!😾#WritingCommunity #WritersinQuarantine #FBR","https://pbs.twimg.com/profile_images/998061882492706818/V4LQbOXP_normal.jpg","Lake Heather, FL","1426938430198620172","2014-08-26T03:10:06.000Z","Kaiya UNLEASHED 🕊",FALSE,0,0,0,1,0,"5bf268a34de4d516",22294,22405,102785,18,NA,"Washington, Oregon, Columbia River folks even visiting, keep your DOGGO out of the River! 🙀🙀🙀

https://t.co/Hz8cjtuZmi"
"10","#pinklipshottips  One of my FAV #superfoods 🥰   Spirulina is a blue-green algae. First used by the Aztecs as an endurance-booster, spirulina all-in-one source of nutrients including protein levels comparable to eggs. #cellular #mitochondria #health #drive #bugatti #body . https   twitter com daltondental status 1531716849322577920 photo 1","en",FALSE,NA,"369264432","everyone","1531716849322577920","1531716849322577920",2022-05-31 19:18:49,"daltondental",FALSE,"Your healthy, gorgeous smile is our passion! 💗
Click below to schedule your consultation 🔽","https://pbs.twimg.com/profile_images/1618692404365631490/op658p3b_normal.jpg","4511 W. Gandy Blvd. Tampa,FL","460418504651329536","2011-09-07T01:59:05.000Z","Dalton Dental I Dr. Hilary Dalton",FALSE,0,0,1,0,0,"dc62519fda13b4ec",6618,2822,5988,48,"https://t.co/lfiSIvo1yS","#pinklipshottips  One of my FAV #superfoods 🥰   Spirulina is a blue-green algae. First used by the Aztecs as an endurance-booster, spirulina all-in-one source of nutrients including protein levels comparable to eggs. #cellular #mitochondria #health #drive #bugatti #body https://t.co/QfovrcD6Ae"
