"","text","lang","created_at.x","author_id","possibly_sensitive","reply_settings","id","conversation_id","in_reply_to_user_id","location","name","protected","created_at.y","description","verified","username","profile_image_url","url","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","text_with_display_links"
"1","@Kokomothegreat Lol -red wave is an algae scum bloom that's toxic.. ","en",2018-06-16 11:57:59,"330345047",FALSE,"everyone","1007955442608287745","1007825809804062722","881336677138128897","Tampa","Pam",FALSE,"2011-07-06T13:42:55.000Z","",FALSE,"PamManos","https://pbs.twimg.com/profile_images/1429080971/Pam_normal.jpg",NA,"dc62519fda13b4ec",0,0,1,0,0,676,4552,69259,0,NA,"@Kokomothegreat Lol -red wave is an algae scum bloom that's toxic."
"2","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ . https   twitter com PLashley6 status 1008482831696310273 photo 1","en",2018-06-17 22:53:38,"918601320977895424",FALSE,"everyone","1008482831696310273","1008482831696310273",NA,"Tampa, FL","PhillipLashley6",FALSE,"2017-10-12T22:16:36.000Z","Florida Freethinker, Doesn't Obey Well. 
Volunteer of America, Sometimes Obscene. All Lives Matter 🌎 ✌ 
#FBR #PRU",FALSE,"PLashley6","https://pbs.twimg.com/profile_images/977674350462685188/1KZmCmhD_normal.jpg",NA,"01af119d415cd7d2",0,0,0,0,0,3837,4250,15243,1,"1053292727302045696","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ https://t.co/kEu2YCDEt7"
"3","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom.  #tampabay. https   www wfla com 1254238095","en",2018-06-21 21:55:19,"18753503",FALSE,"everyone","1009917707142270978","1009917707142270978",NA,"Philadelphia, PA","Corey Davis",FALSE,"2009-01-08T04:25:03.000Z","📺 Reporter @6abc",FALSE,"coreydavis6abc","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg","https://t.co/6OczQSSujA","dc62519fda13b4ec",1,0,0,0,0,4290,4474,11151,104,"1510626972220727305","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom. https://t.co/M976VdLBfb #tampabay"
"4","I so shame. Florida Algae blooms. Many of us env engs work on nutrient management here. Politics we fear. The audacity to tell other places we are leaders on this. @UF @orwrp @Commander_Cero @USouthFlorida @AEESProfs @USF_Reclaim @jenstaletovich . https   www miamiherald com news local environment article213849429 html","en",2018-07-01 12:37:31,"26883873",FALSE,"everyone","1013401209313603584","1013401209313603584",NA,"Tampa, FL","Maya Trotz",FALSE,"2009-03-26T23:18:17.000Z","everyday person. educator. environmental engineer. Professor, USF; Past President, AEESP; Board Member, Fragments of Hope Corp. Views are mine alone.",FALSE,"matrotz","https://pbs.twimg.com/profile_images/1567502537921536001/uFjfLKEj_normal.jpg","https://t.co/lH030ffTqI","074d5ce471c43508",2,0,4,0,0,1973,2098,7442,44,"1312260476781424640","I so shame. Florida Algae blooms. Many of us env engs work on nutrient management here. Politics we fear. The audacity to tell other places we are leaders on this. @UF @orwrp @Commander_Cero @USouthFlorida @AEESProfs @USF_Reclaim @jenstaletovich https://t.co/Jz3983fxua"
"5","Leaky septic tanks fuel algae blooms. Rick Scott OK’d repeal of law aimed to prevent that . ","en",2018-07-18 18:52:46,"705467685417701376",FALSE,"everyone","1019656241126281216","1019656241126281216",NA,"Tampa, FL","Tom Cleary",FALSE,"2016-03-03T18:59:38.000Z","Art Arts & Culture Black Community Fitness & Wellness Government & Politics Indie/Experimental Journalists & Pundits Literature Music News Opinion Space Travel",FALSE,"Cesare1210Tom","https://pbs.twimg.com/profile_images/760264178053554179/FonWv3u5_normal.jpg",NA,"dc62519fda13b4ec",0,0,0,0,0,551,1446,8409,22,NA,"Leaky septic tanks fuel algae blooms. Rick Scott OK’d repeal of law aimed to prevent that https://t.co/2nHzElcxZH"
"6","@marcorubio Instead of quoting Bible verses &amp; talking about what is wrong in our country, can you actually take ACTION for your constituents? Climate change causing worse storms &amp; flooding, pollution causing toxic green algae in our water are just 2 examples of @GOP hurting FLORIDA.. ","en",2018-07-24 13:19:47,"838146957470285830",FALSE,"everyone","1021746770123141120","1021713093632684032","15745368","Tampa, FL","Ejlm",FALSE,"2017-03-04T21:59:41.000Z","Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real",FALSE,"ellyne711","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,"dc62519fda13b4ec",0,0,0,0,0,149,1049,16538,6,"1149478792139685888","@marcorubio Instead of quoting Bible verses &amp; talking about what is wrong in our country, can you actually take ACTION for your constituents? Climate change causing worse storms &amp; flooding, pollution causing toxic green algae in our water are just 2 examples of @GOP hurting FLORIDA."
"7","@FloridaGOP @NelsonForSenate Rick Scott turned down a bullet train to Orlando, allowed our water to be polluted causing toxic algae to spread, doesn’t acknowledge or prepare for climate change even though parts of FLORIDA &amp; US now routinely flood, &amp; inadequately funds public schools. Vote for @SenBillNelson. ","en",2018-07-25 19:50:18,"838146957470285830",FALSE,"everyone","1022207432804708354","1022204858844303361","15444711","Tampa, FL","Ejlm",FALSE,"2017-03-04T21:59:41.000Z","Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real",FALSE,"ellyne711","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,"dc62519fda13b4ec",0,0,0,0,0,149,1049,16538,6,"1149478792139685888","@FloridaGOP @NelsonForSenate Rick Scott turned down a bullet train to Orlando, allowed our water to be polluted causing toxic algae to spread, doesn’t acknowledge or prepare for climate change even though parts of FLORIDA &amp; US now routinely flood, &amp; inadequately funds public schools. Vote for @SenBillNelson"
"8","@FLGovScott You have rolled back environmental protections causing toxic algae to thrive, deny climate change even though parts of FLORIDA are now flooding on a regular basis. That hurts our tourism which is important to our economy. Sacrificing the future for temporary gains now hurts us.. ","en",2018-07-28 14:43:42,"838146957470285830",FALSE,"everyone","1023217439427964928","1023208958314598400","131546062","Tampa, FL","Ejlm",FALSE,"2017-03-04T21:59:41.000Z","Government & Politics, Sports, #FrontalTemporalDegeneration awareness, treat others as you want to be treated. #Healthcare is a right. #ClimateChange is real",FALSE,"ellyne711","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",NA,"dc62519fda13b4ec",0,0,1,0,0,149,1049,16538,6,"1149478792139685888","@FLGovScott You have rolled back environmental protections causing toxic algae to thrive, deny climate change even though parts of FLORIDA are now flooding on a regular basis. That hurts our tourism which is important to our economy. Sacrificing the future for temporary gains now hurts us."
"9","Toxic brew of algae hurting tourism in #Florida #SiestaKey #redtide @WFLAJeff  @WFLA. https   www wfla com 1342535007","en",2018-08-03 01:41:06,"85644587",FALSE,"everyone","1025194818711040002","1025194818711040002",NA,"United States","Ryan Minnaugh",FALSE,"2009-10-27T19:42:48.000Z","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.",TRUE,"ryanminnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg","https://t.co/WMNw7U3zfR","9db9aa483565ef9c",0,0,0,0,0,1296,1133,7719,17,NA,"Toxic brew of algae hurting tourism in #Florida #SiestaKey #redtide @WFLAJeff https://t.co/VGDjcBuAn0 @WFLA"
"10","Before heading to the beach, check this link out to see how you can check for red tide! . https   www wfla com news sarasota county how to check for red tide before going to the beach 1343687125","en",2018-08-03 09:54:38,"26340080",FALSE,"everyone","1025319020193607680","1025319020193607680",NA,"Tampa, FL","NewsRadio WFLA",FALSE,"2009-03-24T22:19:56.000Z","Tampa Bay's latest news and information. Listen anywhere on @iheartradio.",FALSE,"WFLANews","https://pbs.twimg.com/profile_images/1084772502524461056/udx_2Up3_normal.jpg","https://t.co/nywCUV9hd2","dc62519fda13b4ec",8,0,6,1,0,17751,3832,205766,544,NA,"Before heading to the beach, check this link out to see how you can check for red tide! https://t.co/HV2LMJDad1"
