"","text","conversation_id","in_reply_to_user_id","author_id","reply_settings","possibly_sensitive","lang","created_at.x","id","verified","location","profile_image_url","username","description","created_at.y","name","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","url","text_with_display_links"
"1","@popsknox red tide😛 . ","994227408332042241","707758978","1973497166","everyone",FALSE,"da",2018-05-09 16:23:58,"994251641993027585",FALSE,"fla.","https://pbs.twimg.com/profile_images/1540154052079656962/DhHMhEQY_normal.jpg","larcraft_","","2013-10-20T02:02:31.000Z","DearHuntingWithJesus",FALSE,0,1,1,0,0,"79dc2655046fbc40",193,369,15304,5,"1123341513621217282",NA,"@popsknox red tide😛 https://t.co/pPL57bShBN"
"2","Its Time to GET OFF THE BEACHES PEOPLE.... RED TIDE DOESN'T PLAY!!!! . https   twitter com 10TampaBay status 1022996385866702849","1022997132939337728",NA,"952661320079495168","everyone",FALSE,"en",2018-07-28 00:08:17,"1022997132939337728",FALSE,"Tarpon Springs, FL","https://pbs.twimg.com/profile_images/1099834835672227840/NY2V1bq6_normal.jpg","LadyJVapeQueen7","Live everyday to its fullest! Look, You are already on the internet 24/7 anyways, so why not get PAID FOR IT?

#ivapeivote #SocialDM #EARNFROMHOME","2018-01-14T21:58:53.000Z","Jessica Pfleger Williams",FALSE,0,1,0,0,0,"8c1a061c37aea043",874,2860,3590,1,"1540098855672365057","https://t.co/YlcL9rUEpk","Its Time to GET OFF THE BEACHES PEOPLE.... RED TIDE DOESN'T PLAY!!!! https://t.co/KKJVQmQ2sY"
"3","@LadyJVapeQueen7 Keep that shit away from gulf shores. Headed there in a week","1022997132939337728","952661320079495168","42033499","everyone",FALSE,"en",2018-07-28 00:22:46,"1023000777164574720",FALSE,"St Louis, MO","https://pbs.twimg.com/profile_images/1375092101566902280/3x7j4leg_normal.jpg","kevdt67","I have a great son named Fox. go Cards Blues and fuck the Rams and Kroenke!  Army veteran","2009-05-23T14:24:10.000Z","🏒Kev bleeds Blue🏒",FALSE,0,0,0,0,0,NA,1058,1155,37280,36,"1533450646594244610",NA,NA
"4","Your gotta see some crazy stuff tonight ....ITS A FULL MOON, RED TIDE  AND HOT AS HELL IN FL !!! BAAAABBBAY . https   twitter com LadyJVapeQueen7 status 1023012544091439104 photo 1","1023012544091439104",NA,"952661320079495168","everyone",FALSE,"en",2018-07-28 01:09:31,"1023012544091439104",FALSE,"Tarpon Springs, FL","https://pbs.twimg.com/profile_images/1099834835672227840/NY2V1bq6_normal.jpg","LadyJVapeQueen7","Live everyday to its fullest! Look, You are already on the internet 24/7 anyways, so why not get PAID FOR IT?

#ivapeivote #SocialDM #EARNFROMHOME","2018-01-14T21:58:53.000Z","Jessica Pfleger Williams",FALSE,0,0,2,1,0,"8c1a061c37aea043",874,2860,3590,1,"1540098855672365057","https://t.co/YlcL9rUEpk","Your gotta see some crazy stuff tonight ....ITS A FULL MOON, RED TIDE  AND HOT AS HELL IN FL !!! BAAAABBBAY https://t.co/h2hAAF9ETH"
"5","These are pictures from red tide which scientists have no idea what causes it. But I agree, let’s stop things like run off and other pollution that has been linked to red tide (without enough statistical proof to be said so) . https   twitter com georgiacook00 status 1024671652028850176","1025852201078587393",NA,"141687910","everyone",FALSE,"en",2018-08-04 21:13:18,"1025852201078587393",FALSE,"Orlando, FL","https://pbs.twimg.com/profile_images/1607443885495664642/dVtpghQH_normal.jpg","RebeccaAnn_227","she/her","2010-05-08T19:04:35.000Z","Becca LeMay",FALSE,0,0,1,0,0,"0003df7b402165e0",217,349,15422,0,"1607444864605761538",NA,"These are pictures from red tide which scientists have no idea what causes it. But I agree, let’s stop things like run off and other pollution that has been linked to red tide (without enough statistical proof to be said so) https://t.co/dmpHnHVzCs"
"6","The very same people feeling good about abandoning #plasticstraws to #savetheoceans won't hold their #Floridapoliticians (and #Fanjuls and #Motts) accountable for #redtide from #lakeOkeechobee runoff. #sellout #bigsugar. ","1027165913332822016",NA,"18654365","everyone",FALSE,"en",2018-08-08 12:13:32,"1027165913332822016",FALSE,"Land O Lakes, FL , USA","https://pbs.twimg.com/profile_images/1860776023/Mark_Hankins_Portrait_normal.jpg","flacorps","(it) Incorporation Lawyer and Entrepreneur in sunny Florida","2009-01-06T00:52:46.000Z","Mark S. Hankins",FALSE,0,0,0,0,0,"00b6a1c7611dcf24",277,568,11653,34,"1314013909590867969","https://t.co/Rm3YjX8jK1","The very same people feeling good about abandoning #plasticstraws to #savetheoceans won't hold their #Floridapoliticians (and #Fanjuls and #Motts) accountable for #redtide from #lakeOkeechobee runoff. #sellout #bigsugar"
"7","School starts Monday. I had wisdom teeth surgery. The beach has red tide. It rains every day. I’m. So. Bored. 🙃. ","1027597385105584128",NA,"1932546492","everyone",FALSE,"en",2018-08-09 16:48:03,"1027597385105584128",FALSE,NA,"https://pbs.twimg.com/profile_images/1126688663994126348/smFI5iCO_normal.jpg","svstannard","2 Timothy 1:7","2013-10-04T01:02:18.000Z","Sara Stannard",FALSE,0,0,3,0,0,"01b3cd14363fbf47",169,208,7535,2,NA,"https://t.co/68rFb5DT9b","School starts Monday. I had wisdom teeth surgery. The beach has red tide. It rains every day. I’m. So. Bored. 🙃"
"8","@LeesyPeesy @mpatt70 @realDonaldTrump It's funny that they cannot come up with a slogan of their own, they have to co-opt the Dems'!  And if they paid attention to the red algae issues on Florida's coastline, they might reconsider ""Red Wave"" as it is not a good thing!. ","1028030912095838208","24380508","240940301","everyone",FALSE,"en",2018-08-10 23:37:51,"1028062906116702209",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1363324942343942149/BFxgtFoK_normal.jpg","luvnfiction","Animal activist, care for companion animals, book addict, & love my Boston Terrier, Oreo. Fighting for equality for all. Fighting for Democracy.","2011-01-21T02:40:04.000Z","Jami Lee",FALSE,0,0,1,0,0,"79dc2655046fbc40",2931,4798,110769,8,NA,NA,"@LeesyPeesy @mpatt70 @realDonaldTrump It's funny that they cannot come up with a slogan of their own, they have to co-opt the Dems'!  And if they paid attention to the red algae issues on Florida's coastline, they might reconsider ""Red Wave"" as it is not a good thing!"
"9","High concentrations of #redtide observed 10 miles offshore of Pinellas County  @WFLA . https   www wfla com 1404852848. https   twitter com WFLAAmanda status 1034893265651335168 photo 1","1034893265651335168",NA,"165145192","everyone",FALSE,"en",2018-08-29 19:59:16,"1034893265651335168",FALSE,"Tampa, FL","https://pbs.twimg.com/profile_images/1558240665917603842/NQ2xQaJs_normal.jpg","AmandaGranit","Chief Comms Officer at @HCSOSheriff. Grilled cheese is my spirit animal. That's all.","2010-07-10T18:45:00.000Z","Amanda Granit #teamhcso",FALSE,0,0,0,0,0,"79dc2655046fbc40",7709,3376,16340,146,NA,NA,"High concentrations of #redtide observed 10 miles offshore of Pinellas County https://t.co/iNzzoHCDox @WFLA https://t.co/CtfzGjogxD"
"10","@The_Trump_Train @realDonaldTrump Since MAGATs can't come up with an original slogan, I've got a truly appropriate one for you...red tide! Kills all in it's path!. ","1035125176617365504","4102376488","240940301","everyone",FALSE,"en",2018-08-30 12:02:04,"1035135563685392385",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1363324942343942149/BFxgtFoK_normal.jpg","luvnfiction","Animal activist, care for companion animals, book addict, & love my Boston Terrier, Oreo. Fighting for equality for all. Fighting for Democracy.","2011-01-21T02:40:04.000Z","Jami Lee",FALSE,0,1,0,0,0,"01512cee0fd2f281",2931,4798,110769,8,NA,NA,"@The_Trump_Train @realDonaldTrump Since MAGATs can't come up with an original slogan, I've got a truly appropriate one for you...red tide! Kills all in it's path!"
