"","text","in_reply_to_user_id","conversation_id","created_at.x","lang","reply_settings","possibly_sensitive","id","author_id","url","verified","created_at.y","location","protected","username","description","name","profile_image_url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","text_with_display_links"
"1","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ . https   twitter com PLashley6 status 1008482831696310273 photo 1",NA,"1008482831696310273",2018-06-17 22:53:38,"en","everyone",FALSE,"1008482831696310273","918601320977895424",NA,FALSE,"2017-10-12T22:16:36.000Z","Tampa, FL",FALSE,"PLashley6","Florida Freethinker, Doesn't Obey Well. 
Volunteer of America, Sometimes Obscene. All Lives Matter 🌎 ✌ 
#FBR #PRU","PhillipLashley6","https://pbs.twimg.com/profile_images/977674350462685188/1KZmCmhD_normal.jpg",0,0,0,0,0,"01af119d415cd7d2",3837,4250,15243,1,"1053292727302045696","The Democrats have the Blue Wave. To combat the our Blue Wave some dumbass MAGAt's come up with the RED TIDE. Red Tide kills fish and stinks so bad that it causes respiratory problems for some people. Just Say No to MAGA. Friends Don't Let Friends Vote Republican. ✌ https://t.co/kEu2YCDEt7"
"2","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom.  #tampabay. https   www wfla com 1254238095",NA,"1009917707142270978",2018-06-21 21:55:19,"en","everyone",FALSE,"1009917707142270978","18753503","https://t.co/6OczQSSujA",FALSE,"2009-01-08T04:25:03.000Z","Philadelphia, PA",FALSE,"coreydavis6abc","📺 Reporter @6abc","Corey Davis","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg",1,0,0,0,0,"dc62519fda13b4ec",4290,4474,11151,104,"1510626972220727305","HEADS UP, BEACHGOERS! Multiple Tampa Bay area beaches affected by red tide bloom. https://t.co/M976VdLBfb #tampabay"
"3","Toxic brew of algae hurting tourism in #Florida #SiestaKey #redtide @WFLAJeff  @WFLA. https   www wfla com 1342535007",NA,"1025194818711040002",2018-08-03 01:41:06,"en","everyone",FALSE,"1025194818711040002","85644587","https://t.co/WMNw7U3zfR",TRUE,"2009-10-27T19:42:48.000Z","United States",FALSE,"ryanminnaugh","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg",0,0,0,0,0,"9db9aa483565ef9c",1296,1133,7719,17,NA,"Toxic brew of algae hurting tourism in #Florida #SiestaKey #redtide @WFLAJeff https://t.co/VGDjcBuAn0 @WFLA"
"4","Before heading to the beach, check this link out to see how you can check for red tide! . https   www wfla com news sarasota county how to check for red tide before going to the beach 1343687125",NA,"1025319020193607680",2018-08-03 09:54:38,"en","everyone",FALSE,"1025319020193607680","26340080","https://t.co/nywCUV9hd2",FALSE,"2009-03-24T22:19:56.000Z","Tampa, FL",FALSE,"WFLANews","Tampa Bay's latest news and information. Listen anywhere on @iheartradio.","NewsRadio WFLA","https://pbs.twimg.com/profile_images/1084772502524461056/udx_2Up3_normal.jpg",8,0,6,1,0,"dc62519fda13b4ec",17751,3832,205766,544,NA,"Before heading to the beach, check this link out to see how you can check for red tide! https://t.co/HV2LMJDad1"
"5","Wondering what beaches #Redtide is affecting? Here's an easy link!. ",NA,"1025319553113436161",2018-08-03 09:56:45,"en","everyone",FALSE,"1025319553113436161","356642961","https://t.co/QlG1uLjj2J",FALSE,"2011-08-17T04:34:07.000Z","Tampa, FL",FALSE,"TampaBaysJulie","Wife|Dog Mom|Realtor|Meteorologist #ILoveTampaBay #AdoptDontShop","Julie Phillips Lawrence","https://pbs.twimg.com/profile_images/1367869902904778755/2393dwsl_normal.jpg",0,0,0,0,0,"dc62519fda13b4ec",4044,1100,19561,142,NA,"Wondering what beaches #Redtide is affecting? Here's an easy link!"
"6","Where is red tide headed next? @WFLAJohn  @WFLA. https   www wfla com 1344961345",NA,"1025560318456389633",2018-08-04 01:53:28,"en","everyone",FALSE,"1025560318456389633","85644587","https://t.co/WMNw7U3zfR",TRUE,"2009-10-27T19:42:48.000Z","United States",FALSE,"ryanminnaugh","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg",1,0,0,0,0,"9db9aa483565ef9c",1296,1133,7719,17,NA,"Where is red tide headed next? @WFLAJohn https://t.co/lgRJ6nyr5T @WFLA"
"7",". Red tide. Florida.. https   www sciencedaily com releases 2008 07 080709110049 htm",NA,"1025772288954777600",2018-08-04 15:55:46,"es","everyone",FALSE,"1025772288954777600","55414986",NA,FALSE,"2009-07-10T00:34:22.000Z",NA,FALSE,"LibbyBlog","Transportation/urban planning consultant in Florida. Author of forthcoming ""Paleo Places"" - an evolutionary approach to urban planning.","Elizabeth Rodriguez","https://pbs.twimg.com/profile_images/832592330473537536/i07vfAJ0_normal.jpg",0,0,0,0,0,"51264211e147d635",3968,4920,181406,188,NA,"https://t.co/qIwCZRECHo. Red tide. Florida."
"8","Happy Sunday! Got a hot cup of ☕️ to get my day started. This morning at 6 a.m. and 8 a.m. tune in with @LaurenWFTS @JasonAdamsWFTS &amp; @JJBurtonTV. Top stories: 1. Red tide in TB, 2. ‘Stand your ground’ protest, 3. Vigil for girl @TampaPD says was killed by her own mother #GMTB . https   twitter com WFTSisabel status 1026001395873443840 photo 1",NA,"1026001395873443840",2018-08-05 07:06:09,"en","everyone",FALSE,"1026001395873443840","482218809","https://t.co/BNLVsGNr6P",TRUE,"2012-02-03T17:17:40.000Z","Washington, D.C.",FALSE,"RosalesReport","@CNNNewsource Correspondent. Cuban-born🇨🇺American-raised🇺🇸 Pro-skeptic. Bilingüe. News Tips | DM for Signal","Isabel Rosales","https://pbs.twimg.com/profile_images/1338703977672794113/gJU5fF03_normal.jpg",1,1,3,0,0,"dc62519fda13b4ec",3924,2598,6404,53,"1611861265273753601","Happy Sunday! Got a hot cup of ☕️ to get my day started. This morning at 6 a.m. and 8 a.m. tune in with @LaurenWFTS @JasonAdamsWFTS &amp; @JJBurtonTV. Top stories: 1. Red tide in TB, 2. ‘Stand your ground’ protest, 3. Vigil for girl @TampaPD says was killed by her own mother #GMTB https://t.co/thjP1EQXnc"
"9","@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Watching right now.  You’re on a roll!  😛. ","482218809","1026001395873443840",2018-08-05 12:39:33,"en","everyone",FALSE,"1026085298088886273","31007522",NA,FALSE,"2009-04-14T00:40:08.000Z","Citrus Hills, FL",FALSE,"floridabronco","Proud Western Michigan alum. Ex-high school basketball and tennis coach. College football aficionado and connoisseur of southern fried chicken.","Robert Murray","https://pbs.twimg.com/profile_images/1438647384347713539/JFb8tR80_normal.jpg",0,1,3,0,0,NA,98,147,14622,2,NA,"@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Watching right now.  You’re on a roll!  😛"
"10","@floridabronco @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Thanks for watching Robert 👍🏻. ","31007522","1026001395873443840",2018-08-05 12:51:50,"en","everyone",FALSE,"1026088389802643457","482218809","https://t.co/BNLVsGNr6P",TRUE,"2012-02-03T17:17:40.000Z","Washington, D.C.",FALSE,"RosalesReport","@CNNNewsource Correspondent. Cuban-born🇨🇺American-raised🇺🇸 Pro-skeptic. Bilingüe. News Tips | DM for Signal","Isabel Rosales","https://pbs.twimg.com/profile_images/1338703977672794113/gJU5fF03_normal.jpg",0,1,1,0,0,"dc62519fda13b4ec",3926,2598,6404,53,"1611861265273753601","@floridabronco @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD Thanks for watching Robert 👍🏻"
"11","@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD You’re very welcome 😉. ","482218809","1026001395873443840",2018-08-05 13:44:11,"en","everyone",FALSE,"1026101562517729280","31007522",NA,FALSE,"2009-04-14T00:40:08.000Z","Citrus Hills, FL",FALSE,"floridabronco","Proud Western Michigan alum. Ex-high school basketball and tennis coach. College football aficionado and connoisseur of southern fried chicken.","Robert Murray","https://pbs.twimg.com/profile_images/1438647384347713539/JFb8tR80_normal.jpg",0,0,0,0,0,NA,98,147,14622,2,NA,"@WFTSisabel @LaurenWFTS @JasonAdamsWFTS @JJBurtonTV @TampaPD You’re very welcome 😉"
"12","@SethKush # environment killing Republican Red tide and green water? Florida beaches have a problem, and its name is Rick Scott. ","19899004","1026543465054662656",2018-08-06 19:00:08,"en","everyone",FALSE,"1026543465054662656","65074878",NA,FALSE,"2009-08-12T16:06:30.000Z",".......",FALSE,"HASSANSAIDNO","","Hassan Said","https://pbs.twimg.com/profile_images/1287841502023028743/6XB7K9iI_normal.jpg",0,0,0,0,0,"074d5ce471c43508",0,42,224,0,NA,"@SethKush # environment killing Republican Red tide and green water? Florida beaches have a problem, and its name is Rick Scott"
"13","Red tide hits Anna Maria Island @WFLAJohn #redtide  @WFLA. https   www wfla com 1349578590",NA,"1026648116404146177",2018-08-07 01:55:59,"en","everyone",FALSE,"1026648116404146177","85644587","https://t.co/WMNw7U3zfR",TRUE,"2009-10-27T19:42:48.000Z","United States",FALSE,"ryanminnaugh","Executive Producer/Digital Professional, Husband, Dad, Yankee Fan.","Ryan Minnaugh","https://pbs.twimg.com/profile_images/1368521178692911104/xfZa8_qR_normal.jpg",1,0,1,0,0,"9db9aa483565ef9c",1296,1133,7719,17,NA,"Red tide hits Anna Maria Island @WFLAJohn #redtide https://t.co/iXDex3sfeW @WFLA"
"14","so many manatees are dying from red tide😢. ",NA,"1026666586185367554",2018-08-07 03:09:23,"en","everyone",FALSE,"1026666586185367554","1270986962",NA,FALSE,"2013-03-15T23:47:28.000Z",NA,FALSE,"caaamyoung","","cameron","https://pbs.twimg.com/profile_images/1552730030266097669/J9RaHY0d_normal.jpg",1,0,9,0,0,"dc62519fda13b4ec",797,562,13728,0,NA,"so many manatees are dying from red tide😢"
"15","What we care about, we measure. Yes, one can become obsessive about data collection. But this effort to 'right-size' environmental monitoring may be crippling our ability to combat red tide. . https   www tampabay com florida politics buzz 2018 08 07 florida gutted water quality monitoring as killer algae increased",NA,"1026833979784273920",2018-08-07 14:14:33,"en","everyone",FALSE,"1026833979784273920","2161009586","http://t.co/GHlS4Msm2g",FALSE,"2013-10-28T14:32:03.000Z",NA,FALSE,"DrScottPaine","","Dr. Scott Paine","https://pbs.twimg.com/profile_images/378800000660388116/c6ec86ba695c1acc69d7cefdfcf6ab59_normal.jpeg",0,0,0,0,0,"dc62519fda13b4ec",301,205,1747,3,NA,"What we care about, we measure. Yes, one can become obsessive about data collection. But this effort to 'right-size' environmental monitoring may be crippling our ability to combat red tide. https://t.co/iNtvI7Sc9s"
"16","Red tide is near the edge of the Pinellas coast; how much is it affecting fishing and is it even safe to eat anything caught? #RedTide #algae. ",NA,"1026885996535791619",2018-08-07 17:41:14,"en","everyone",FALSE,"1026885996535791619","2619943298",NA,FALSE,"2014-07-12T00:41:51.000Z","tampa, fl ",FALSE,"OnTheRumFishing","Just an off shore fishing team trying to figure out how to fish off shore.","On The Rum Fishing team, tampa fl","https://pbs.twimg.com/profile_images/1003304857640501248/MeftK6YT_normal.jpg",0,0,1,0,0,"07d9cdca58080003",37,213,93,1,NA,"Red tide is near the edge of the Pinellas coast; how much is it affecting fishing and is it even safe to eat anything caught? #RedTide #algae"
"17","Here in Florida, it feels like a slow-motion disaster. #RedTide #algae #florida . https   twitter com USATODAY status 1026930999056375810",NA,"1026932840330678273",2018-08-07 20:47:23,"en","everyone",FALSE,"1026932840330678273","3434694057","https://t.co/RrKESLnksj",FALSE,"2015-08-21T21:58:39.000Z","PhilipsFlicks",FALSE,"PhilipsFlix","Film critic https://t.co/5jgZiqCB2q @flfilmcritics","Philip’s Flicks","https://pbs.twimg.com/profile_images/738714714310610944/rxCfrXIZ_normal.jpg",0,0,0,0,0,"dc62519fda13b4ec",261,865,1826,7,NA,"Here in Florida, it feels like a slow-motion disaster. #RedTide #algae #florida https://t.co/fqeDmYDVcv"
"18","@jvnhonq_ Where in Florida. We have bad red tide everywhere. ","34393862","1027026582026772480",2018-08-08 10:59:28,"en","everyone",FALSE,"1027147276379201536","82252035",NA,FALSE,"2009-10-14T02:10:32.000Z","Plant City, FL",FALSE,"peanut_1122","I love God, family and friends. My greatest gift is to be a mom. Life verse Jeremiah 29:11","Trisha","https://pbs.twimg.com/profile_images/1607187599021441024/CflxbjXI_normal.jpg",0,1,0,0,0,"5a5924d17d76eb63",311,661,4905,5,NA,"@jvnhonq_ Where in Florida. We have bad red tide everywhere"
"19","Red tide creeping north. This is on the north end of Anna Maria Island. Mote Marine has found several dead dolphins today. 📸: @8_plamison #RedTide . https   twitter com WFLAAvery status 1027273790210932737 photo 1",NA,"1027273790210932737",2018-08-08 19:22:12,"en","everyone",FALSE,"1027273790210932737","1090139174",NA,TRUE,"2013-01-14T20:55:38.000Z","Tampa, FL",FALSE,"WFLAAvery","Morning News Co-Anchor @wfla","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg",15,4,17,4,0,"dc62519fda13b4ec",4661,1477,17287,96,NA,"Red tide creeping north. This is on the north end of Anna Maria Island. Mote Marine has found several dead dolphins today. 📸: @8_plamison #RedTide https://t.co/doO8XS62Xr"
"20","THEN AND NOW 😥These two pictures from @8_plamison show the same stretch of beach in Sarasota just two months apart  #RedTide . https   www wfla com 1343687125. https   twitter com WFLAAvery status 1027279585967259651 photo 1",NA,"1027279585967259651",2018-08-08 19:45:13,"en","everyone",FALSE,"1027279585967259651","1090139174",NA,TRUE,"2013-01-14T20:55:38.000Z","Tampa, FL",FALSE,"WFLAAvery","Morning News Co-Anchor @wfla","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg",0,0,3,0,0,"dc62519fda13b4ec",4661,1477,17287,96,NA,"THEN AND NOW 😥These two pictures from @8_plamison show the same stretch of beach in Sarasota just two months apart https://t.co/r2GHQDdHfa #RedTide https://t.co/iINZ0767FX"
"21","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples. #TampaBay 
STORY&gt;&gt; . https   www wfla com 1354855837",NA,"1027299715539501057",2018-08-08 21:05:13,"en","everyone",FALSE,"1027299715539501057","18753503","https://t.co/6OczQSSujA",FALSE,"2009-01-08T04:25:03.000Z","Philadelphia, PA",FALSE,"coreydavis6abc","📺 Reporter @6abc","Corey Davis","https://pbs.twimg.com/profile_images/1510626917371813894/UCchI5Q3_normal.jpg",0,0,0,0,0,"a22b1167a3d2c56f",4290,4474,11151,104,"1510626972220727305","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples. #TampaBay 
STORY&gt;&gt; https://t.co/fjaWk7cSMv"
"22","#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples . https   www wfla com 1354855837",NA,"1027305096009474059",2018-08-08 21:26:35,"en","everyone",FALSE,"1027305096009474059","1090139174",NA,TRUE,"2013-01-14T20:55:38.000Z","Tampa, FL",FALSE,"WFLAAvery","Morning News Co-Anchor @wfla","Avery Cotton","https://pbs.twimg.com/profile_images/1450945115070029831/6ZW6bs2m_normal.jpg",0,0,1,0,0,"dc62519fda13b4ec",4661,1477,17287,96,NA,"#BREAKING: Latest #RedTide report from @MyFWC shows low concentration found in 2 Pinellas samples https://t.co/g7NRgo0Eyr"
"23","So sad to see. #RedTide #Florida . https   twitter com JSalomoneTV status 1027312430039351301",NA,"1027331559882452992",2018-08-08 23:11:45,"en","everyone",FALSE,"1027331559882452992","15088192","https://t.co/bAEOEN1J8f",TRUE,"2008-06-11T19:28:42.000Z","Silver Spring + DC",FALSE,"adamzwiner","Strategic Communications Director @AdvEnergyUnited. awiner@advancedenergyunited.org. Former reporter. @merrillcollege grad.","Adam Z. Winer +","https://pbs.twimg.com/profile_images/1604936668611579904/GreuBtoj_normal.jpg",0,0,0,0,0,"dc62519fda13b4ec",2256,1230,15159,118,NA,"So sad to see. #RedTide #Florida https://t.co/egRvYCVov1"
"24","6 dolphins found dead near Venice; investigation into deaths underway  via @10NewsWTSP. https   www wtsp com mobile article news red tide 6 dolphins found dead near venice investigation into deaths underway 67 581687552",NA,"1027379325077778438",2018-08-09 02:21:33,"en","everyone",FALSE,"1027379325077778438","2933699994",NA,FALSE,"2014-12-17T16:19:36.000Z","Tampa, FL",FALSE,"ShannonHCPS","","Shannon Valladolid","https://pbs.twimg.com/profile_images/1123656496104054785/s-VO_BSl_normal.jpg",1,0,0,0,0,"dc62519fda13b4ec",954,1168,4650,44,NA,"6 dolphins found dead near Venice; investigation into deaths underway https://t.co/IcZWnNRLuQ via @10NewsWTSP"
"25","@AveroBuzz Good Info. Do you feel weather played a part? It seems that there were warmer than normal temps. Also impacting the coastal regions increasing red tide and accelerating algae blooms making beach goers hesitant to visit.. ","229645423","1027240945954316288",2018-08-09 13:33:51,"en","everyone",FALSE,"1027548514077892608","947900834268045313","https://t.co/JINzGHKxY8",FALSE,"2018-01-01T18:42:24.000Z","Tampa, FL",FALSE,"JP_onthefly","#Restaurant operators share/get industry best practices on the fly. On the Fly is managed by JP a #restaurantconsultant for #USFoods.","On the Fly","https://pbs.twimg.com/profile_images/947904142537830400/fFtVHHjr_normal.jpg",0,0,0,0,0,"d71f2a3485b7e0ba",38,104,162,0,NA,"@AveroBuzz Good Info. Do you feel weather played a part? It seems that there were warmer than normal temps. Also impacting the coastal regions increasing red tide and accelerating algae blooms making beach goers hesitant to visit."
"26","Red Tide Is Devastating Florida's Sea Life. Are Humans to Blame?  via @NatGeo. https   www nationalgeographic com environment article news longest red tide wildlife deaths marine life toxins",NA,"1027600230538272768",2018-08-09 16:59:21,"en","everyone",FALSE,"1027600230538272768","20457375","https://t.co/0gzan5JlGQ",FALSE,"2009-02-09T19:06:41.000Z","ÜT: 27.988519,-82.453898",FALSE,"ashleybauman","📣 SVP 🟠. Proud alumni of @JaneCastor, @BobBuckhorn, @TheDemocrats, @terrymcauliffe, @VADemocrats, @BarackObama, and @FlaDems. @UF 🐊","Ashley Bauman","https://pbs.twimg.com/profile_images/1488687496833683461/m4Z5NOvL_normal.jpg",0,1,0,1,0,"dc62519fda13b4ec",6087,6704,22285,135,NA,"Red Tide Is Devastating Florida's Sea Life. Are Humans to Blame? https://t.co/IJkQTyWw9x via @NatGeo"
"27","@WFLAAvery @8_plamison I hate the #RedWave2018 and the #RedWave. ","1090139174","1027273790210932737",2018-08-09 20:21:09,"en","everyone",FALSE,"1027651013228937216","990421509708566529",NA,FALSE,"2018-04-29T02:44:23.000Z","America, most days.",FALSE,"BOX60326261","What can you say, just another foot soldier, waiting for the word. https:https://t.co/peHlMJnnPT GOP=Guilty Old Pedophiles No MAGA ppl","BOX","https://pbs.twimg.com/profile_images/1044453190278643712/kVw4Bs9z_normal.jpg",0,0,2,0,0,NA,756,1480,20726,1,NA,"@WFLAAvery @8_plamison I hate the #RedWave2018 and the #RedWave"
"28","Ya llego la marea roja a la costa de Tampa. Nuestro compañero @FilippoFerretti , se encuentra en la playa de @CityofSarasota con los detalles. #RedTide . https   twitter com RitaSibajaTv status 1027654338515226624 photo 1",NA,"1027654338515226624",2018-08-09 20:34:21,"es","everyone",FALSE,"1027654338515226624","806233835310641152","https://t.co/JSuhDT2ISd",FALSE,"2016-12-06T20:28:20.000Z","Las Vegas, NV",FALSE,"RitaSibajaTv","| Reporter @univisionnevada | Previously at @UniTampaBay, Noticias @winknews & @coloradoya | @NAHJ |","Rita Sibaja","https://pbs.twimg.com/profile_images/1614070657280782336/vNiSIul8_normal.jpg",2,0,2,0,0,"dc62519fda13b4ec",313,738,1847,4,NA,"Ya llego la marea roja a la costa de Tampa. Nuestro compañero @FilippoFerretti , se encuentra en la playa de @CityofSarasota con los detalles. #RedTide https://t.co/KYUC3wu02D"
