"","text","id","created_at.x","possibly_sensitive","lang","author_id","conversation_id","reply_settings","in_reply_to_user_id","username","description","url","protected","verified","name","profile_image_url","created_at.y","location","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links","reply.to.thread.no.term"
"1","West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant . https   www tampabay com pasco new port richey plant spills 150000 gallons of wastewater into cross bayou 20190508","1127347811660500992",2019-05-11 23:00:38,FALSE,"en","1088196428961406976","1127347811660500992","everyone",NA,"awsproject","Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters","https://t.co/AR8sz1dyFZ",FALSE,FALSE,"American Water Security Project","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg","2019-01-23T22:07:01.000Z",NA,NA,0,0,0,0,0,92,95,1368,1,"West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant https://t.co/t0uySzmdjb",FALSE
"2","@FuselierBen @Spartac68373316 @lovecomesaround @JAIncarceration Ummm, I run a Auto Repair Shop, thanks to Trump, I am now allowed to dump all the chemicals that my Shop produces, directly into  the Cotee River behind my Shop. Great for business, I don't have to pay to have them haul away and I can use more toxic chemicals also.  Thanks Trump. ","1241220034451685382",2020-03-21 04:28:11,FALSE,"en","378877387","1241077270321782786","everyone","1063836244336103424","jerrygebhardt","My Wife and Family are my world and my reason for everything, but I also loved seeing Trump defeated 😂
God Bless the USA 🇺🇸 and the Ukraine 🇺🇦 🙏",NA,FALSE,FALSE,"Jerry P Gebhardt","https://pbs.twimg.com/profile_images/477827555995955201/-P6K_jyB_normal.jpeg","2011-09-23T23:57:12.000Z","Florida, USA",NA,0,1,0,0,0,360,354,4181,0,"@FuselierBen @Spartac68373316 @lovecomesaround @JAIncarceration Ummm, I run a Auto Repair Shop, thanks to Trump, I am now allowed to dump all the chemicals that my Shop produces, directly into  the Cotee River behind my Shop. Great for business, I don't have to pay to have them haul away and I can use more toxic chemicals also.  Thanks Trump",FALSE
"3","Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438155983491158016",2021-09-15 15:01:20,FALSE,"en","62575859","1438155983491158016","everyone",NA,"craigtimes","THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.","https://t.co/Y1kqEYKFCg",FALSE,FALSE,"Craig Pittman","https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg","2009-08-03T17:55:56.000Z","St. Petersburg FL","1437092398249689093",6,3,5,2,0,20635,2287,180304,860,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes",FALSE
"4","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438156683176407044",2021-09-15 15:04:07,FALSE,"en","444805944","1438156683176407044","everyone",NA,"AstroManatee","Wake Forest, LSU, and UGA alum. Tweets are my own. RTs are NOT (necessarily) endorsements.",NA,FALSE,FALSE,"AstroManatee","https://pbs.twimg.com/profile_images/1710143681/snooty_normal.jpg","2011-12-23T17:22:28.000Z","Hobe Sound, FL","852113583886524417",6,0,0,0,0,212,831,15875,14,"RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes",FALSE
"5","@craigtimes @bbehrendttimes Gross in every sense. What the hell is this state doing to itself?","1438156803708264459",2021-09-15 15:04:36,FALSE,"en","1457014656","1438155983491158016","everyone","62575859","squashblossumm","13 circuits = 13 justices! Left is right, SCIENCE is a spiritual endeavor, brain tinker, Descartes is so over. My parrots know more bad words than you do.",NA,FALSE,FALSE,"Lilly🌻","https://pbs.twimg.com/profile_images/1543406821658038277/_ig6qbld_normal.jpg","2013-05-25T13:52:24.000Z","Florida shit hole","1552760417965015040",0,0,1,0,0,1680,2523,30475,1,NA,TRUE
"6","@craigtimes @bbehrendttimes Stop calling intentional dumps ""spills"".","1438160793548300297",2021-09-15 15:20:27,FALSE,"en","898828050","1438155983491158016","everyone","62575859","SaucerdogJones","5th Generation Native Floridian. Genealogist. Former world-class disc-dogger.",NA,FALSE,FALSE,"Susan Jones","https://pbs.twimg.com/profile_images/1349212790028988416/es1KYQYe_normal.jpg","2012-10-23T01:12:11.000Z",NA,NA,0,0,0,0,0,24,71,962,0,NA,TRUE
"7","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438167393117904906",2021-09-15 15:46:41,FALSE,"en","1052608430853292032","1438167393117904906","everyone",NA,"Dominicscatholi","Lover of God 
Bible scholar 
🎓 - Philosophy and Christian religion studies
📱",NA,FALSE,FALSE,"Dominicscatholicunite","https://pbs.twimg.com/profile_images/1052613919011983360/KGD6bJ4D_normal.jpg","2018-10-17T17:13:01.000Z","Lagos ","1290440893619679232",6,0,0,0,0,131,271,2119,0,"RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes",FALSE
"8","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438181142218280967",2021-09-15 16:41:19,FALSE,"en","2414913756","1438181142218280967","everyone",NA,"LeChatNoire4","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s",NA,FALSE,FALSE,"Le Chat Biden Democrat","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg","2014-03-27T21:29:48.000Z","Florida","1222268511134896129",6,0,0,0,0,14255,13707,1103640,336,"RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes",FALSE
"9","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438182030093832205",2021-09-15 16:44:50,FALSE,"en","896218406","1438182030093832205","everyone",NA,"Sullyanne1","",NA,FALSE,FALSE,"Sullyanne","https://pbs.twimg.com/profile_images/3190314347/18b2c12c480815aa9dbba15600a156a2_normal.jpeg","2012-10-21T21:44:40.000Z",NA,NA,6,0,0,0,0,2520,3734,547991,310,"RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes",FALSE
"10","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438184452375646209",2021-09-15 16:54:28,FALSE,"en","65943167","1438184452375646209","everyone",NA,"insonifier","",NA,FALSE,FALSE,"Tom","https://pbs.twimg.com/profile_images/378800000513113211/dc579e64c3f697f3eaa80b20ddb934ae_normal.jpeg","2009-08-15T17:56:32.000Z","Pennsyltucky",NA,6,0,0,0,0,4557,5002,421502,54,"RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes",FALSE
