"","text","possibly_sensitive","author_id","created_at.x","lang","id","reply_settings","conversation_id","name","profile_image_url","verified","protected","description","username","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","location","url","geo_place_id","text_with_display_links","reply.to.thread.no.term"
"1","@AnthonyClose @TB_Times Surely there was county coverage of the Mar 14 reclaimed leak that sent 30,000g into the intercoastal? Or on Feb 23 when 20,000g of raw sewage was released into Belleair Creek? Or the Feb 9 wastewater release into Gulf? Or the raw sewage into a Largo storm drain on Feb 11? No?. ",FALSE,"241599125",2018-06-01 15:28:01,"en","1002572481440419841","everyone","1002386850978451462","Kevin King","https://pbs.twimg.com/profile_images/1621296607600807936/8IImTgfC_normal.jpg",FALSE,FALSE,"Livin' in the Sunshine ☀️ Dad to Casey🧒🏽 Survived 20 yrs. in politics & government 🏛️ Now in development 🏗️","KevCKing","2011-01-22T17:24:52.000Z",0,1,1,0,0,748,603,7473,23,"39611390",NA,"St. Petersburg, FL","https://t.co/yDsPEuZLzu",NA,"@AnthonyClose @TB_Times Surely there was county coverage of the Mar 14 reclaimed leak that sent 30,000g into the intercoastal? Or on Feb 23 when 20,000g of raw sewage was released into Belleair Creek? Or the Feb 9 wastewater release into Gulf? Or the raw sewage into a Largo storm drain on Feb 11? No?",FALSE
"2","#Florida #Pinellas #redtide #toxicalgea #SWFL #VisitFlorida #LoveFL What is being done to stop this devastating #watercrisis? #lakeokeechobee #bigsugar #fertislizer #wastewater is still discharged into rivers..., ocean. #FLGov #RedTideRick . https   twitter com SarahHollenbeck status 1042161755244429317",FALSE,"191081656",2018-09-19 05:05:54,"en","1042278587351674880","everyone","1042278587351674880","Maya N","https://pbs.twimg.com/profile_images/1420457009699303426/CJphqxSk_normal.jpg",FALSE,FALSE,"""Those who can make you believe absurdities, can make you commit attrocities."" ~Voltaire","Umightwant2know","2010-09-15T15:26:12.000Z",0,0,0,0,0,890,596,11116,29,NA,NA,"Swiss Native in Sarasota, FL",NA,NA,"#Florida #Pinellas #redtide #toxicalgea #SWFL #VisitFlorida #LoveFL What is being done to stop this devastating #watercrisis? #lakeokeechobee #bigsugar #fertislizer #wastewater is still discharged into rivers..., ocean. #FLGov #RedTideRick https://t.co/J7xA7WGqrx",FALSE
"3","RT @ComplCoastal: #Florida #Pinellas #redtide #toxicalgea #SWFL #VisitFlorida #LoveFL What is being done to stop this devastating #watercrisis? #lakeokeechobee #bigsugar #fertislizer #wastewater is still discharged into rivers..., ocean. #FLGov #RedTideR… . https   twitter com SarahHollenbeck status 1042161755244429317",FALSE,"823728782653550592",2018-09-19 05:54:27,"en","1042290803585036288","everyone","1042290803585036288","Kōkua Bottles","https://pbs.twimg.com/profile_images/850098674403168256/Ji0Y-gxx_normal.jpg",FALSE,FALSE,"Be the hero. Every purchase you make supplies a child in Haiti with clean water.","my_kokua","2017-01-24T03:07:00.000Z",0,0,1,0,0,1130,3166,30798,20,NA,NA,"Salt Lake City, UT","https://t.co/OGL4mOFwvS",NA,"RT @ComplCoastal: #Florida #Pinellas #redtide #toxicalgea #SWFL #VisitFlorida #LoveFL What is being done to stop this devastating #watercrisis? #lakeokeechobee #bigsugar #fertislizer #wastewater is still discharged into rivers..., ocean. #FLGov #RedTideR… https://t.co/bDkA3RyBVC",FALSE
"4","#WakeupFlorida You need a solution NOW! #Florida #lakeokeechobee #toxicalgea #wastewater discharges continue. This could potentially collapse an economy! READ HERE:  #RedTideRick #visitflorida #floridaliving #LoveFL #Sarasota #clearwaterbeach #sanibel #SWFL . https   nbc 2 com story 39115697 swfl mayors unite to fight added water release into caloosahatchee river. https   twitter com ComplCoastal status 1042550240136577024 photo 1",FALSE,"191081656",2018-09-19 23:05:21,"en","1042550240136577024","everyone","1042550240136577024","Maya N","https://pbs.twimg.com/profile_images/1420457009699303426/CJphqxSk_normal.jpg",FALSE,FALSE,"""Those who can make you believe absurdities, can make you commit attrocities."" ~Voltaire","Umightwant2know","2010-09-15T15:26:12.000Z",0,0,0,0,0,890,596,11116,29,NA,NA,"Swiss Native in Sarasota, FL",NA,NA,"#WakeupFlorida You need a solution NOW! #Florida #lakeokeechobee #toxicalgea #wastewater discharges continue. This could potentially collapse an economy! READ HERE: https://t.co/v6kQBFYrBi #RedTideRick #visitflorida #floridaliving #LoveFL #Sarasota #clearwaterbeach #sanibel #SWFL https://t.co/ZnY6mjXsIi",FALSE
"5","""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water.""  #DebateFlorida. https   www abcactionnews com news local news scientists suspect water spilling into gulf from lake okeechobee is intensifying the red tide crisis",FALSE,"17669628",2018-10-02 15:27:39,"en","1047146096512946176","everyone","1047146096512946176","Ben Sharpe","https://pbs.twimg.com/profile_images/1484728581804769281/PT2TxJSi_normal.jpg",FALSE,FALSE,"Run @evergreenstrat. Past: @NelsonForSenate, @SenBillNelson, @New_BlueDC, @FlaDems, @CATECOMM, @OFA. Opinions are my own, unless others share them.","iamsharpe","2008-11-27T04:29:43.000Z",2,1,4,0,0,5781,4373,71029,172,NA,NA,"Tallahassee, FL","https://t.co/bN0yx9bANs",NA,"""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water."" https://t.co/VdbNGSEMRQ #DebateFlorida",FALSE
"6","RT @iamsharpe: ""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water.""  #DebateFlorida. https   www abcactionnews com news local news scientists suspect water spilling into gulf from lake okeechobee is intensifying the red tide crisis",FALSE,"34093672",2018-10-02 16:39:22,"en","1047164147773964288","everyone","1047164147773964288","(((TallyAnnaE))) ☮️","https://pbs.twimg.com/profile_images/1590203573148712960/jRdhYIP3_normal.jpg",FALSE,FALSE,"Stayin Alive on Twitter
New account at https://t.co/nwUJAcKvQm, same handle
Staying on this dying bird as long as I can.","TallyAnnaE","2009-04-21T23:41:49.000Z",2,0,0,0,0,5479,6028,710833,8,NA,NA,"Florida, USA",NA,NA,"RT @iamsharpe: ""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water."" https://t.co/VdbNGSEMRQ #DebateFlorida",FALSE
"7","@iamsharpe Amazing. We have established a pretty direct causal connection between fertilizer and red tide, but nothing is done to solve the problem.. ",FALSE,"1260899268",2018-10-02 16:43:34,"en","1047165201345384448","everyone","1047146096512946176","Dave Milton","https://pbs.twimg.com/profile_images/1046849586206261248/IN_GlK1S_normal.jpg",FALSE,FALSE,"People are much more important than things.","davemiltonfl","2013-03-12T02:32:08.000Z",0,0,0,0,0,562,807,5347,19,"17669628","826997544802721794","Orlando, FL",NA,NA,"@iamsharpe Amazing. We have established a pretty direct causal connection between fertilizer and red tide, but nothing is done to solve the problem.",TRUE
"8","RT @iamsharpe: ""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water.""  #DebateFlorida. https   www abcactionnews com news local news scientists suspect water spilling into gulf from lake okeechobee is intensifying the red tide crisis",FALSE,"2868085976",2018-10-02 16:50:50,"en","1047167031840260096","everyone","1047167031840260096","Sean Cooley","https://pbs.twimg.com/profile_images/1583927147802009600/jt_sqVyn_normal.jpg",FALSE,FALSE,"Twin dad. @SFWMD comms/public affairs director. Saving America’s Everglades, providing water to millions, and protecting SoFla from flooding. 🇺🇸 ✝️ My views.","SeanACooley","2014-10-20T20:25:03.000Z",2,0,0,0,0,1379,3318,3927,19,NA,NA,"West Palm Beach, FL",NA,NA,"RT @iamsharpe: ""Scientists already have ample proof that red tide, which began in October 2017 and stretches more than 135 miles from Collier County to Pinellas County, continues to grow by feasting on fertilizer contaminating the water."" https://t.co/VdbNGSEMRQ #DebateFlorida",FALSE
"9","@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator.... ",FALSE,"959459507813408768",2018-10-21 01:05:11,"en","1053814420814598146","everyone","1053796506166276096","ToughGrandpa","https://pbs.twimg.com/profile_images/1097294553638465536/ol112OUp_normal.png",FALSE,FALSE,"De-occultist, white hat, teacher","ToughGrandpa","2018-02-02T16:12:27.000Z",0,0,0,0,0,150,402,3487,0,"847927252444688384",NA,"Parts Unknown",NA,NA,"@IvotedT @ScottforFlorida I was just thinking of going to Clearwater beach tomorrow but I forgot the fuckin red tide and all the shit chemicals leaking out from Sarasota. We need a MAGA senator...",FALSE
"10","In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay  #tampa #stpete #clearwater #sewage. https   wusfnews wusf usf edu environment 2018 12 25 report 3 florida cities responsible for wastewater spills",FALSE,"1088196428961406976",2019-02-25 00:00:28,"en","1099821394425270272","everyone","1099821394425270272","American Water Security Project","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg",FALSE,FALSE,"Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters","awsproject","2019-01-23T22:07:01.000Z",1,0,2,0,0,92,95,1368,1,NA,NA,NA,"https://t.co/AR8sz1dyFZ",NA,"In the past three years, more than 1 billion gallons (3.8 billion liters) of #wastewater has been dumped in the Tampa - St Pete - Clearwater area, and much of it made it into Tampa Bay https://t.co/DkEkBwTDuR #tampa #stpete #clearwater #sewage",FALSE
