"","text","possibly_sensitive","id","created_at.x","author_id","conversation_id","reply_settings","lang","in_reply_to_user_id","profile_image_url","pinned_tweet_id","protected","description","verified","username","name","created_at.y","url","location","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links","reply.to.thread.no.term"
"1","@jamesapisano The Barataria Bay Bottlenose dolphin population wasn’t studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%.. ",FALSE,"949380859404038144",2018-01-05 20:43:30,"1551101437","949089545953296384","everyone","en","490724761","https://pbs.twimg.com/profile_images/896942980900069376/Ija1gs0m_normal.jpg","1017886243474923521",FALSE,"Surfer, Sailor, Cetacean Researcher & Marine Mammal Rescuer",FALSE,"Quad_Finn","Quad Finn","2013-06-27T17:09:49.000Z",NA,"California",1,0,2,0,0,43739,38832,37063,480,"@jamesapisano The Barataria Bay Bottlenose dolphin population wasn’t studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%.",FALSE
"2","RT @Quad_Finn: @jamesapisano The Barataria Bay Bottlenose dolphin population wasn’t studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%.. ",FALSE,"949425692134973440",2018-01-05 23:41:39,"2223388843","949425692134973440","everyone","en",NA,"https://pbs.twimg.com/profile_images/1122200532334964736/rM3XCppV_normal.jpg",NA,FALSE,"Animal rights activist,music lover,sense of humor.",FALSE,"cldesjarlais","Catherine desjarlais","2013-11-30T16:31:59.000Z",NA,NA,1,0,0,0,0,1904,2032,318893,57,"RT @Quad_Finn: @jamesapisano The Barataria Bay Bottlenose dolphin population wasn’t studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%.",FALSE
"3","Sarasota Bay’s dolphins were used as a control group in the Deepwater Horizon mortality studies. . https   response restoration noaa gov about media wake deepwater horizon oil spill gulf dolphins found sick and dying larger numbers ever",FALSE,"1042301226870702080",2018-09-19 06:35:52,"14202167","1042297561078366208","everyone","en","14202167","https://pbs.twimg.com/profile_images/1212932322472841216/9CY3tkJB_normal.jpg","1237848896723804162",FALSE,"ellen teapot | she/her | 🫖 418 i’m a teapot |  @AppStore | ♥︎ @lucaswazowski | https://t.co/t1OWK9QxtS",FALSE,"asmallteapot","ellen teapot 🇨🇦🇺🇸🏳️‍⚧️","2008-03-23T14:33:27.000Z","https://t.co/hRzr3u9wwy","British Columbia",0,1,0,0,0,3737,969,246052,167,"Sarasota Bay’s dolphins were used as a control group in the Deepwater Horizon mortality studies. https://t.co/32DUtjt4XY",FALSE
"4","Oil Ship 4/20/2010 The Horizon Oil Spill In Sarasota and The Gulf and The Birthday Line Up Yeah Life and What I Do For A Living Then Coming Home With China and Then The Bank Connection and Doing Everything and The Whole Frame I Lived And That's It.. ",FALSE,"1060707140422254592",2018-11-09 01:34:23,"2327017247","1060707140422254592","everyone","en",NA,"https://pbs.twimg.com/profile_images/1359408180816715777/5nEyCv9N_normal.jpg","1477772449236328449",FALSE,"",FALSE,"GoDaddyLLC","Owner of GoDaddy","2014-02-06T00:14:25.000Z",NA,NA,0,0,0,0,0,36,71,88766,0,"Oil Ship 4/20/2010 The Horizon Oil Spill In Sarasota and The Gulf and The Birthday Line Up Yeah Life and What I Do For A Living Then Coming Home With China and Then The Bank Connection and Doing Everything and The Whole Frame I Lived And That's It.",FALSE
"5","@MariaMo32975161 The Gulf Coast -Sarasota is a Red Tide and the News focuses on Trump.  -My Friends and that Economy Stinks since June?

What has anyone Done?
A Biological Disaster worse than the BP Oil Spill.
The New Follows #Trump with awe?
I Wash my hands of it and Pray for the Hearts of Youth . https   twitter com Real_Jetson status 1066973798052884481 photo 1",FALSE,"1066973798052884481",2018-11-26 08:35:51,"618581414","1066968285458194432","everyone","en","3965004861","https://pbs.twimg.com/profile_images/871295605393543168/DFzoAJEo_normal.jpg",NA,FALSE,"Rock All Day- Rave All Night- Go Goth Till Dawn. If You Wanna Take a Ride-Jump On & Hold On!...I never promised anything-HERE WE GO!- Have the Heart of a Koala",FALSE,"JetsonNeal","Jetson Neal","2012-06-26T00:50:20.000Z",NA,"Knoxville, TN",0,2,1,0,0,3114,3051,84039,97,"@MariaMo32975161 The Gulf Coast -Sarasota is a Red Tide and the News focuses on Trump.  -My Friends and that Economy Stinks since June?

What has anyone Done?
A Biological Disaster worse than the BP Oil Spill.
The New Follows #Trump with awe?
I Wash my hands of it and Pray for the Hearts of Youth https://t.co/DCUzJMtq76",FALSE
"6","Venice, Fl. my hometown is right on the Gulf! . http   www rightinginjustice com news 2014 08 01 flesh eating bacteria in gulf linked to bp oil spill",FALSE,"1150922394321772544",2019-07-16 00:17:36,"36465115","1150922394321772544","everyone","en",NA,"https://pbs.twimg.com/profile_images/692067739259793409/VCMKQEW5_normal.jpg",NA,FALSE,"",FALSE,"freedomcove","outhouse Kat","2009-04-29T20:12:41.000Z",NA,NA,0,0,0,0,0,6,0,1885,0,"Venice, Fl. my hometown is right on the Gulf! https://t.co/t2Wlza6btc",FALSE
"7","My hometown Venice Fl. is on the Gulf. . http   www rightinginjustice com news 2014 08 01 flesh eating bacteria in gulf linked to bp oil spill",FALSE,"1150923421892710400",2019-07-16 00:21:41,"36465115","1150923421892710400","everyone","en",NA,"https://pbs.twimg.com/profile_images/692067739259793409/VCMKQEW5_normal.jpg",NA,FALSE,"",FALSE,"freedomcove","outhouse Kat","2009-04-29T20:12:41.000Z",NA,NA,0,0,0,0,0,6,0,1885,0,"My hometown Venice Fl. is on the Gulf. https://t.co/t2Wlza6btc",FALSE
"8","There used to be a lot of British petroleum gas stations in Sarasota before the BP oil spill in the Gulf of Mexico. How many out of the number of them had to close?
And, did Shell company hire them?. ",FALSE,"1215253202423177216",2020-01-09 12:45:16,"3008024567","1215253202423177216","everyone","en",NA,"https://pbs.twimg.com/profile_images/1536946577180352514/Er2Jx40C_normal.jpg","1617972161179947009",FALSE,"B. 1985, Sarasota, FL. Music, Movies, Video Games. I'm in college for an A.S. Network Systems Technology, I want to own a Tesla someday. All things technology!",FALSE,"W1redVanilla","Kristian Nelson","2015-01-31T17:23:11.000Z","https://t.co/C5BEav1zNY","Florida, USA",0,0,0,0,0,97,150,62746,9,"There used to be a lot of British petroleum gas stations in Sarasota before the BP oil spill in the Gulf of Mexico. How many out of the number of them had to close?
And, did Shell company hire them?",FALSE
"9","@nickconfessore FYI Spring break has been officially canceled in Pinellas County Florida including Clearwater and surrounding beaches ,ok Sarasota too stay away.the weather's awful we might have red tide or an oil spill who knows it stinks. ",FALSE,"1239674587572514821",2020-03-16 22:07:08,"3092501673","1239658522884943874","everyone","en","258885469","https://pbs.twimg.com/profile_images/585526144709042176/84K2nvkC_normal.jpg",NA,FALSE,"",FALSE,"barbara_bayw","Barbara Wilkerson","2015-03-16T20:36:42.000Z",NA,NA,0,0,0,0,0,148,778,1523,0,"@nickconfessore FYI Spring break has been officially canceled in Pinellas County Florida including Clearwater and surrounding beaches ,ok Sarasota too stay away.the weather's awful we might have red tide or an oil spill who knows it stinks",FALSE
"10","@mikefreemanNFL @JReidESPN Beach bank. Same state which suffered billions in loss when 2010 vacationers assumed the Gulf Oil Spill involved Tampa, Clearwater, Sarasota &amp; Naples. It was in Louisiana. ",FALSE,"1245412485747871744",2020-04-01 18:07:29,"2790538982","1245405718557216773","everyone","en","19050461","https://pbs.twimg.com/profile_images/1180134619015983104/Jr6P_9UG_normal.jpg",NA,FALSE,"Producer-screenwriter, @nytimes, ESPN, WaPo, bijanc@hotmail.com, https://t.co/q03aGBOpRb, developing docs about The T.A.M.I. Show, & about the '64 Tokyo Games",FALSE,"bijancbayne","Bijan C. Bayne","2014-09-04T20:20:31.000Z","https://t.co/6YLDOfZkn2","Miami Beach, FL",0,0,1,0,0,8302,599,254914,181,"@mikefreemanNFL @JReidESPN Beach bank. Same state which suffered billions in loss when 2010 vacationers assumed the Gulf Oil Spill involved Tampa, Clearwater, Sarasota &amp; Naples. It was in Louisiana",FALSE
